['0', '7227581/4363736229', '390707/117938817', '21686749/4363736229', '28920353/4363736229', '72315953/8727472458', '43400651/4363736229', '101298793/8727472458', '57905245/4363736229', '65169256/4363736229', '72442487/4363736229', '17716891/969719162', '87020933/4363736229', '94328354/4363736229', '11294382/484859581', '217970633/8727472458', '12926356/484859581', '6686827/235877634', '262187747/8727472458', '92334137/2909157486', '97286413/2909157486', '153380500/4363736229', '321710519/8727472458', '168355369/4363736229', '117254911/2909157486', '366875687/8727472458', '191023459/4363736229', '198640967/4363736229', '206292191/4363736229', '427958099/8727472458', '443407177/8727472458', '229467953/4363736229', '237274426/4363736229', '245125465/4363736229', '506047369/8727472458']
['1897240519/80866970321', '1919754109/80866970321', '1942626317/80866970321', '1965813017/80866970321', '1989276335/80866970321', '2012983653/80866970321', '2036906707/80866970321', '2061020699/80866970321', '2085303797/80866970321', '2109736587/80866970321', '2134301615/80866970321', '2158983075/80866970321', '2183766585/80866970321', '2208638773/80866970321', '2233587197/80866970321', '2258600353/80866970321', '2283666501/80866970321', '2308775739/80866970321', '2333916411/80866970321', '2359079077/80866970321', '2384252393/80866970321', '2409426195/80866970321', '2434589137/80866970321', '2459729775/80866970321', '2484835885/80866970321', '2509894323/80866970321', '2534890861/80866970321', '2559809869/80866970321', '2584633947/80866970321', '2609343563/80866970321', '2633916523/80866970321', '2658327229/80866970321', '2682545939/80866970321', '2706537537/80866970321', '2730260079/80866970321']
['953784653/40445705833', '964743315/40445705833', '975883547/40445705833', '987183935/40445705833', '998624831/40445705833', '1010190407/40445705833', '1021865771/40445705833', '1033638947/40445705833', '80422939/3111208141', '1057434273/40445705833', '1069437597/40445705833', '1081500679/40445705833', '1093615539/40445705833', '1105775883/40445705833', '1117974679/40445705833', '1130206611/40445705833', '1142464991/40445705833', '1154745259/40445705833', '1167040837/40445705833', '1179347363/40445705833', '1191658387/40445705833', '1203969229/40445705833', '1216273399/40445705833', '1228565571/40445705833', '1240838827/40445705833', '1253086961/40445705833', '1265302023/40445705833', '1277476591/40445705833', '1289601099/40445705833', '1301666139/40445705833', '1313659769/40445705833', '1325569535/40445705833', '1337379715/40445705833', '1349073159/40445705833', '1360628105/40445705833']
['958830004/40457393235', '969498437/40457393235', '196070173/8091478647', '198273064/8091478647', '143217536/5779627605', '1013806648/40457393235', '341734189/13485797745', '1036697813/40457393235', '349427032/13485797745', '10094689/385308507', '357224152/13485797745', '361154386/13485797745', '1095306857/40457393235', '1107196516/40457393235', '74608367/2697159549', '1131087721/40457393235', '1143076913/40457393235', '385029242/13485797745', '25935867/899053183', '1179150613/40457393235', '1191191521/40457393235', '401077078/13485797745', '173609099/5779627605', '1227282794/40457393235', '413093993/13485797745', '250250855/8091478647', '1263192118/40457393235', '1275087259/40457393235', '1286930531/40457393235', '12368683/385308507', '1310419223/40457393235', '88135988/2697159549', '88903879/2697159549', '1344956383/40457393235', '1356213178/40457393235']
['963874423/40469077775', '194850527/8093815555', '984817269/40469077775', '142220829/5781296825', '1006419789/40469077775', '40696881/1618763111', '1028538523/40469077775', '1039755873/40469077775', '210212643/8093815555', '151778527/5781296825', '1073906641/40469077775', '1085425021/40469077775', '1096997623/40469077775', '1108616669/40469077775', '1120275927/40469077775', '161709787/5781296825', '1143688601/40469077775', '1155430047/40469077775', '1167187139/40469077775', '1178953903/40469077775', '170103541/5781296825', '1202493459/40469077775', '1214254299/40469077775', '1226000411/40469077775', '176817943/5781296825', '249884427/8093815555', '50443313/1618763111', '1272698597/40469077775', '1284260687/40469077775', '1295758059/40469077775', '1307179483/40469077775', '263702189/8093815555', '1329737519/40469077775', '1340840491/40469077775', '1351799153/40469077775']
['1937589607/80960483023', '279683311/11565783289', '1978352339/80960483023', '1999253493/80960483023', '2020448583/80960483023', '2041904313/80960483023', '2063591377/80960483023', '2085483873/80960483023', '2107558667/80960483023', '2129794939/80960483023', '2152173883/80960483023', '2174678263/80960483023', '313898885/11565783289', '2220000949/80960483023', '2242790567/80960483023', '2265648123/80960483023', '326937215/11565783289', '2311516153/80960483023', '2334502315/80960483023', '2357507679/80960483023', '340074253/11565783289', '2403526701/80960483023', '2426515717/80960483023', '2449473823/80960483023', '2472387135/80960483023', '2495240957/80960483023', '2518019379/80960483023', '2540705057/80960483023', '2563278901/80960483023', '369388519/11565783289', '113391447/3520021001', '2630102613/80960483023', '2651986315/80960483023', '2673617937/80960483023', '2694954803/80960483023']
['973714653/40491403631', '983530015/40491403631', '993534547/40491403631', '143386739/5784486233', '1014028285/40491403631', '1024481789/40491403631', '1035052367/40491403631', '1045727531/40491403631', '1056495001/40491403631', '1067344823/40491403631', '1078266845/40491403631', '1089252877/40491403631', '1100294243/40491403631', '1111383995/40491403631', '1122514399/40491403631', '1133679423/40491403631', '1144871765/40491403631', '1156086019/40491403631', '1167315143/40491403631', '168364829/5784486233', '1189795063/40491403631', '11224611/378424333', '1212261605/40491403631', '1223473649/40491403631', '1234661815/40491403631', '1245819147/40491403631', '1256936917/40491403631', '1268006857/40491403631', '1279018641/40491403631', '1289962025/40491403631', '1300824267/40491403631', '1311592155/40491403631', '1322249295/40491403631', '1332777955/40491403631', '1343156167/40491403631']
['978506132/40502056681', '988048546/40502056681', '997781647/40502056681', '1007683971/40502056681', '1017736544/40502056681', '1027922689/40502056681', '1038227638/40502056681', '1048638229/40502056681', '1059142662/40502056681', '1069730304/40502056681', '1080391435/40502056681', '1091117161/40502056681', '1101899252/40502056681', '1112730029/40502056681', '1123602189/40502056681', '1134508984/40502056681', '1145443546/40502056681', '1156399693/40502056681', '1167370894/40502056681', '1178350995/40502056681', '1189333538/40502056681', '29275908/987855041', '1211280333/40502056681', '1222231022/40502056681', '1233157027/40502056681', '1244050635/40502056681', '1254903533/40502056681', '1265706724/40502056681', '1276450279/40502056681', '1287123224/40502056681', '1297713254/40502056681', '31907474/987855041', '1318586847/40502056681', '1328836139/40502056681', '1338932924/40502056681']
['983297321/40512708855', '992566789/40512708855', '334009487/13504236285', '202332097/8102541771', '1021444523/40512708855', '343787771/13504236285', '347134213/13504236285', '210309733/8102541771', '1061790071/40512708855', '1072115543/40512708855', '1082515801/40512708855', '364327079/13504236285', '367834691/13504236285', '1114075901/40512708855', '1124689841/40512708855', '1135338433/40512708855', '1146015247/40512708855', '1156713319/40512708855', '389142209/13504236285', '1178148203/40512708855', '396290687/13504236285', '239918231/8102541771', '1210299169/40512708855', '406996177/13504236285', '1231652401/40512708855', '1242282311/40512708855', '1252870357/40512708855', '28075707/900282419', '1273882159/40512708855', '256856935/8102541771', '1294602503/40512708855', '1304820983/40512708855', '87661645/2700847257', '1324894603/40512708855', '266941993/8102541771']
['164659325/6753810723', '996961727/40522864338', '503080124/20261432169', '1015530419/40522864338', '1025053477/40522864338', '1034712757/40522864338', '1044493445/40522864338', '1054382249/40522864338', '532183606/20261432169', '20272405/764582346', '542291546/20261432169', '1094794937/40522864338', '1105064513/40522864338', '1115383873/40522864338', '562872725/20261432169', '34428551/1227965586', '573283499/20261432169', '578506651/20261432169', '583737211/20261432169', '107085797/3683896758', '594207352/20261432169', '399626849/13507621446', '604667159/20261432169', '55444039/1841948379', '55917118/1841948379', '620274751/20261432169', '625439486/20261432169', '420385225/13507621446', '70631634/2251270241', '640754449/20261432169', '645780787/20261432169', '1301513273/40522864338', '1311347929/40522864338', '6671955/204660931', '665294752/20261432169']
['992614427/40533019365', '66757101/2702201291', '202058377/8106603873', '1019400203/40533019365', '1028662283/40533019365', '69204137/2702201291', '1047584107/40533019365', '352405231/13511006455', '1066944217/40533019365', '1076759257/40533019365', '1086650261/40533019365', '1096608523/40533019365', '1106624849/40533019365', '74446117/2702201291', '1126800983/40533019365', '378981957/13511006455', '229423741/8106603873', '1157313257/40533019365', '389174069/13511006455', '1177739339/40533019365', '395985791/13511006455', '1198169983/40533019365', '402789843/13511006455', '406183087/13511006455', '1228700881/40533019365', '1238816797/40533019365', '1248887701/40533019365', '1258904657/40533019365', '84590453/2702201291', '426244419/13511006455', '257704157/8106603873', '1298205707/40533019365', '1307771329/40533019365', '87813315/2702201291', '1326469193/40533019365']
['1994273901/81085379471', '2011248451/81085379471', '2028610923/81085379471', '2046320099/81085379471', '2064338975/81085379471', '2082634477/81085379471', '2101176931/81085379471', '2119939693/81085379471', '2138898589/81085379471', '2158031563/81085379471', '2177318427/81085379471', '2196740497/81085379471', '2216280301/81085379471', '2235921541/81085379471', '2255648583/81085379471', '2275446781/81085379471', '2295301595/81085379471', '2315199139/81085379471', '2335125779/81085379471', '2355067583/81085379471', '2375010945/81085379471', '2394941821/81085379471', '2414845781/81085379471', '2434707973/81085379471', '2454512657/81085379471', '2474243287/81085379471', '2493882099/81085379471', '2513409907/81085379471', '2532805825/81085379471', '2552046841/81085379471', '2571107383/81085379471', '2589958879/81085379471', '2608568985/81085379471', '2626900853/81085379471', '2644912407/81085379471']
['1001659399/40552359881', '91808351/3686578171', '1018318963/40552359881', '1026919821/40552359881', '1035676619/40552359881', '1044572349/40552359881', '1053592751/40552359881', '1062723929/40552359881', '1071954303/40552359881', '1081272239/40552359881', '1090668103/40552359881', '1100131915/40552359881', '1109655397/40552359881', '1119229739/40552359881', '1128847559/40552359881', '1138500877/40552359881', '1148182867/40552359881', '1157885867/40552359881', '1167603567/40552359881', '1177328249/40552359881', '1187053587/40552359881', '1196771861/40552359881', '1206476285/40552359881', '1216158753/40552359881', '1225811823/40552359881', '1235426545/40552359881', '1244994457/40552359881', '1254505313/40552359881', '1263949097/40552359881', '1273313653/40552359881', '1282586669/40552359881', '1291753245/40552359881', '118254339/3686578171', '1309701201/40552359881', '1318443289/40552359881']
['335347581/13520519413', '338009981/13520519413', '1022211532/40561558239', '1030567475/40561558239', '1039079593/40561558239', '1047731525/40561558239', '352169513/13520519413', '1065397271/40561558239', '358128530/13520519413', '361154124/13520519413', '1092617374/40561558239', '367280361/13520519413', '1111124618/40561558239', '1120459607/40561558239', '1129838041/40561558239', '379750792/13520519413', '1148695169/40561558239', '1158159140/40561558239', '1167637411/40561558239', '1177122616/40561558239', '1186607836/40561558239', '1196085758/40561558239', '1205548952/40561558239', '1214989732/40561558239', '1224400028/40561558239', '1233771305/40561558239', '1243094468/40561558239', '417453240/13520519413', '1261556410/40561558239', '1270672849/40561558239', '1279696147/40561558239', '1288611895/40561558239', '1297403930/40561558239', '1306053958/40561558239', '438180411/13520519413']
['252606513/10142689123', '72726285/2897911178', '513052033/20285378246', '517107547/20285378246', '37231519/1448955589', '75063619/2897911178', '264856073/10142689123', '267017645/10142689123', '269204211/10142689123', '271413118/10142689123', '547283307/20285378246', '551775111/20285378246', '278148453/10142689123', '280422363/10142689123', '565414251/20285378246', '81428847/2897911178', '287301865/10142689123', '579216203/20285378246', '291917813/10142689123', '84065499/2897911178', '296540523/10142689123', '597699833/20285378246', '301155409/10142689123', '303455183/10142689123', '43678152/1448955589', '308029023/10142689123', '310298627/10142689123', '625107079/20285378246', '314790939/10142689123', '634016039/20285378246', '638402829/20285378246', '321367645/10142689123', '647005083/20285378246', '651203375/20285378246', '327659803/10142689123']
['2029335839/81158991217', '2044347421/81158991217', '2059747125/81158991217', '2075496155/81158991217', '2091558965/81158991217', '2107903351/81158991217', '2124500079/81158991217', '2141322555/81158991217', '2158346473/81158991217', '2175549479/81158991217', '2192910899/81158991217', '2210411485/81158991217', '2228033155/81158991217', '2245758899/81158991217', '2263572345/81158991217', '2281457997/81158991217', '2299400723/81158991217', '2317385399/81158991217', '2335398059/81158991217', '2353423407/81158991217', '2371447337/81158991217', '2389454711/81158991217', '2407430323/81158991217', '2425358383/81158991217', '2443222325/81158991217', '2461004741/81158991217', '2478687055/81158991217', '2496249329/81158991217', '2513669965/81158991217', '2530925373/81158991217', '2547989575/81158991217', '2564833753/81158991217', '2581425695/81158991217', '2597729221/81158991217', '2613703621/81158991217']
['254727443/10147058670', '128272427/5073529335', '5273689/207082830', '173546841/6764705780', '524538209/20294117340', '15100181/579831924', '266268943/10147058670', '26831299/1014705867', '540764807/20294117340', '136237124/5073529335', '137293034/5073529335', '36895375/1352941156', '37181311/1352941156', '13381779/483193270', '188790639/6764705780', '38048471/1352941156', '575096629/20294117340', '115895299/4058823468', '583863403/20294117340', '84036173/2899159620', '21165808/724789905', '39801835/1352941156', '50117029/1691176445', '60576883/2029411734', '30505852/1014705867', '204814777/6764705780', '10312438/338235289', '155754398/5073529335', '156813278/5073529335', '18041333/579831924', '317795983/10147058670', '106613599/3382352890', '160926943/5073529335', '215887081/6764705780', '54294351/1691176445']
['1023008136/40596528059', '1030051308/40596528059', '1037287524/40596528059', '1044698048/40596528059', '1052265607/40596528059', '1059974388/40596528059', '1067809970/40596528059', '1075759154/40596528059', '1083809839/40596528059', '1091950810/40596528059', '1100171703/40596528059', '1108462804/40596528059', '1116814968/40596528059', '1125219566/40596528059', '1133668302/40596528059', '1142153223/40596528059', '1150666697/40596528059', '1159200904/40596528059', '1167748772/40596528059', '1176302425/40596528059', '1184854697/40596528059', '1193397783/40596528059', '1201923961/40596528059', '1210425140/40596528059', '1218892884/40596528059', '1227318330/40596528059', '1235692063/40596528059', '1244003963/40596528059', '1252243157/40596528059', '1260397766/40596528059', '1268454782/40596528059', '1276399843/40596528059', '1284216991/40596528059', '1291888380/40596528059', '1299394171/40596528059']
['513553247/20302410710', '516961597/20302410710', '520465999/20302410710', '262028761/10151205355', '105545479/4060482142', '53146805/2030241071', '535272081/20302410710', '539133171/20302410710', '543045029/20302410710', '547002311/20302410710', '275499782/10151205355', '277516088/10151205355', '55909530/2030241071', '281592423/10151205355', '567296383/20302410710', '285713078/10151205355', '575570067/20302410710', '289862204/10151205355', '583885369/20302410710', '294024607/10151205355', '296106037/10151205355', '596370259/20302410710', '120103923/4060482142', '302328156/10151205355', '304387923/10151205355', '306437001/10151205355', '308472893/10151205355', '310493187/10151205355', '312495024/10151205355', '314475557/10151205355', '632862819/20302410710', '318359126/10151205355', '320254611/10151205355', '64422714/2030241071', '323930981/10151205355']
['2062120169/81225364635', '2075319031/81225364635', '696300187/27075121545', '700942951/27075121545', '2117070337/81225364635', '236843793/9025040515', '2146371911/81225364635', '144091837/5415024309', '241842999/9025040515', '2191977937/81225364635', '2207529553/81225364635', '2223222373/81225364635', '2239037983/81225364635', '150330595/5415024309', '756989467/27075121545', '2287050289/81225364635', '2303189101/81225364635', '257707651/9025040515', '2335575241/81225364635', '2351792143/81225364635', '2368004981/81225364635', '2384197873/81225364635', '2400355067/81225364635', '483292025/16245072927', '270277327/9025040515', '272049393/9025040515', '821428949/27075121545', '2480002549/81225364635', '2495569691/81225364635', '2510964529/81225364635', '2526161117/81225364635', '282347881/9025040515', '2555842423/81225364635', '171350711/5415024309', '861449003/27075121545']
['1035013673/40620543209', '1041395835/40620543209', '1047968561/40620543209', '1054713807/40620543209', '1061615545/40620543209', '1068658035/40620543209', '1075827747/40620543209', '1083111211/40620543209', '1090496931/40620543209', '1097973313/40620543209', '1105530423/40620543209', '1113158019/40620543209', '1120847381/40620543209', '1128589231/40620543209', '1136375633/40620543209', '1144197975/40620543209', '1152048967/40620543209', '1159920043/40620543209', '1167804501/40620543209', '1175693717/40620543209', '1183580833/40620543209', '1191457355/40620543209', '1199315839/40620543209', '1207147503/40620543209', '1214944253/40620543209', '1222696535/40620543209', '1230395277/40620543209', '1238029803/40620543209', '1245589597/40620543209', '1253062303/40620543209', '1260435481/40620543209', '1267694427/40620543209', '1274823981/40620543209', '1281806387/40620543209', '1288623087/40620543209']
['2077643019/81255971155', '2089992123/81255971155', '2102719281/81255971155', '2115790123/81255971155', '2129172279/81255971155', '2142835669/81255971155', '431350505/16251194231', '2170897149/81255971155', '2185245713/81255971155', '2199776059/81255971155', '2214467431/81255971155', '445860065/16251194231', '2244256269/81255971155', '2259317693/81255971155', '2274467699/81255971155', '2289689901/81255971155', '2304968739/81255971155', '2320287959/81255971155', '2335633023/81255971155', '2350987641/81255971155', '2366337007/81255971155', '2381664969/81255971155', '479391125/16251194231', '482438457/16251194231', '2427357673/81255971155', '2442433643/81255971155', '2457401017/81255971155', '2472239357/81255971155', '2486926711/81255971155', '2501439391/81255971155', '2515751611/81255971155', '2529835157/81255971155', '2543659037/81255971155', '511437819/16251194231', '2570387957/81255971155']
['1042629345/40635427943', '1048596287/40635427943', '95886429/3694129813', '1061076315/40635427943', '1067556733/40635427943', '1074177633/40635427943', '1080924777/40635427943', '1087785937/40635427943', '1094748781/40635427943', '1101802745/40635427943', '1108937007/40635427943', '1116142305/40635427943', '1123408887/40635427943', '1130728461/40635427943', '103462915/3694129813', '1145491925/40635427943', '1152919771/40635427943', '1160367915/40635427943', '1167828521/40635427943', '1175293925/40635427943', '1182756175/40635427943', '1190207615/40635427943', '1197639787/40635427943', '1205044783/40635427943', '1212413421/40635427943', '1219737109/40635427943', '1227005741/40635427943', '1234209555/40635427943', '1241337115/40635427943', '1248377089/40635427943', '1255316131/40635427943', '1262140731/40635427943', '1268835057/40635427943', '1275382709/40635427943', '1281764871/40635427943']
['1046291168/40642465429', '1052059638/40642465429', '1058014250/40642465429', '1064138639/40642465429', '1070417237/40642465429', '1076835478/40642465429', '1083379778/40642465429', '1090037554/40642465429', '10648515/394587043', '1103647280/40642465429', '23629318/864733307', '1117579327/40642465429', '1124642165/40642465429', '1131757675/40642465429', '1138917368/40642465429', '1146112969/40642465429', '1153336660/40642465429', '1160580255/40642465429', '1167836345/40642465429', '1175096775/40642465429', '1182354019/40642465429', '1189599924/40642465429', '25464393/864733307', '1204025244/40642465429', '1211187526/40642465429', '1218304225/40642465429', '1225365704/40642465429', '1232361742/40642465429', '1239281396/40642465429', '1246112904/40642465429', '1252843481/40642465429', '1259459254/40642465429', '1265945031/40642465429', '1272284202/40642465429', '1278458754/40642465429']
['1049952991/40649502915', '1055522989/40649502915', '1061277781/40649502915', '1067200963/40649502915', '357759247/13549834305', '1079493323/40649502915', '1085834779/40649502915', '1092289171/40649502915', '1098845309/40649502915', '221098363/8129900583', '222443777/8129900583', '1119016349/40649502915', '160839349/5807071845', '1132786889/40649502915', '1139742671/40649502915', '382244671/13549834305', '1153753549/40649502915', '25795391/903322287', '1167844169/40649502915', '234979925/8129900583', '1181951863/40649502915', '1188992233/40649502915', '239202631/8129900583', '240601141/8129900583', '1209961631/40649502915', '173838763/5807071845', '1223725667/40649502915', '1230513929/40649502915', '412408559/13549834305', '1243848719/40649502915', '416790277/13549834305', '1256777777/40649502915', '9355963/301107429', '253837139/8129900583', '425050879/13549834305']
['2106937607/81312299529', '2117699683/81312299529', '2128827229/81312299529', '2140289231/81312299529', '2152055839/81312299529', '721366295/27104099843', '2176392013/81312299529', '729636845/27104099843', '733877123/27104099843', '738177621/27104099843', '2227594579/81312299529', '2240797177/81312299529', '751374091/27104099843', '755850743/27104099843', '2281070101/81312299529', '2294659267/81312299529', '769434673/27104099843', '2321987915/81312299529', '2335695979/81312299529', '2349411871/81312299529', '2363120359/81312299529', '2376805079/81312299529', '796816627/27104099843', '2404037821/81312299529', '2417551483/81312299529', '810324191/27104099843', '814760621/27104099843', '2457458989/81312299529', '2470482191/81312299529', '2483328139/81312299529', '2495971693/81312299529', '836128515/27104099843', '2520540079/81312299529', '2532403115/81312299529', '2543940055/81312299529']
['528492308/20331398307', '177029449/6777132769', '177924908/6777132769', '536544134/20331398307', '539389049/20331398307', '542302781/20331398307', '181759539/6777132769', '548310682/20331398307', '551393030/20331398307', '554520524/20331398307', '185895949/6777132769', '560890414/20331398307', '564123415/20331398307', '567382670/20331398307', '570663715/20331398307', '573962627/20331398307', '577275235/20331398307', '580597660/20331398307', '583925905/20331398307', '195752041/6777132769', '196861416/6777132769', '53991493/1848308937', '597218363/20331398307', '600516058/20331398307', '603794926/20331398307', '607050616/20331398307', '610278098/20331398307', '55770230/1848308937', '616628257/20331398307', '619739710/20331398307', '56618221/1848308937', '625803884/20331398307', '628742537/20331398307', '631608710/20331398307', '634393709/20331398307']
['1060355073/40669066714', '1065367151/40669066714', '1070558071/40669066714', '1075913211/40669066714', '540709161/20334533357', '543529927/20334533357', '1092825017/40669066714', '1098701801/40669066714', '1104678885/40669066714', '1110745621/40669066714', '558445959/20334533357', '1123108209/40669066714', '564692670/20334533357', '33403369/1196149021', '1142087367/40669066714', '574247745/20334533357', '33968560/1196149021', '580692916/20334533357', '583926125/20334533357', '587161107/20334533357', '590393997/20334533357', '593620711/20334533357', '1193674389/40669066714', '1200078425/40669066714', '1206444805/40669066714', '1212764413/40669066714', '609513832/20334533357', '612612224/20334533357', '615671993/20334533357', '618687389/20334533357', '1243304449/40669066714', '624559835/20334533357', '1254806027/40669066714', '1260347997/40669066714', '1265729035/40669066714']
['75980395/2905381201', '534278804/20337668407', '536783347/20337668407', '539369077/20337668407', '542029273/20337668407', '77822439/2905381201', '547546400/20337668407', '550391119/20337668407', '553285855/20337668407', '556225097/20337668407', '559204071/20337668407', '562217795/20337668407', '565261925/20337668407', '81190268/2905381201', '571423652/20337668407', '574532863/20337668407', '577655805/20337668407', '580788172/20337668407', '583926345/20337668407', '587066091/20337668407', '590203746/20337668407', '593334999/20337668407', '596456026/20337668407', '599562367/20337668407', '602649879/20337668407', '605713797/20337668407', '608749566/20337668407', '611751918/20337668407', '614715729/20337668407', '617635068/20337668407', '620504018/20337668407', '623315786/20337668407', '626063490/20337668407', '628739287/20337668407', '631335326/20337668407']
['2133903079/81362489031', '2143225715/81362489031', '2152897439/81362489031', '2162890717/81362489031', '2173178515/81362489031', '2183734817/81362489031', '2194534919/81362489031', '245061719/9040276559', '2216774399/81362489031', '2228170763/81362489031', '2239724747/81362489031', '750472477/27120829677', '2263230683/81362489031', '2275147093/81362489031', '2287149865/81362489031', '2299222369/81362489031', '2311348897/81362489031', '2323513195/81362489031', '2335699829/81362489031', '2347892849/81362489031', '2360076649/81362489031', '2372234941/81362489031', '794783845/27120829677', '2396409497/81362489031', '2408391443/81362489031', '2420279231/81362489031', '810684617/27120829677', '814565077/27120829677', '2455182151/81362489031', '822163985/27120829677', '2477600405/81362489031', '276497947/9040276559', '833035799/27120829677', '2509448137/81362489031', '2519472293/81362489031']
['1070177549/40687152217', '1074668107/40687152217', '1079330745/40687152217', '1084152563/40687152217', '1089119969/40687152217', '1094220671/40687152217', '1099442119/40687152217', '1104773233/40687152217', '1110202689/40687152217', '1115720569/40687152217', '1121316605/40687152217', '1126981841/40687152217', '1132706833/40687152217', '1138483341/40687152217', '1144302561/40687152217', '1150156643/40687152217', '1156037287/40687152217', '1161936851/40687152217', '1167847139/40687152217', '1173760667/40687152217', '1179669157/40687152217', '1185564943/40687152217', '1191439483/40687152217', '1197284763/40687152217', '1203091685/40687152217', '1208851637/40687152217', '1214554719/40687152217', '1220191395/40687152217', '1225750693/40687152217', '1231221819/40687152217', '1236592369/40687152217', '1241849951/40687152217', '1246980417/40687152217', '1251969563/40687152217', '1256801641/40687152217']
['2146521179/81385422907', '2155178115/81385422907', '2164174747/81385422907', '2173485367/81385422907', '2183084325/81385422907', '2192946789/81385422907', '2203048995/81385422907', '2213368295/81385422907', '2223883197/81385422907', '2234573281/81385422907', '2245419041/81385422907', '2256401865/81385422907', '2267503873/81385422907', '2278707799/81385422907', '2289996981/81385422907', '2301354949/81385422907', '2312765953/81385422907', '2324213973/81385422907', '2335683433/81385422907', '2347158611/81385422907', '2358623773/81385422907', '2370062833/81385422907', '2381459565/81385422907', '2392797145/81385422907', '2404058325/81385422907', '2415225085/81385422907', '2426278597/81385422907', '2437199101/81385422907', '2447965665/81385422907', '2458556097/81385422907', '2468946755/81385422907', '2479112377/81385422907', '2489026011/81385422907', '2498659087/81385422907', '2507981723/81385422907']
['35878121/1356609023', '23489348/884745015', '49311091/1849921395', '77809486/2907019335', '546982178/20349135345', '78480437/2907019335', '551803438/20349135345', '554297531/20349135345', '185613418/6783045115', '186475452/6783045115', '187350406/6783045115', '564710012/20349135345', '37826568/1356609023', '570112229/20349135345', '38189814/1356609023', '575599153/20349135345', '192788111/6783045115', '581138561/20349135345', '583918147/20349135345', '195566324/6783045115', '28070348/969006445', '39483263/1356609023', '595010041/20349135345', '597756191/20349135345', '120096664/4069827069', '86169532/2907019335', '605861939/20349135345', '608503853/20349135345', '55555226/1849921395', '204555713/6783045115', '616177193/20349135345', '618631213/20349135345', '207007599/6783045115', '623344762/20349135345', '27199567/884745015']
['719523595/27135663837', '2166597121/81406991511', '724984379/27135663837', '242623873/9045221279', '2192558141/81406991511', '2201759311/81406991511', '737065195/27135663837', '2220845087/81406991511', '743562329/27135663837', '746900443/27135663837', '750289693/27135663837', '2261171929/81406991511', '2271592289/81406991511', '2282113097/81406991511', '2292717905/81406991511', '2303390369/81406991511', '2314114829/81406991511', '2324875489/81406991511', '2335656691/81406991511', '2346442981/81406991511', '261913177/9045221279', '2367967583/81406991511', '2378673841/81406991511', '2389320665/81406991511', '799963657/27135663837', '2410366925/81406991511', '2420729983/81406991511', '2430960655/81406991511', '2441038457/81406991511', '2450941661/81406991511', '2460647281/81406991511', '2470130845/81406991511', '2479366463/81406991511', '2488326827/81406991511', '832327921/27135663837']
['360742385/13569573607', '1086087113/40708720821', '1090109135/40708720821', '1094282053/40708720821', '1098593785/40708720821', '367677731/13569573607', '1107588709/40708720821', '1112250025/40708720821', '372335493/13569573607', '373949539/13569573607', '375588881/13569573607', '377250635/13569573607', '1136795249/40708720821', '1141888639/40708720821', '1147023485/40708720821', '384064021/13569573607', '1157386163/40708720821', '387532789/13569573607', '1167820397/40708720821', '1173045037/40708720821', '392754659/13569573607', '1183469693/40708720821', '1188653759/40708720821', '1193808283/40708720821', '1198924331/40708720821', '401331159/13569573607', '403002035/13569573607', '404650983/13569573607', '406274495/13569573607', '1223607383/40708720821', '409430965/13569573607', '1232868419/40708720821', '1237320869/40708720821', '413879101/13569573607', '1245803681/40708720821']
['23333975/875561839', '725829917/27142417009', '2185238899/81427251027', '2193284911/81427251027', '2201605111/81427251027', '2210177069/81427251027', '2218978945/81427251027', '2227989743/81427251027', '2237189279/81427251027', '748852719/27142417009', '2256077801/81427251027', '2265730319/81427251027', '758499461/27142417009', '761788415/27142417009', '2295314653/81427251027', '768443497/27142417009', '2315397175/81427251027', '2325499225/81427251027', '2335620899/81427251027', '2345747099/81427251027', '785287341/27142417009', '2365949963/81427251027', '791998305/27142417009', '2385980407/81427251027', '2395889495/81427251027', '2405704651/81427251027', '2415407603/81427251027', '2424979235/81427251027', '2434399511/81427251027', '2443647277/81427251027', '2452700189/81427251027', '2461534697/81427251027', '2470125941/81427251027', '2478447977/81427251027', '828824771/27142417009']
['60435140/2262140567', '545701319/20359265103', '547564882/20359265103', '183167143/6786421701', '61278407/2262140567', '553571938/20359265103', '61743902/2262140567', '557869859/20359265103', '560091400/20359265103', '187451590/6786421701', '564655579/20359265103', '566989207/20359265103', '569351567/20359265103', '571738303/20359265103', '574145584/20359265103', '64063246/2262140567', '579005506/20359265103', '581450429/20359265103', '194633417/6786421701', '586351031/20359265103', '196266341/6786421701', '197080045/6786421701', '593670578/20359265103', '198695354/6786421701', '199494194/6786421701', '600855587/20359265103', '603200749/20359265103', '605513143/20359265103', '607788013/20359265103', '610019947/20359265103', '612203647/20359265103', '204777713/6786421701', '205467512/6786421701', '618405337/20359265103', '620335316/20359265103']
