['0', '106340988/71808016103', '212694443/71808016103', '319072918/71808016103', '425488929/71808016103', '531955045/71808016103', '638483972/71808016103', '745088437/71808016103', '851781275/71808016103', '958575499/71808016103', '1065484212/71808016103', '1172520676/71808016103', '1279698400/71808016103', '1387031023/71808016103', '1494532516/71808016103', '1602216886/71808016103', '1710098763/71808016103', '1818192727/71808016103', '1926513967/71808016103', '2035077876/71808016103', '2143900289/71808016103', '2252997530/71808016103', '2362386333/71808016103', '2472083961/71808016103', '2582108283/71808016103', '2692477747/71808016103', '2803211460/71808016103', '2914329325/71808016103', '3025851996/71808016103', '3137800999/71808016103', '3250198906/71808016103', '3363069288/71808016103', '3476436900/71808016103', '3590327888/71808016103', '3704769788/71808016103', '3819791799/71808016103', '3935425059/71808016103']
['7158992303/331965276367', '7254522751/331965276367', '7351034647/331965276367', '7448405955/331965276367', '7546533443/331965276367', '7645329111/331965276367', '7744717297/331965276367', '7844632473/331965276367', '7945017301/331965276367', '8045821347/331965276367', '8146999759/331965276367', '8248512357/331965276367', '8350322839/331965276367', '8452398081/331965276367', '8554707593/331965276367', '8657222943/331965276367', '8759917271/331965276367', '8862765751/331965276367', '8965742509/331965276367', '9068825523/331965276367', '9171989177/331965276367', '9275211267/331965276367', '9378466819/331965276367', '9481731459/331965276367', '9584979171/331965276367', '9688182721/331965276367', '9791312859/331965276367', '9894337923/331965276367', '9997223229/331965276367', '10099930343/331965276367', '10202416109/331965276367', '10304631717/331965276367', '10406521111/331965276367', '10508019347/331965276367', '10609050227/331965276367', '10709523083/331965276367', '10809328551/331965276367']
['3598726555/166033105117', '3645433015/166033105117', '3692642715/166033105117', '3740292917/166033105117', '3788332359/166033105117', '3836715103/166033105117', '3885403603/166033105117', '3934363161/166033105117', '3983565363/166033105117', '4032983109/166033105117', '4082594301/166033105117', '4132376981/166033105117', '4182313379/166033105117', '4232385139/166033105117', '4282577407/166033105117', '4332874237/166033105117', '4383262611/166033105117', '4433728407/166033105117', '4484259125/166033105117', '4534842057/166033105117', '416860439/15093918647', '4636114627/166033105117', '4686779417/166033105117', '4737445241/166033105117', '4788099523/166033105117', '4838726863/166033105117', '4889312985/166033105117', '4939840211/166033105117', '4990291517/166033105117', '5040645715/166033105117', '5090881483/166033105117', '5140972355/166033105117', '5190890423/166033105117', '5240601059/166033105117', '5290066233/166033105117', '5339238329/166033105117', '5388062763/166033105117']
['7235255357/332163302923', '7326593401/332163302923', '7418958367/332163302923', '7512226061/332163302923', '7606290517/332163302923', '7701060699/332163302923', '7796457889/332163302923', '7892413343/332163302923', '7988866623/332163302923', '8085764229/332163302923', '8183058333/332163302923', '8280705829/332163302923', '8378667667/332163302923', '8476907925/332163302923', '8575393475/332163302923', '8674093355/332163302923', '8772978043/332163302923', '8872020311/332163302923', '8971191793/332163302923', '9070467939/332163302923', '9169820729/332163302923', '9269225445/332163302923', '9368654585/332163302923', '9468081189/332163302923', '9567476649/332163302923', '9666810959/332163302923', '9766052045/332163302923', '9865165315/332163302923', '9964112987/332163302923', '10062853347/332163302923', '10161339911/332163302923', '10259520185/332163302923', '10357334365/332163302923', '10454713561/332163302923', '10551577477/332163302923', '10647831285/332163302923', '10743361733/332163302923']
['3636512375/166130144577', '3681144233/166130144577', '1242099941/55376714859', '3771917693/166130144577', '3817943137/166130144577', '3864331079/166130144577', '434560037/18458904953', '3958036865/166130144577', '4005288653/166130144577', '4052769293/166130144577', '4100453053/166130144577', '4148318797/166130144577', '4196345213/166130144577', '1414838251/55376714859', '476978793/18458904953', '4341213331/166130144577', '487745647/18458904953', '4438288523/166130144577', '4486930523/166130144577', '4535624995/166130144577', '4584356285/166130144577', '1544370823/55376714859', '1560626023/55376714859', '1576880033/55376714859', '1593127495/55376714859', '1609363543/55376714859', '1625582243/55376714859', '4925333855/166130144577', '4973831237/166130144577', '558024263/18458904953', '5070470047/166130144577', '1706186755/55376714859', '5166457121/166130144577', '5214126343/166130144577', '5261525671/166130144577', '589845323/18458904953', '1785104789/55376714859']
['42500635/1932288008', '3698670653/166176768688', '1871410273/83088384344', '3787441471/166176768688', '3832479349/166176768688', '3877887471/166176768688', '3923625089/166176768688', '3969656475/166176768688', '2007975007/83088384344', '1015619391/41544192172', '4109213823/166176768688', '4156135945/166176768688', '4203223037/166176768688', '4250455887/166176768688', '4297816653/166176768688', '2172644325/83088384344', '4392855827/166176768688', '2220251729/83088384344', '4488216113/166176768688', '647997185/23739538384', '572972611/20772096086', '4631604255/166176768688', '668490775/23739538384', '4727259737/166176768688', '1193765387/41544192172', '2411412287/83088384344', '4870531415/166176768688', '2459081691/83088384344', '44336608/1483721149', '14573021/483072002', '722913697/23739538384', '2553751091/83088384344', '1288601627/41544192172', '5201072631/166176768688', '1311864643/41544192172', '2646757605/83088384344', '667398029/20772096086']
['141291767/6393206074', '1858093165/83111678962', '939832681/41555839481', '1901477465/83111678962', '961751377/41555839481', '1945717061/83111678962', '1968100231/83111678962', '995316776/41555839481', '2013301429/83111678962', '78311112/3196603037', '2058983571/83111678962', '1040986564/41555839481', '2105047341/83111678962', '163707367/6393206074', '2151409721/83111678962', '35075484/1340510951', '1098999422/41555839481', '1110679022/41555839481', '1122375064/41555839481', '1134083752/41555839481', '1145801446/41555839481', '1157524300/41555839481', '2338497403/83111678962', '181687779/6393206074', '91745083/3196603037', '2408781509/83111678962', '1216080344/41555839481', '1227749727/41555839481', '2478787819/83111678962', '2502013701/83111678962', '1262582404/41555839481', '196017405/6393206074', '2571182403/83111678962', '99769774/3196603037', '1308350293/41555839481', '2639216267/83111678962', '1330766098/41555839481']
['3691759289/166268122288', '3733367513/166268122288', '943881895/41567030572', '1909088123/83134061144', '1930629351/83134061144', '3904727197/166268122288', '3948539897/166268122288', '1996329935/83134061144', '4037054287/166268122288', '2040846867/83134061144', '2063275859/83134061144', '4171604111/166268122288', '4216828839/166268122288', '4262205485/166268122288', '2153857509/83134061144', '272083724/10391757643', '1099765499/41567030572', '2222433169/83134061144', '1122684033/41567030572', '2268328297/83134061144', '4582611623/166268122288', '4628586297/166268122288', '292160286/10391757643', '1180132635/41567030572', '4766467361/166268122288', '4812357507/166268122288', '607272787/20783515286', '4903921695/166268122288', '2474777005/83134061144', '4995055427/166268122288', '2520199817/83134061144', '5085557223/166268122288', '320655939/10391757643', '2587587611/83134061144', '2609777163/83134061144', '5263581677/166268122288', '663399715/20783515286']
['618320927/27718810715', '1875270857/83156432145', '631952928/27718810715', '638898471/27718810715', '1937752658/83156432145', '653002314/27718810715', '396087316/16631286429', '667341119/27718810715', '2023750042/83156432145', '2045602168/83156432145', '689188557/27718810715', '2089628708/83156432145', '703926479/27718810715', '426801577/16631286429', '2156303716/83156432145', '726219418/27718810715', '440212420/16631286429', '2223507527/83156432145', '2245985521/83156432145', '453697780/16631286429', '2291008838/83156432145', '771179366/27718810715', '2336067862/83156432145', '471718078/16631286429', '476219291/16631286429', '2403577517/83156432145', '808674461/27718810715', '489684851/16631286429', '2470768426/83156432145', '498608834/16631286429', '2515237454/83156432145', '2537333753/83156432145', '2559315566/83156432145', '2581164172/83156432145', '173523795/5543762143', '2624368693/83156432145', '881889629/27718810715']
['677767215/30246513223', '7534734299/332711645453', '7615164025/332711645453', '7696601923/332711645453', '7778937313/332711645453', '7862073223/332711645453', '7945924181/332711645453', '8030414309/332711645453', '8115475803/332711645453', '8201047715/332711645453', '8287074775/332711645453', '8373506523/332711645453', '8460296595/332711645453', '777036541/30246513223', '8634782285/332711645453', '8722399797/332711645453', '8810217861/332711645453', '8898202469/332711645453', '8986318697/332711645453', '9074534505/332711645453', '9162815807/332711645453', '9251130407/332711645453', '9339444063/332711645453', '9427722663/332711645453', '9515930277/332711645453', '9604029491/332711645453', '9691980511/332711645453', '9779740869/332711645453', '9867264571/332711645453', '9954501417/332711645453', '10041396121/332711645453', '10127887133/332711645453', '10213905341/332711645453', '10299372463/332711645453', '10384198819/332711645453', '10468280719/332711645453', '10551497167/332711645453']
['3745509321/166398767141', '222599303/9788162773', '3823442087/166398767141', '3863206801/166398767141', '3903427793/166398767141', '3944055245/166398767141', '3985047055/166398767141', '4026363777/166398767141', '4067972081/166398767141', '4109839939/166398767141', '4151940215/166398767141', '4194246143/166398767141', '4236735033/166398767141', '4279383787/166398767141', '4322172785/166398767141', '4365081557/166398767141', '4408092285/166398767141', '4451186411/166398767141', '4494347029/166398767141', '4537556461/166398767141', '4580798283/166398767141', '4624054747/166398767141', '4667309257/166398767141', '4710543179/166398767141', '4753739027/166398767141', '4796876461/166398767141', '4839936083/166398767141', '4882895001/166398767141', '4925730645/166398767141', '4968416263/166398767141', '5010924629/166398767141', '5053223247/166398767141', '5095278013/166398767141', '5137048075/166398767141', '5178489057/166398767141', '5219547533/166398767141', '5260163685/166398767141']
['3762911477/166439965823', '3800647021/166439965823', '3838963136/166439965823', '3877796664/166439965823', '3917092044/166439965823', '3956800271/166439965823', '3996877908/166439965823', '4037286182/166439965823', '4077990333/166439965823', '4118958900/166439965823', '4160163289/166439965823', '4201577283/166439965823', '4243176684/166439965823', '4284938948/166439965823', '4326842950/166439965823', '4368868751/166439965823', '4410997046/166439965823', '4453209785/166439965823', '4495488605/166439965823', '4537816281/166439965823', '4580174979/166439965823', '4622547383/166439965823', '4664915434/166439965823', '4707260994/166439965823', '4749565028/166439965823', '4791807717/166439965823', '4833968093/166439965823', '4876023745/166439965823', '4917950526/166439965823', '4959722162/166439965823', '5001309808/166439965823', '5042681469/166439965823', '5083801436/166439965823', '5124629363/166439965823', '5165119355/166439965823', '5205218653/166439965823', '5244866120/166439965823']
['1890155433/83240577967', '1908551575/83240577967', '1927240739/83240577967', '1946191931/83240577967', '1965376838/83240577967', '1984771371/83240577967', '2004353139/83240577967', '2024103096/83240577967', '2044003147/83240577967', '2064037844/83240577967', '2084192162/83240577967', '2104453271/83240577967', '2124808311/83240577967', '2145246291/83240577967', '2165755896/83240577967', '2186327419/83240577967', '2206950462/83240577967', '2227616259/83240577967', '2248314891/83240577967', '2269037975/83240577967', '2289775889/83240577967', '2310520186/83240577967', '2331261104/83240577967', '2351989826/83240577967', '2372696050/83240577967', '2393370132/83240577967', '2414000802/83240577967', '2434577090/83240577967', '2455086135/83240577967', '2475515043/83240577967', '2495848575/83240577967', '2516070988/83240577967', '2536163625/83240577967', '2556106565/83240577967', '2575876102/83240577967', '2595446195/83240577967', '2614785610/83240577967']
['7594619363/333041276309', '1095195379/47577325187', '7739298559/333041276309', '7813286777/333041276309', '7888221157/333041276309', '7964003115/333041276309', '8040544723/333041276309', '1159681035/47577325187', '8195599599/333041276309', '8273977307/333041276309', '8352841479/333041276309', '8432137933/333041276309', '8511816445/333041276309', '1227404313/47577325187', '8672134969/333041276309', '8752689143/333041276309', '8833452255/333041276309', '1273483745/47577325187', '8995452667/333041276309', '9076614945/333041276309', '186894609/6796760741', '9239078515/333041276309', '9320305101/333041276309', '9401477285/333041276309', '9482555003/333041276309', '9563496681/333041276309', '9644258237/333041276309', '9724792837/333041276309', '9805050083/333041276309', '9884975297/333041276309', '9964508641/333041276309', '10043584121/333041276309', '1446018311/47577325187', '10200058271/333041276309', '10277280901/333041276309', '10353689245/333041276309', '10429160333/333041276309']
['317858903/13880009606', '641543809/27760019212', '1942407725/83280057636', '490112663/20820014409', '494683237/20820014409', '665743137/27760019212', '2015918467/83280057636', '1017389897/41640028818', '342299325/13880009606', '2072950141/83280057636', '2092227949/83280057636', '1055807557/41640028818', '177591615/6940004803', '537667082/20820014409', '723437059/27760019212', '2190016807/83280057636', '1104887695/41640028818', '185798054/6940004803', '749803773/27760019212', '2269269451/83280057636', '1144571033/41640028818', '577254796/20820014409', '194074303/6940004803', '1174374541/41640028818', '789527263/27760019212', '2388378613/83280057636', '1204064393/41640028818', '809273285/27760019212', '2447439485/83280057636', '616743308/20820014409', '621601603/20820014409', '835240591/27760019212', '2524901195/83280057636', '423987221/13880009606', '640691281/20820014409', '645349805/20820014409', '433299227/13880009606']
['7661779831/333195841975', '7729909199/333195841975', '7799238047/333195841975', '1573928497/66639168395', '7941011863/333195841975', '8013247369/333195841975', '8086260529/333195841975', '1631994317/66639168395', '8234308353/333195841975', '8309205011/333195841975', '8384601251/333195841975', '8460441317/333195841975', '8536673493/333195841975', '8613249273/333195841975', '8690122831/333195841975', '8767250851/333195841975', '8844591249/333195841975', '8922104019/333195841975', '8999749501/333195841975', '9077488749/333195841975', '9155283327/333195841975', '9233094271/333195841975', '9310882143/333195841975', '9388606693/333195841975', '1893245233/66639168395', '1908739409/66639168395', '1924194689/66639168395', '1939601331/66639168395', '9774744421/333195841975', '9851130141/333195841975', '397084089/13327833679', '10002592803/333195841975', '10077526683/333195841975', '10151819803/333195841975', '10225377409/333195841975', '411923673/13327833679', '2073968023/66639168395']
['81861107/3545440931', '3880645385/166635723757', '3914421645/166635723757', '3948740239/166635723757', '3983545037/166635723757', '4018787635/166635723757', '4054422703/166635723757', '4090411129/166635723757', '4126715619/166635723757', '4163303933/166635723757', '4200144599/166635723757', '4237210389/166635723757', '4274474093/166635723757', '4311912043/166635723757', '4349499979/166635723757', '4387216817/166635723757', '4425040133/166635723757', '4462950481/166635723757', '4500926711/166635723757', '4538949793/166635723757', '4576999239/166635723757', '4615056043/166635723757', '4653099103/166635723757', '4691108857/166635723757', '4729062999/166635723757', '4766940311/166635723757', '4804716443/166635723757', '4842367581/166635723757', '4879866147/166635723757', '4917184429/166635723757', '4954290197/166635723757', '4991150091/166635723757', '5027725161/166635723757', '5063974043/166635723757', '5099848073/166635723757', '5135294315/166635723757', '5170250333/166635723757']
['84914927/3663118525', '7791875257/333343785775', '7857703949/333343785775', '7924622441/333343785775', '1598504191/66668757155', '8061300981/333343785775', '1626174741/66668757155', '8201158789/333343785775', '1181726171/47620540825', '8343580057/333343785775', '1683117567/66668757155', '8488049573/333343785775', '778264737/30303980525', '1233446509/47620540825', '8707642659/333343785775', '8781418557/333343785775', '8855409691/333343785775', '1275653487/47620540825', '9003871743/333343785775', '1815652159/66668757155', '9152701933/333343785775', '838832207/30303980525', '845597903/30303980525', '852357091/30303980525', '9450164019/333343785775', '1360605693/47620540825', '383924319/13333751431', '9671717997/333343785775', '9745015983/333343785775', '9817943803/333343785775', '9890438211/333343785775', '766340761/25641829675', '10033842321/333343785775', '10104590281/333343785775', '782659859/25641829675', '10243698071/333343785775', '10311827439/333343785775']
['161657741/6946169182', '651871555/27784676728', '1971640883/83354030184', '993970417/41677015092', '668162565/27784676728', '2021256413/83354030184', '1019112623/41677015092', '685124527/27784676728', '2072683549/83354030184', '2090137831/83354030184', '2107721399/83354030184', '531354847/20838507546', '535804705/20838507546', '2161106591/83354030184', '2179071193/83354030184', '1098550373/41677015092', '276898085/10419253773', '2233311893/83354030184', '93811353/3473084591', '189137957/6946169182', '2287851361/83354030184', '768683053/27784676728', '2324238985/83354030184', '780803223/27784676728', '295068829/10419253773', '792883305/27784676728', '1198347967/41677015092', '2414675395/83354030184', '405429187/13892338364', '408396651/13892338364', '1234037119/41677015092', '2485640141/83354030184', '834352943/27784676728', '1260154187/41677015092', '2537365307/83354030184', '425700357/13892338364', '642697205/20838507546']
['3895506520/166742631567', '3926113024/166742631567', '3957329377/166742631567', '3989095741/166742631567', '1340452639/55580877189', '150150626/6175653021', '4087178360/166742631567', '4120651972/166742631567', '4154450920/166742631567', '4188541378/166742631567', '469210237/18526959063', '473052683/18526959063', '4292260277/166742631567', '1442408327/55580877189', '4362343979/166742631567', '4397594173/166742631567', '4432953176/166742631567', '55165424/2058551007', '4503911662/166742631567', '4539468806/166742631567', '1525016798/55580877189', '4610635123/166742631567', '4646201942/166742631567', '1560576359/55580877189', '4717194104/166742631567', '4752573715/166742631567', '4787843414/166742631567', '1607659090/55580877189', '4857947630/166742631567', '1630908238/55580877189', '4927276264/166742631567', '4961567042/166742631567', '4995558260/166742631567', '5029206914/166742631567', '5062465043/166742631567', '566142079/18526959063', '5127587161/166742631567']
['1955613481/83388600939', '1970498212/83388600939', '94556588/3970885759', '2001154762/83388600939', '672290026/27796200313', '677603449/27796200313', '2048952974/83388600939', '2065278254/83388600939', '2081767238/83388600939', '299771917/11912657277', '2115170611/83388600939', '304579235/11912657277', '716347117/27796200313', '2166118294/83388600939', '2183272703/83388600939', '2200493357/83388600939', '2217768439/83388600939', '2235087410/83388600939', '750813055/27796200313', '2269813313/83388600939', '2287199042/83388600939', '2304585988/83388600939', '2321962996/83388600939', '2339319464/83388600939', '2356643542/83388600939', '791307961/27796200313', '797049192/27796200313', '802767327/27796200313', '2425372622/83388600939', '814114977/27796200313', '2459202154/83388600939', '11409802/384279267', '2492499568/83388600939', '836299560/27796200313', '360728554/11912657277', '121003653/3970885759', '852266162/27796200313']
['1963251711/83405107499', '3955463125/166810214998', '1992517249/83405107499', '2007579554/83405107499', '2022891784/83405107499', '2038429684/83405107499', '4108342361/166810214998', '2070096124/83405107499', '2086186013/83405107499', '2102423829/83405107499', '2118793765/83405107499', '87154331/3404290102', '4303744099/166810214998', '2168553561/83405107499', '4370626447/166810214998', '2202139216/83405107499', '2219020053/83405107499', '2235944576/83405107499', '4505804057/166810214998', '2269881371/83405107499', '653392041/23830030714', '658246669/23830030714', '4641688267/166810214998', '2337803298/83405107499', '2354729308/83405107499', '4743220371/166810214998', '2388433354/83405107499', '343597937/11915015357', '4843705301/166810214998', '4876838949/166810214998', '350695662/11915015357', '4942370589/166810214998', '2487346873/83405107499', '2503332784/83405107499', '5038238043/166810214998', '2534678774/83405107499', '2549982026/83405107499']
['3941779729/166843227659', '3969929673/166843227659', '3998692149/166843227659', '4028008541/166843227659', '4057826829/166843227659', '4088097893/166843227659', '4118778627/166843227659', '4149827843/166843227659', '4181209435/166843227659', '4212888341/166843227659', '4244833707/166843227659', '4277015025/166843227659', '4309405381/166843227659', '4341977551/166843227659', '4374707397/166843227659', '4407570073/166843227659', '4440543271/166843227659', '4473603439/166843227659', '4506729757/166843227659', '4539898847/166843227659', '4573090499/166843227659', '4606281417/166843227659', '4639450587/166843227659', '4672574327/166843227659', '4705630225/166843227659', '4738593067/166843227659', '4771438369/166843227659', '4804138389/166843227659', '4836665481/166843227659', '4868988167/166843227659', '4901074365/166843227659', '4932887251/166843227659', '4964388501/166843227659', '4995533923/166843227659', '5026276479/166843227659', '5056561821/166843227659', '5086331283/166843227659']
['7913208067/333749444115', '2655981803/111249814705', '2674635263/111249814705', '2693658441/111249814705', '8139049337/333749444115', '8198032081/333749444115', '8257835969/333749444115', '2772793547/111249814705', '8379592151/333749444115', '8441402053/333749444115', '8503746697/333749444115', '8566566601/333749444115', '8629805789/333749444115', '1738682257/66749888823', '583822173/22249962941', '8821521349/333749444115', '2961976913/111249814705', '2983504971/111249814705', '9015229979/333749444115', '9080030441/333749444115', '9144873599/333749444115', '9209714089/333749444115', '618300507/22249962941', '3113069351/111249814705', '3134589417/111249814705', '9468139123/333749444115', '9532269377/333749444115', '9596104859/333749444115', '1931917609/66749888823', '9722657429/333749444115', '1957049329/66749888823', '3282427893/111249814705', '9908689921/333749444115', '3323126281/111249814705', '3343084939/111249814705', '10088211583/333749444115', '3382043663/111249814705']
['3971428263/166906216231', '3998015661/166906216231', '4025213565/166906216231', '4052966707/166906216231', '4081222433/166906216231', '4109934115/166906216231', '4139057269/166906216231', '4168552725/166906216231', '4198382645/166906216231', '4228513643/166906216231', '4258912923/166906216231', '4289551513/166906216231', '4320400349/166906216231', '4351433679/166906216231', '4382625151/166906216231', '4413951235/166906216231', '4445387435/166906216231', '4476911451/166906216231', '4508500207/166906216231', '4540131589/166906216231', '4571783105/166906216231', '4603432687/166906216231', '4635057041/166906216231', '4666633759/166906216231', '4698138067/166906216231', '4729546103/166906216231', '4760831063/166906216231', '4791966529/166906216231', '4822922627/166906216231', '4853669329/166906216231', '4884172349/166906216231', '4914396499/166906216231', '4944301493/166906216231', '4973844993/166906216231', '5002978411/166906216231', '5031649837/166906216231', '5059799781/166906216231']
['797159055/33387246566', '2005814587/83468116415', '403807248/16693623283', '2032534987/83468116415', '4092570487/166936232830', '412052694/16693623283', '4148896023/166936232830', '4177637861/166936232830', '2103357778/83468116415', '58028697/2286797710', '4265743889/166936232830', '2147816311/83468116415', '432573281/16693623283', '2178008838/83468116415', '4386461577/166936232830', '2208519967/83468116415', '2223864483/83468116415', '4478505231/166936232830', '2254673193/83468116415', '4540229197/166936232830', '2285565912/83468116415', '2301015551/83468116415', '4632904423/166936232830', '4663728227/166936232830', '32153962/1143398855', '4725130127/166936232830', '951131425/33387246566', '4786031967/166936232830', '32987846/1143398855', '4846206677/166936232830', '2437970998/83468116415', '2452697661/83468116415', '4934527259/166936232830', '496329469/16693623283', '4991650149/166936232830', '2509770591/83468116415', '5046909853/166936232830']
['1000040563/41741562331', '1006310663/41741562331', '144676120/5963080333', '2038586603/83483124662', '2051959253/83483124662', '2065559865/83483124662', '2079367371/83483124662', '2093361481/83483124662', '2107524217/83483124662', '2121838043/83483124662', '2136287411/83483124662', '1075428425/41741562331', '309361803/11926160666', '2180300823/83483124662', '1097574495/41741562331', '1105032153/41741562331', '1112517620/41741562331', '1120024750/41741562331', '2255096279/83483124662', '2270163401/83483124662', '2285240273/83483124662', '1150157381/41741562331', '1157687954/41741562331', '166457954/5963080333', '2345409429/83483124662', '2360357087/83483124662', '2375241607/83483124662', '341435531/11926160666', '1202382109/41741562331', '2419372029/83483124662', '1216927919/41741562331', '2448197089/83483124662', '1231188265/41741562331', '2476372211/83483124662', '2490160961/83483124662', '2503716281/83483124662', '1258504990/41741562331']
['8028133911/333989657503', '8076845117/333989657503', '8126767331/333989657503', '8177793787/333989657503', '8229824787/333989657503', '8282768001/333989657503', '8336538135/333989657503', '8391056185/333989657503', '8446248841/333989657503', '8502047807/333989657503', '8558389169/333989657503', '8615212759/333989657503', '8672461741/333989657503', '8730082033/333989657503', '8788021837/333989657503', '8846231339/333989657503', '8904662371/333989657503', '8963267191/333989657503', '9022000485/333989657503', '9080814945/333989657503', '9139666077/333989657503', '9198506761/333989657503', '9257290995/333989657503', '9315970801/333989657503', '9374497359/333989657503', '9432819897/333989657503', '9490885501/333989657503', '9548638571/333989657503', '9606020275/333989657503', '9662967939/333989657503', '9719414445/333989657503', '9775287329/333989657503', '9830508007/333989657503', '9884990787/333989657503', '9938641763/333989657503', '9991357713/333989657503', '10043025511/333989657503']
['2013985822/83511704067', '675267075/27837234689', '2037917978/83511704067', '683436761/27837234689', '2062953133/83511704067', '691941376/27837234689', '696300563/27837234689', '2102166604/83511704067', '2115600196/83511704067', '2129185853/83511704067', '2142907166/83511704067', '2156749523/83511704067', '723566081/27837234689', '728246729/27837234689', '2198861923/83511704067', '2213051359/83511704067', '2227295941/83511704067', '2241584093/83511704067', '2255903962/83511704067', '2270244071/83511704067', '761530922/27837234689', '208994420/7591973097', '771089864/27837234689', '2327574049/83511704067', '780613085/27837234689', '2356052867/83511704067', '790067050/27837234689', '2384270575/83511704067', '2398245926/83511704067', '804037316/27837234689', '2425851392/83511704067', '813148861/27837234689', '817625827/27837234689', '2466123190/83511704067', '2479159928/83511704067', '226542053/7591973097', '834834261/27837234689']
['4041411657/167050592476', '4064345533/167050592476', '1021969825/41762648119', '2055980771/83525296238', '4136543839/167050592476', '2080790559/83525296238', '2093515723/83525296238', '4212855867/167050592476', '2119509031/83525296238', '4265484075/167050592476', '4292222005/167050592476', '1079800451/41762648119', '2173197461/83525296238', '4373774193/167050592476', '2200656765/83525296238', '4428987779/167050592476', '4456772605/167050592476', '2242321933/83525296238', '1128144638/41762648119', '4540552769/167050592476', '1142135969/41762648119', '1149132008/41762648119', '4624481875/167050592476', '1163095284/41762648119', '4680201065/167050592476', '1176979000/41762648119', '1183874806/41762648119', '1190730678/41762648119', '4790156849/167050592476', '1204292557/41762648119', '2421964605/83525296238', '4870397665/167050592476', '4896536523/167050592476', '2461151673/83525296238', '2473825913/83525296238', '4972531421/167050592476', '1249221756/41762648119']
['253428229/10442361050', '407708861/16707777680', '107892701/4396783600', '257706407/10442361050', '2073590703/83538888400', '2085756987/83538888400', '1049064877/41769444200', '105534463/4176944420', '2123417863/83538888400', '194208929/7594444400', '537328709/20884722100', '1081226139/41769444200', '543924169/20884722100', '2189034003/83538888400', '440490321/16707777680', '1107968209/41769444200', '1114738331/41769444200', '560764943/20884722100', '2256674589/83538888400', '1135154349/41769444200', '228395111/8353888840', '2297589413/83538888400', '577803071/20884722100', '211346099/7594444400', '584590453/20884722100', '470372627/16707777680', '2365298077/83538888400', '118932607/4176944420', '1195955463/41769444200', '2405058283/83538888400', '2418077821/83538888400', '486190217/16707777680', '488731809/16707777680', '2456180159/83538888400', '2468491901/83538888400', '2480568841/83538888400', '623096061/20884722100']
['8135649505/334207215587', '8178786713/334207215587', '8223109315/334207215587', '8268518543/334207215587', '8314920785/334207215587', '8362228135/334207215587', '8410358529/334207215587', '1208462183/47743887941', '8508786661/334207215587', '8558945299/334207215587', '8609647819/334207215587', '1237262027/47743887941', '8712447381/334207215587', '8764432909/334207215587', '8816738401/334207215587', '8869313163/334207215587', '1274586899/47743887941', '8975074977/334207215587', '9028166715/334207215587', '9081335411/334207215587', '9134535063/334207215587', '9187717619/334207215587', '9240835855/334207215587', '9293840663/334207215587', '1335240311/47743887941', '9399308631/334207215587', '9451666241/334207215587', '9503698649/334207215587', '9555346555/334207215587', '9606547015/334207215587', '9657232973/334207215587', '9707332529/334207215587', '9756768247/334207215587', '9805456287/334207215587', '9853305753/334207215587', '9900217777/334207215587', '9946085529/334207215587']
['4080797839/167129438781', '4101698101/167129438781', '4123186675/167129438781', '4145216029/167129438781', '1389246459/55709812927', '4190714159/167129438781', '1404699673/55709812927', '4237856759/167129438781', '1420650311/55709812927', '1428782953/55709812927', '4311018145/167129438781', '1445309877/55709812927', '4361054027/167129438781', '4386364901/167129438781', '4411835189/167129438781', '1479146775/55709812927', '4463154967/167129438781', '4488955433/167129438781', '1504939179/55709812927', '1513572671/55709812927', '4566632845/167129438781', '4592538793/167129438781', '1539470429/55709812927', '4644226487/167129438781', '4669958555/167129438781', '1565194121/55709812927', '4721070089/167129438781', '1582131457/55709812927', '1590508235/55709812927', '4796430451/167129438781', '4821077333/167129438781', '4845430361/167129438781', '1623150053/55709812927', '4893095971/167129438781', '4916321953/167129438781', '4939080097/167129438781', '4961317043/167129438781']
['8186608601/334307918819', '8227127633/334307918819', '8268814691/334307918819', '8311575341/334307918819', '8355319237/334307918819', '8399961063/334307918819', '8445420687/334307918819', '1213088983/47758274117', '1219785281/47758274117', '8585976401/334307918819', '8633998285/334307918819', '8682502939/334307918819', '8731433499/334307918819', '8780735521/334307918819', '8830356541/334307918819', '1268606535/47758274117', '8930353973/334307918819', '8980632197/334307918819', '9031033467/334307918819', '9081509581/334307918819', '9132013895/334307918819', '9182498253/334307918819', '9232914925/334307918819', '9283214525/334307918819', '9333346885/334307918819', '1340465713/47758274117', '9432899839/334307918819', '9482210043/334307918819', '9531131263/334307918819', '9579600745/334307918819', '9627551807/334307918819', '9674913141/334307918819', '9721608199/334307918819', '9767554547/334307918819', '9812663093/334307918819', '9856837605/334307918819', '9899974813/334307918819']
