['0', '41773/14944774', '41780/7472387', '250741/29889548', '334439/29889548', '104560/7472387', '502167/29889548', '11274/574799', '167628/7472387', '377491/14944774', '419849/14944774', '462333/14944774', '1009945/29889548', '1095545/29889548', '1181513/29889548', '1267875/29889548', '1354671/29889548', '1441943/29889548', '382431/7472387', '404516/7472387', '426753/7472387', '138201/2299196', '943463/14944774', '1978013/29889548', '2069939/29889548', '540695/7472387', '1128313/14944774']
['2222863/132604041', '808662/44201347', '876462/44201347', '2833082/132604041', '3037109/132604041', '3241486/132604041', '1148746/44201347', '1217133/44201347', '3856990/132604041', '1354346/44201347', '4269575/132604041', '40330/1194631', '1561406/44201347', '4892452/132604041', '5101175/132604041', '5310662/132604041', '5520754/132604041', '1910531/44201347', '5943169/132604041', '6155546/132604041', '6368752/132604041', '2194276/44201347', '6797822/132604041', '7013782/132604041', '7230755/132604041', '7448795/132604041', '7667956/132604041']
['2337837/133112311', '2533743/133112311', '2729953/133112311', '2926421/133112311', '3123229/133112311', '3320353/133112311', '3517855/133112311', '3715723/133112311', '3914025/133112311', '4112735/133112311', '4311923/133112311', '4511589/133112311', '4711751/133112311', '4912535/133112311', '5113761/133112311', '5315705/133112311', '5518211/133112311', '5721407/133112311', '5925301/133112311', '6129915/133112311', '6335315/133112311', '6541499/133112311', '6748545/133112311', '6956467/133112311', '7165333/133112311', '7375153/133112311', '7586027/133112311']
['2444424/133561649', '2633608/133561649', '2823060/133561649', '3012788/133561649', '3202818/133561649', '3393174/133561649', '3583872/133561649', '3774933/133561649', '3966386/133561649', '4158249/133561649', '4350545/133561649', '4543307/133561649', '4736505/133561649', '4930330/133561649', '5124530/133561649', '5319425/133561649', '5514827/133561649', '5710889/133561649', '5907583/133561649', '6104958/133561649', '6303044/133561649', '6501878/133561649', '6701490/133561649', '6901920/133561649', '7103207/133561649', '7305388/133561649', '7508511/133561649']
['2543691/133972391', '2726593/133972391', '415675/19138913', '3093159/133972391', '468121/19138913', '3460875/133972391', '3645211/133972391', '3829913/133972391', '4014959/133972391', '4200423/133972391', '4386269/133972391', '4572585/133972391', '4759271/133972391', '706655/19138913', '5134225/133972391', '5322535/133972391', '5511297/133972391', '5700697/133972391', '5890665/133972391', '6081287/133972391', '6272545/133972391', '6464525/133972391', '6657199/133972391', '6850651/133972391', '7044871/133972391', '7239941/133972391', '7435847/133972391']
['5272285/268674889', '5626219/268674889', '5980675/268674889', '6335655/268674889', '6691187/268674889', '7047307/268674889', '7404063/268674889', '7761479/268674889', '8119589/268674889', '8478443/268674889', '8838069/268674889', '9198551/268674889', '9559747/268674889', '9922083/268674889', '1469301/38382127', '10649305/268674889', '11014425/268674889', '11380671/268674889', '11748029/268674889', '12116569/268674889', '12486329/268674889', '12857381/268674889', '13229775/268674889', '13603565/268674889', '13978815/268674889', '14355599/268674889', '14733967/268674889']
['41887/2071903', '2894039/134673695', '3065727/134673695', '3237631/134673695', '3409843/134673695', '3582301/134673695', '3755091/134673695', '3928169/134673695', '820321/26934739', '4275363/134673695', '4449517/134673695', '924811/26934739', '4798949/134673695', '84311/2282605', '5150113/134673695', '1065277/26934739', '5503129/134673695', '5680371/134673695', '1171631/26934739', '102313/2282605', '6215377/134673695', '6394857/134673695', '6574993/134673695', '6755747/134673695', '6937207/134673695', '7119349/134673695', '7302251/134673695']
['1121439/53989663', '5939457/269948315', '6272303/269948315', '6605643/269948315', '1387903/53989663', '559533/20765255', '1521783/53989663', '7944509/269948315', '1656147/53989663', '8617621/269948315', '8955199/269948315', '1327653/38564045', '1376081/38564045', '9972533/269948315', '10313189/269948315', '10654807/269948315', '10997283/269948315', '11340739/269948315', '2337031/53989663', '12030609/269948315', '1768163/38564045', '12724781/269948315', '13073589/269948315', '13423607/269948315', '2754975/53989663', '14127457/269948315', '14481391/269948315']
['959909/45084335', '608177/27050601', '3202331/135253005', '3364061/135253005', '3526019/135253005', '3688277/135253005', '3850777/135253005', '4013597/135253005', '835339/27050601', '868027/27050601', '1501289/45084335', '4668013/135253005', '4832429/135253005', '999463/27050601', '5162519/135253005', '5328191/135253005', '5494243/135253005', '5660783/135253005', '1942581/45084335', '1998407/45084335', '6163177/135253005', '2110559/45084335', '6500689/135253005', '6670297/135253005', '1368091/27050601', '2337083/45084335', '2394211/45084335']
['1475671/67751728', '3107729/135503456', '3264471/135503456', '77761/3079624', '894689/33875864', '1868145/67751728', '3894095/135503456', '253261/8468966', '2105275/67751728', '4369231/135503456', '2264105/67751728', '2343777/67751728', '4847195/135503456', '5007237/135503456', '5167617/135503456', '666051/16937932', '2744793/67751728', '5651191/135503456', '726653/16937932', '543247/12318496', '6138679/135503456', '6302125/135503456', '6466073/135503456', '1657637/33875864', '6795565/135503456', '435071/8468966', '7127267/135503456']
['3019115/135737777', '3170939/135737777', '474743/19391111', '3475727/135737777', '3628551/135737777', '540229/19391111', '562137/19391111', '584079/19391111', '606065/19391111', '4396627/135737777', '650159/19391111', '4705913/135737777', '4861037/135737777', '5016497/135737777', '5172317/135737777', '5328493/135737777', '5485065/135737777', '5642005/135737777', '5799385/135737777', '28233/643307', '6115405/135737777', '6274075/135737777', '6433241/135737777', '6592863/135737777', '964717/19391111', '6913649/135737777', '7074807/135737777']
['3083265/135949634', '1615371/67974817', '1689338/67974817', '1763469/67974817', '1837742/67974817', '3824295/135949634', '3973375/135949634', '4122725/135949634', '4272345/135949634', '2211127/67974817', '4572441/135949634', '2361474/67974817', '4873745/135949634', '2512442/67974817', '5176343/135949634', '2664080/67974817', '5480327/135949634', '5632869/135949634', '2892899/67974817', '2969562/67974817', '3046428/67974817', '6247015/135949634', '3200805/67974817', '3278326/67974817', '3356076/67974817', '3434056/67974817', '7024499/135949634']
['68357/2959775', '234836/9724975', '1715736/68074825', '1787823/68074825', '265721/9724975', '1932428/68074825', '286418/9724975', '296797/9724975', '2150347/68074825', '171021/5236525', '2296319/68074825', '2369533/68074825', '2442871/68074825', '359484/9724975', '2590043/68074825', '532776/13614965', '2737871/68074825', '2812052/68074825', '2886398/68074825', '2960948/68074825', '33359/748075', '3110606/68074825', '35008/748075', '3261071/68074825', '3336602/68074825', '3412356/68074825', '498324/9724975']
['3202754/136331759', '3341929/136331759', '3481710/136331759', '3621907/136331759', '3762442/136331759', '3903282/136331759', '4044397/136331759', '4185789/136331759', '4327449/136331759', '4469386/136331759', '4611589/136331759', '4754087/136331759', '4896858/136331759', '5039934/136331759', '5183316/136331759', '5327002/136331759', '5471011/136331759', '5615354/136331759', '5760031/136331759', '5905057/136331759', '6050438/136331759', '6196185/136331759', '6342298/136331759', '6488784/136331759', '6635631/136331759', '6782831/136331759', '6930308/136331759']
['3258835/136505403', '1131335/45501801', '3529915/136505403', '3666259/136505403', '3803015/136505403', '1313357/45501801', '1359151/45501801', '1405027/45501801', '4353023/136505403', '1497067/45501801', '4629677/136505403', '4768409/136505403', '4907441/136505403', '560747/15167267', '5186351/136505403', '1775405/45501801', '5466427/136505403', '5606921/136505403', '1915919/45501801', '1962961/45501801', '6030377/136505403', '2057389/45501801', '6314321/136505403', '6456775/136505403', '6599573/136505403', '2247541/45501801', '6885905/136505403']
['3312713/136664820', '3444017/136664820', '1192037/45554940', '123625/4555494', '1280603/45554940', '110423/3796245', '2054483/68332410', '4242997/136664820', '121592/3796245', '4511903/136664820', '2323379/68332410', '4781893/136664820', '1639099/45554940', '2526479/68332410', '259447/6833241', '1331291/34166205', '2730847/68332410', '5598511/136664820', '1433906/34166205', '1468259/34166205', '601075/13666482', '56933/1265415', '1571768/34166205', '713963/15184980', '6564523/136664820', '3351797/68332410', '2280923/45554940']
['1121653/45606123', '1164155/45606123', '3620819/136818369', '3749837/136818369', '1293097/45606123', '4009175/136818369', '1379791/45606123', '4269917/136818369', '4400719/136818369', '4531843/136818369', '172711/5067347', '4794859/136818369', '4926763/136818369', '5058931/136818369', '1730465/45606123', '1774703/45606123', '5457089/136818369', '5590361/136818369', '635987/15202041', '5857711/136818369', '5991775/136818369', '6126143/136818369', '6260729/136818369', '6395587/136818369', '2176873/45606123', '6665825/136818369', '6800995/136818369']
['48793/1956577', '1769631/68480195', '3663997/136960390', '1894717/68480195', '1957703/68480195', '4041813/136960390', '2084298/68480195', '306837/9782885', '2211572/68480195', '2275433/68480195', '467886/13696039', '2403563/68480195', '4935669/136960390', '5064427/136960390', '2596758/68480195', '5322799/136960390', '1090475/27392078', '5582189/136960390', '2856132/68480195', '5842589/136960390', '597315/13696039', '6103947/136960390', '6234957/136960390', '3183078/68480195', '649750/13696039', '3314454/68480195', '3380106/68480195']
['1732464/68549245', '1792483/68549245', '370613/13709849', '382804/13709849', '1975296/68549245', '2036794/68549245', '419703/13709849', '2160403/68549245', '2222469/68549245', '2284671/68549245', '123528/3607855', '2409512/68549245', '2472149/68549245', '506974/13709849', '27345/721571', '2660748/68549245', '2723883/68549245', '2787109/68549245', '2850471/68549245', '2913929/68549245', '595501/13709849', '3041163/68549245', '3104926/68549245', '3168738/68549245', '3232606/68549245', '3296448/68549245', '3360201/68549245']
['1756495/68613577', '1814709/68613577', '1873521/68613577', '1932764/68613577', '3984685/137227154', '4104377/137227154', '2112259/68613577', '4345051/137227154', '2232966/68613577', '2293566/68613577', '2354313/68613577', '4830395/137227154', '4952451/137227154', '5074695/137227154', '5197277/137227154', '2660005/68613577', '5443023/137227154', '5566235/137227154', '5689661/137227154', '2906641/68613577', '129067/2983199', '3030519/68613577', '3092563/68613577', '274317/5966398', '6433465/137227154', '3278768/68613577', '3340644/68613577']
['3560297/137353295', '3673139/137353295', '3787251/137353295', '3902347/137353295', '803629/27470659', '4134577/137353295', '4251463/137353295', '4368807/137353295', '4486491/137353295', '920909/27470659', '4722871/137353295', '4841513/137353295', '992083/27470659', '5079527/137353295', '5198947/137353295', '5318537/137353295', '5438359/137353295', '5558399/137353295', '5678593/137353295', '5798987/137353295', '5919499/137353295', '6040159/137353295', '6160867/137353295', '6281631/137353295', '6402293/137353295', '6522799/137353295', '6642837/137353295']
['7212971/274942801', '7431551/274942801', '7652941/274942801', '7876409/274942801', '1157355/39277543', '8327861/274942801', '8555315/274942801', '8783681/274942801', '9012845/274942801', '9242725/274942801', '9473239/274942801', '9704323/274942801', '9936023/274942801', '10168065/274942801', '10400765/274942801', '10633741/274942801', '10867209/274942801', '11101007/274942801', '11335145/274942801', '11569555/274942801', '11804201/274942801', '12039003/274942801', '1753409/39277543', '12508647/274942801', '12743161/274942801', '12977107/274942801', '13209963/274942801']
['913049/34396988', '1878973/68793976', '483155/17198494', '993407/34396988', '2041465/68793976', '1048225/34396988', '2151749/68793976', '2207275/68793976', '2263033/68793976', '2318965/68793976', '296885/8599247', '2431321/68793976', '1243871/34396988', '2544229/68793976', '650223/17198494', '2657607/68793976', '1357227/34396988', '2771355/68793976', '1414175/34396988', '721345/17198494', '2942469/68793976', '2999559/68793976', '3056655/68793976', '1556841/34396988', '396328/8599247', '3227357/68793976', '1641889/34396988']
['2464585/91798341', '7598405/275395023', '7806251/275395023', '8016521/275395023', '8228689/275395023', '2814127/91798341', '8657345/275395023', '8873371/275395023', '3030103/91798341', '3102683/91798341', '9526499/275395023', '1082837/30599447', '9965225/275395023', '10185269/275395023', '1156213/30599447', '10626839/275395023', '10848193/275395023', '11069791/275395023', '11291651/275395023', '11513671/275395023', '11735785/275395023', '11957881/275395023', '12179837/275395023', '4133821/91798341', '12622523/275395023', '12842645/275395023', '13061225/275395023']
['1870635/68903078', '960044/34451539', '985184/34451539', '1010657/34451539', '2072753/68903078', '2124621/68903078', '47322/1497893', '2229309/68903078', '2282031/68903078', '2334981/68903078', '2388103/68903078', '1220696/34451539', '2494831/68903078', '1274190/34451539', '2602057/68903078', '2655817/68903078', '1354831/34451539', '2763575/68903078', '2817525/68903078', '1435759/34451539', '2925499/68903078', '1489735/34451539', '3033363/68903078', '3087159/68903078', '1570378/34451539', '1597046/34451539', '3246967/68903078']
['582259/21216683', '7760431/275816879', '7955049/275816879', '8152409/275816879', '642457/21216683', '8553239/275816879', '8755987/275816879', '8959963/275816879', '9164977/275816879', '9370879/275816879', '9577567/275816879', '9784889/275816879', '768683/21216683', '10201259/275816879', '10410197/275816879', '816877/21216683', '10828967/275816879', '11038721/275816879', '11248637/275816879', '11458597/275816879', '11668509/275816879', '11878227/275816879', '12087591/275816879', '12296387/275816879', '12504305/275816879', '12710927/275816879', '12915577/275816879']
['3827933/138010213', '3920093/138010213', '4014155/138010213', '4109627/138010213', '4206287/138010213', '4303857/138010213', '4402231/138010213', '4501225/138010213', '4600807/138010213', '4700821/138010213', '4801281/138010213', '4902041/138010213', '5003171/138010213', '5104469/138010213', '5206071/138010213', '5307773/138010213', '5409669/138010213', '5511615/138010213', '5613647/138010213', '5715637/138010213', '528873/12546383', '5919393/138010213', '6020985/138010213', '6122201/138010213', '6222933/138010213', '6322891/138010213', '6421797/138010213']
['7740309/276212233', '7918151/276212233', '8099863/276212233', '8284611/276212233', '8471785/276212233', '787359/25110203', '8851751/276212233', '9043931/276212233', '9237275/276212233', '9431607/276212233', '9626797/276212233', '9822673/276212233', '10019239/276212233', '10216229/276212233', '10413723/276212233', '10611497/276212233', '982687/25110203', '11007747/276212233', '11205999/276212233', '11404175/276212233', '11602163/276212233', '11799791/276212233', '11996851/276212233', '12193099/276212233', '12388179/276212233', '12581609/276212233', '12772673/276212233']
['652048/23033625', '399797/13820175', '226979/7677875', '83498/2764035', '2132708/69100875', '726169/23033625', '2224723/69100875', '2271319/69100875', '2318203/69100875', '2365366/69100875', '160849/4606725', '2460298/69100875', '501604/13820175', '2555872/69100875', '867941/23033625', '176791/4606725', '2699951/69100875', '305342/7677875', '2796193/69100875', '2844292/69100875', '2892307/69100875', '588046/13820175', '995989/23033625', '3035486/69100875', '342518/7677875', '125176/2764035', '635096/13820175']
['988336/34572945', '4035859/138291780', '1373479/46097260', '1402221/46097260', '214711/6914589', '1460957/46097260', '149081/4609726', '4562753/138291780', '4653713/138291780', '4745219/138291780', '1612397/46097260', '492953/13829178', '251111/6914589', '1278788/34572945', '86805/2304863', '2650799/69145890', '5395003/138291780', '91474/2304863', '253721/6285990', '1135039/27658356', '5768357/138291780', '293063/6914589', '1984593/46097260', '6045769/138291780', '102284/2304863', '6227327/138291780', '526354/11524315']
['665726/23063613', '2036852/69190839', '230845/7687871', '2119192/69190839', '720497/23063613', '2204344/69190839', '2247688/69190839', '2291416/69190839', '778498/23063613', '2379838/69190839', '808148/23063613', '274358/7687871', '2514193/69190839', '284364/7687871', '2604475/69190839', '2649734/69190839', '898352/23063613', '2740369/69190839', '2785679/69190839', '2830915/69190839', '2876065/69190839', '973682/23063613', '34090/795297', '334478/7687871', '3054398/69190839', '3097948/69190839', '3140789/69190839']
['896487/30770273', '2740345/92310819', '930893/30770273', '8538539/276932457', '966879/30770273', '8867653/276932457', '9035365/276932457', '1022749/30770273', '3125171/92310819', '3182483/92310819', '9720397/276932457', '3298045/92310819', '10068575/276932457', '10243553/276932457', '10418905/276932457', '10594567/276932457', '10770377/276932457', '10946195/276932457', '3707297/92310819', '3765767/92310819', '11472241/276932457', '3882163/92310819', '11819791/276932457', '11991815/276932457', '12162143/276932457', '111083/2494887', '4165081/92310819']
['140483/4777611', '1382437/46183573', '4222807/138550719', '4300135/138550719', '4378909/138550719', '4458947/138550719', '4539971/138550719', '4621891/138550719', '4704509/138550719', '4787759/138550719', '4871497/138550719', '4955681/138550719', '5040181/138550719', '5124997/138550719', '1736651/46183573', '5295101/138550719', '1793423/46183573', '5465465/138550719', '1850181/46183573', '194327/4777611', '5720125/138550719', '5804413/138550719', '5888149/138550719', '5971229/138550719', '6053365/138550719', '2044779/46183573', '214265/4777611']
['4112571/138630007', '4182946/138630007', '4255577/138630007', '4330052/138630007', '4406041/138630007', '4483295/138630007', '4561605/138630007', '4640803/138630007', '4720752/138630007', '4801325/138630007', '4882430/138630007', '4963959/138630007', '5045841/138630007', '5128017/138630007', '5210348/138630007', '5292848/138630007', '5375379/138630007', '5457893/138630007', '5540304/138630007', '5622518/138630007', '5704435/138630007', '5785933/138630007', '5866868/138630007', '5947067/138630007', '6026304/138630007', '6104285/138630007', '6180611/138630007']
['4151127/138709271', '4218573/138709271', '4288339/138709271', '4359961/138709271', '4433165/138709271', '4507635/138709271', '4583231/138709271', '4659707/138709271', '4736989/138709271', '4814885/138709271', '113799/3225797', '4972233/138709271', '5051497/138709271', '5131035/138709271', '5210743/138709271', '5290595/138709271', '5370491/138709271', '5450325/138709271', '5530069/138709271', '5609559/138709271', '5688751/138709271', '5767459/138709271', '5845595/138709271', '5922913/138709271', '5999251/138709271', '6074241/138709271', '6147545/138709271']
['239333/7930487', '243029/7930487', '8639993/277567045', '123631/3909395', '1274111/39652435', '1294629/39652435', '1315467/39652435', '9356009/277567045', '9505337/277567045', '9655987/277567045', '1961551/55513409', '9960411/277567045', '10113777/277567045', '10267777/277567045', '1488863/39652435', '10576639/277567045', '10731247/277567045', '2177153/55513409', '1577143/39652435', '11193747/277567045', '11346781/277567045', '11498843/277567045', '1664233/39652435', '1685537/39652435', '11945769/277567045', '12090053/277567045', '12230803/277567045']
['845105/27771553', '4287439/138857765', '4351651/138857765', '4417837/138857765', '4485609/138857765', '910953/27771553', '925007/27771553', '4696299/138857765', '953669/27771553', '4841099/138857765', '982879/27771553', '4988177/138857765', '5062279/138857765', '5136741/138857765', '5211297/138857765', '1057209/27771553', '5360757/138857765', '5435441/138857765', '5509933/138857765', '5584191/138857765', '5658033/138857765', '5731387/138857765', '5804039/138857765', '5875849/138857765', '5946521/138857765', '1203163/27771553', '6083261/138857765']
['8522615/277854243', '2880371/92618081', '8764301/277854243', '8891405/277854243', '3007263/92618081', '3051643/92618081', '3096799/92618081', '3142609/92618081', '9566921/277854243', '9707395/277854243', '9849029/277854243', '9991603/277854243', '3378291/92618081', '10278805/277854243', '10422985/277854243', '10567477/277854243', '3570643/92618081', '10856251/277854243', '11000209/277854243', '11143597/277854243', '3762057/92618081', '11427647/277854243', '3855905/92618081', '11705971/277854243', '11841935/277854243', '11974997/277854243', '12104357/277854243']
['4297089/138996475', '4353673/138996475', '4412649/138996475', '4473567/138996475', '4536179/138996475', '4600163/138996475', '4665361/138996475', '4731527/138996475', '191943/5559859', '973259/27799295', '4934633/138996475', '200137/5559859', '5072593/138996475', '5142063/138996475', '5211689/138996475', '5281431/138996475', '5351173/138996475', '5420811/138996475', '5490277/138996475', '5559407/138996475', '5628139/138996475', '5696261/138996475', '5763677/138996475', '5830123/138996475', '1179083/27799295', '5959183/138996475', '6021097/138996475']
['8662747/278122261', '8770927/278122261', '8883827/278122261', '529453/16360133', '9120929/278122261', '9243989/278122261', '9369455/278122261', '9496945/278122261', '9626159/278122261', '9756805/278122261', '9888641/278122261', '10021455/278122261', '10154971/278122261', '10289145/278122261', '10423569/278122261', '621075/16360133', '10692903/278122261', '10827355/278122261', '644787/16360133', '11094751/278122261', '11227223/278122261', '11358493/278122261', '11488233/278122261', '11616031/278122261', '11741405/278122261', '11863725/278122261', '11982223/278122261']
['2182829/69562893', '736209/23187631', '2235589/69562893', '2263567/69562893', '764125/23187631', '773971/23187631', '2352047/69562893', '2382709/69562893', '2413792/69562893', '815085/23187631', '825668/23187631', '2509015/69562893', '847063/23187631', '857847/23187631', '2605940/69562893', '879474/23187631', '2670865/69562893', '2703272/69562893', '2735551/69562893', '2767672/69562893', '2799542/69562893', '2831116/69562893', '2862278/69562893', '964318/23187631', '2922995/69562893', '2952271/69562893', '993521/23187631']
['8796805/278371767', '8895241/278371767', '2999455/92790589', '9105499/278371767', '9216029/278371767', '9329441/278371767', '9445309/278371767', '9563261/278371767', '9682969/278371767', '3268051/92790589', '3308851/92790589', '3349985/92790589', '10174063/278371767', '10298825/278371767', '10423835/278371767', '10549097/278371767', '10674253/278371767', '10799185/278371767', '10923631/278371767', '11047363/278371767', '11170109/278371767', '11291573/278371767', '3803801/92790589', '11529187/278371767', '11644433/278371767', '11756525/278371767', '11864705/278371767']
['211007/6630761', '4477987/139245981', '646741/19892283', '4578365/139245981', '4631279/139245981', '4685615/139245981', '1580405/46415327', '1599281/46415327', '4855385/139245981', '233983/6630761', '1657515/46415327', '5031925/139245981', '5091685/139245981', '5151743/139245981', '744565/19892283', '753179/19892283', '761789/19892283', '1797547/46415327', '5452529/139245981', '5512019/139245981', '5571025/139245981', '1876447/46415327', '93227/2282721', '5743279/139245981', '828349/19892283', '1950661/46415327', '83149/1961211']
['8924607/278603447', '9013865/278603447', '9107759/278603447', '9205645/278603447', '9306945/278603447', '9411163/278603447', '9517859/278603447', '9626677/278603447', '9737285/278603447', '9849387/278603447', '9962727/278603447', '10077089/278603447', '10192155/278603447', '10307859/278603447', '10423831/278603447', '10540001/278603447', '10656051/278603447', '10771839/278603447', '10887085/278603447', '11001561/278603447', '11114989/278603447', '11227059/278603447', '11337415/278603447', '11445647/278603447', '11551249/278603447', '11653631/278603447', '11752067/278603447']
['2246730/69678733', '2267939/69678733', '2290286/69678733', '2313640/69678733', '2337833/69678733', '2362774/69678733', '2388322/69678733', '2414417/69678733', '2440950/69678733', '2467872/69678733', '2495091/69678733', '2522582/69678733', '2550235/69678733', '2578058/69678733', '2605938/69678733', '2633874/69678733', '2661764/69678733', '2689599/69678733', '2717278/69678733', '74183/1883209', '2771982/69678733', '2798859/69678733', '2825284/69678733', '2851184/69678733', '2876403/69678733', '2900824/69678733', '2924244/69678733']
['4523012/139409011', '4563338/139409011', '657991/19915573', '4650514/139409011', '4696788/139409011', '4744527/139409011', '4793513/139409011', '691938/19915573', '4894523/139409011', '4946237/139409011', '4998571/139409011', '5051421/139409011', '5104628/139409011', '5158137/139409011', '5211793/139409011', '5265523/139409011', '5319185/139409011', '5372698/139409011', '5425921/139409011', '5478733/139409011', '790142/19915573', '5582551/139409011', '5633216/139409011', '811827/19915573', '5731021/139409011', '5777623/139409011', '5822252/139409011']
['1138141/34865139', '765133/23243426', '2315651/69730278', '389479/11621713', '2358955/69730278', '2381753/69730278', '2405191/69730278', '2429149/69730278', '2453573/69730278', '2478365/69730278', '1251740/34865139', '2528839/69730278', '2554393/69730278', '2580079/69730278', '2605855/69730278', '2631649/69730278', '885807/23243426', '2683099/69730278', '902881/23243426', '1366981/34865139', '1379506/34865139', '1391846/34865139', '1403966/34865139', '2831605/69730278', '1427309/34865139', '958933/23243426', '1449004/34865139']
