['0', '46923/14370121', '93861/14370121', '140837/14370121', '187867/14370121', '234967/14370121', '282159/14370121', '329461/14370121', '376890/14370121', '424462/14370121', '472227/14370121', '520157/14370121', '568316/14370121', '616709/14370121', '665364/14370121', '714312/14370121', '763577/14370121', '813193/14370121', '863190/14370121', '913608/14370121', '964483/14370121', '1015863/14370121', '1067797/14370121', '1120338/14370121', '1173560/14370121']
['1275593/33705344', '1279587/33705344', '642037/16852672', '644515/16852672', '647207/16852672', '81261/2106584', '1306269/33705344', '1312647/33705344', '659631/16852672', '663037/16852672', '1333045/33705344', '1340119/33705344', '1347287/33705344', '338619/8426336', '1361679/33705344', '1368829/33705344', '42997/1053292', '1382855/33705344', '694819/16852672', '1396205/33705344', '1402505/33705344', '1408481/33705344', '353519/8426336', '1419229/33705344', '711945/16852672']
['1280495/33712211', '1284171/33712211', '1288325/33712211', '1292921/33712211', '1297941/33712211', '1303317/33712211', '1309025/33712211', '1315003/33712211', '1321221/33712211', '1327621/33712211', '1334189/33712211', '1340845/33712211', '1347603/33712211', '1354373/33712211', '1361163/33712211', '1367891/33712211', '1374557/33712211', '1381087/33712211', '1387463/33712211', '1393617/33712211', '1399517/33712211', '1405091/33712211', '108485/2593247', '1415079/33712211', '1419391/33712211']
['2569865/67436619', '2576669/67436619', '861457/22478873', '2592937/67436619', '2602301/67436619', '2612375/67436619', '2623075/67436619', '2634317/67436619', '2646011/67436619', '2658079/67436619', '890151/22478873', '2683021/67436619', '2695765/67436619', '902851/22478873', '907119/22478873', '2734061/67436619', '2746619/67436619', '2758931/67436619', '2770921/67436619', '2782493/67436619', '931183/22478873', '2803991/67436619', '2813711/67436619', '2822603/67436619', '2830591/67436619']
['644685/16862204', '646249/16862204', '648023/16862204', '162502/4215551', '163045/4215551', '654529/16862204', '657025/16862204', '659657/16862204', '662395/16862204', '665229/16862204', '167033/4215551', '167772/4215551', '674081/16862204', '338545/8431102', '680097/16862204', '683085/16862204', '686031/16862204', '344461/8431102', '691729/16862204', '347219/8431102', '174254/4215551', '349725/8431102', '701703/16862204', '351881/8431102', '176400/4215551']
['1293381/33729811', '1296262/33729811', '1299549/33729811', '1303231/33729811', '1307281/33729811', '1311665/33729811', '1316341/33729811', '1321273/33729811', '1326420/33729811', '1331744/33729811', '1337212/33729811', '1342775/33729811', '1348415/33729811', '1354082/33729811', '1359750/33729811', '1365372/33729811', '1370921/33729811', '1376353/33729811', '1381628/33729811', '1386703/33729811', '1391532/33729811', '1396072/33729811', '1400271/33729811', '1404088/33729811', '1407490/33729811']
['648696/16867607', '650013/16867607', '651526/16867607', '653223/16867607', '655101/16867607', '657136/16867607', '659316/16867607', '661616/16867607', '664025/16867607', '666515/16867607', '669080/16867607', '671687/16867607', '674334/16867607', '676992/16867607', '679653/16867607', '682287/16867607', '684890/16867607', '687431/16867607', '689899/16867607', '692265/16867607', '694516/16867607', '696622/16867607', '698568/16867607', '700326/16867607', '701890/16867607']
['2601977/67479949', '2606829/67479949', '2612407/67479949', '2618701/67479949', '2625675/67479949', '2633267/67479949', '2641403/67479949', '2650021/67479949', '2659043/67479949', '2668397/67479949', '2678027/67479949', '2687837/67479949', '2697779/67479949', '2707791/67479949', '2717785/67479949', '2727697/67479949', '2737469/67479949', '2747013/67479949', '2756255/67479949', '2765119/67479949', '2773517/67479949', '2781371/67479949', '2788593/67479949', '2795107/67479949', '2800869/67479949']
['260917/6748947', '435601/11248245', '261871/6748947', '262451/6748947', '438491/11248245', '29311/749883', '1322771/33744735', '147421/3749415', '1330993/33744735', '1335367/33744735', '1339867/33744735', '1344463/33744735', '1349111/33744735', '50141/1249805', '1358479/33744735', '1363123/33744735', '1367689/33744735', '1372151/33744735', '458819/11248245', '1380589/33744735', '92299/2249649', '462709/11248245', '463819/11248245', '278891/6748947', '1397089/33744735']
['68832/1776259', '1309838/33748921', '1312190/33748921', '1314866/33748921', '1317851/33748921', '1321121/33748921', '1324644/33748921', '1328391/33748921', '1332327/33748921', '1336419/33748921', '70560/1776259', '1344949/33748921', '1349313/33748921', '1353717/33748921', '22264/553261', '1362457/33748921', '1366740/33748921', '22474/553261', '1374945/33748921', '1378797/33748921', '37363/912133', '1385811/33748921', '1388898/33748921', '1391662/33748921', '1394088/33748921']
['1311031/33753107', '1312873/33753107', '1315025/33753107', '1317477/33753107', '1320229/33753107', '1323247/33753107', '1326517/33753107', '1329993/33753107', '1333661/33753107', '1337471/33753107', '1341413/33753107', '1345435/33753107', '1349515/33753107', '1353627/33753107', '1357729/33753107', '1361791/33753107', '1365791/33753107', '1369677/33753107', '1373433/33753107', '1377005/33753107', '1380377/33753107', '1383495/33753107', '1386339/33753107', '1388869/33753107', '1391087/33753107']
['328473/8439191', '77387/1985692', '77503/1985692', '1319813/33756764', '661177/16878382', '331289/8439191', '78129/1985692', '1331435/33756764', '1334855/33756764', '1338419/33756764', '1342103/33756764', '672937/16878382', '674845/16878382', '676773/16878382', '339346/8439191', '1361191/33756764', '1364929/33756764', '342141/8439191', '1372065/33756764', '343849/8439191', '1378527/33756764', '20315/496423', '346011/8439191', '1386377/33756764', '81671/1985692']
['1316753/33760421', '1318285/33760421', '1320077/33760421', '1322149/33760421', '1324479/33760421', '1327065/33760421', '1329869/33760421', '1332877/33760421', '1336049/33760421', '1339367/33760421', '1342793/33760421', '1346313/33760421', '1349865/33760421', '1353465/33760421', '1357039/33760421', '1360591/33760421', '1364067/33760421', '1367451/33760421', '1370697/33760421', '1373787/33760421', '1376677/33760421', '1379345/33760421', '1381749/33760421', '1383885/33760421', '1385727/33760421']
['659646/16881805', '660343/16881805', '661164/16881805', '662114/16881805', '132638/3376361', '664384/16881805', '665686/16881805', '266833/6752722', '668561/16881805', '1340213/33763610', '268683/6752722', '134670/3376361', '1350023/33763610', '18289/456265', '1356729/33763610', '680022/16881805', '1363293/33763610', '683222/16881805', '136947/3376361', '1372339/33763610', '1375021/33763610', '688742/16881805', '1379703/33763610', '1381659/33763610', '691673/16881805']
['1321831/33766799', '1323087/33766799', '1324579/33766799', '1326307/33766799', '1328281/33766799', '1330471/33766799', '1332875/33766799', '1335453/33766799', '1338195/33766799', '1341059/33766799', '1344037/33766799', '1347087/33766799', '1350181/33766799', '1353307/33766799', '1356419/33766799', '13199/327833', '1362519/33766799', '1365437/33766799', '1368243/33766799', '1370891/33766799', '1373365/33766799', '1375623/33766799', '1377657/33766799', '125403/3069709', '1380965/33766799']
['662032/16884781', '1325207/33769562', '663283/16884781', '1328151/33769562', '1329963/33769562', '1331987/33769562', '667104/16884781', '668301/16884781', '1339147/33769562', '670908/16884781', '672293/16884781', '673717/16884781', '675159/16884781', '676618/16884781', '678068/16884781', '185/4597', '1361821/33769562', '682270/16884781', '683572/16884781', '684801/16884781', '1371887/33769562', '1373973/33769562', '687919/16884781', '688733/16884781', '689430/16884781']
['1326297/33772325', '1327327/33772325', '1328553/33772325', '265999/6754465', '266329/6754465', '1333503/33772325', '1335541/33772325', '1337751/33772325', '1340099/33772325', '1342573/33772325', '269027/6754465', '1347781/33772325', '270091/6754465', '270633/6754465', '1355853/33772325', '1358523/33772325', '1361123/33772325', '1363643/33772325', '273209/6754465', '1368313/33772325', '1370409/33772325', '1372323/33772325', '1374019/33772325', '1375499/33772325', '275351/6754465']
['2656519/67549427', '2658379/67549427', '64893/1647547', '2663241/67549427', '65031/1647547', '2669685/67549427', '243041/6140857', '2677535/67549427', '2681895/67549427', '2686483/67549427', '2691251/67549427', '2696169/67549427', '2701155/67549427', '2706193/67549427', '142695/3555233', '2716167/67549427', '2721005/67549427', '247789/6140857', '2730137/67549427', '2734327/67549427', '2738201/67549427', '2741713/67549427', '2744825/67549427', '2747521/67549427', '2749807/67549427']
['665111/16888551', '221842/5629517', '222010/5629517', '666623/16888551', '667313/16888551', '5179/130919', '222985/5629517', '669892/16888551', '670898/16888551', '223985/5629517', '673058/16888551', '674194/16888551', '675350/16888551', '676514/16888551', '225892/5629517', '226274/5629517', '226647/5629517', '227006/5629517', '682046/16888551', '227669/5629517', '683896/16888551', '684695/16888551', '685403/16888551', '686011/16888551', '228842/5629517']
['1331929/33779152', '166585/4222394', '1333591/33779152', '1334673/33779152', '333983/8444788', '668681/16889576', '669475/16889576', '1340683/33779152', '1342541/33779152', '672251/16889576', '673273/16889576', '674329/16889576', '337701/8444788', '1352969/33779152', '1355125/33779152', '169657/4222394', '1359329/33779152', '123757/3070832', '681613/16889576', '1365003/33779152', '1366635/33779152', '124373/3070832', '684697/16889576', '685251/16889576', '171429/4222394']
['666818/16890601', '667154/16890601', '667561/16890601', '668050/16890601', '95517/2412943', '669271/16890601', '669995/16890601', '670791/16890601', '95949/2412943', '672547/16890601', '673488/16890601', '96352/2412943', '51958/1299277', '52035/1299277', '677449/16890601', '678434/16890601', '679388/16890601', '97187/2412943', '681180/16890601', '97428/2412943', '682739/16890601', '683408/16890601', '97713/2412943', '684491/16890601', '684906/16890601']
['1335122/33782959', '1335724/33782959', '190923/4826137', '1337346/33782959', '1338384/33782959', '1339575/33782959', '1340907/33782959', '191767/4826137', '191992/4826137', '1345613/33782959', '1347357/33782959', '1349162/33782959', '1351001/33782959', '1352853/33782959', '1354699/33782959', '1356521/33782959', '1358289/33782959', '1359989/33782959', '1361599/33782959', '1363097/33782959', '1364463/33782959', '1365684/33782959', '1366747/33782959', '1367651/33782959', '195486/4826137']
['15912/402199', '47755/1206597', '334450/8446179', '334648/8446179', '223255/5630786', '335152/8446179', '335456/8446179', '335789/8446179', '96043/2413194', '336533/8446179', '32089/804398', '337349/8446179', '675547/16892358', '112733/2815393', '16125/402199', '226029/5630786', '678901/16892358', '113280/2815393', '680419/16892358', '681101/16892358', '340862/8446179', '6962/172371', '341378/8446179', '113860/2815393', '113916/2815393']
['1337886/33786209', '1338364/33786209', '1338956/33786209', '1339674/33786209', '1340524/33786209', '1341509/33786209', '1342620/33786209', '1343845/33786209', '1345174/33786209', '1346588/33786209', '1348068/33786209', '1349603/33786209', '1351171/33786209', '1352748/33786209', '1354322/33786209', '1355871/33786209', '1357372/33786209', '1358812/33786209', '1360169/33786209', '1361423/33786209', '1362561/33786209', '1363569/33786209', '1364438/33786209', '1365170/33786209', '1365772/33786209']
['669582/16893851', '669794/16893851', '670056/16893851', '670378/16893851', '670759/16893851', '671205/16893851', '671708/16893851', '672267/16893851', '672873/16893851', '673522/16893851', '674199/16893851', '674905/16893851', '675624/16893851', '676350/16893851', '677072/16893851', '677784/16893851', '678471/16893851', '679132/16893851', '679750/16893851', '680322/16893851', '680837/16893851', '681293/16893851', '681682/16893851', '682010/16893851', '682276/16893851']
['2680529/67577939', '243753/6143449', '206325/5198303', '2683381/67577939', '2684765/67577939', '2686381/67577939', '2688221/67577939', '2690265/67577939', '2692493/67577939', '2694877/67577939', '2697377/67577939', '2699975/67577939', '2702633/67577939', '2705309/67577939', '2707979/67577939', '2710599/67577939', '2713137/67577939', '2715563/67577939', '2717835/67577939', '209225/5198303', '247437/6143449', '2723459/67577939', '2724871/67577939', '2726047/67577939', '2727003/67577939']
['1341365/33790237', '1341695/33790237', '1342113/33790237', '1342625/33790237', '1343247/33790237', '1343971/33790237', '1344805/33790237', '1345731/33790237', '1346747/33790237', '1347833/33790237', '1348979/33790237', '1350165/33790237', '1351385/33790237', '1352609/33790237', '1353835/33790237', '1355031/33790237', '1356195/33790237', '1357299/33790237', '1358335/33790237', '1359281/33790237', '1360133/33790237', '1360873/33790237', '1361507/33790237', '1362027/33790237', '1362451/33790237']
['2684603/67582607', '2685191/67582607', '2685935/67582607', '2686857/67582607', '2687975/67582607', '2689291/67582607', '2690805/67582607', '2692499/67582607', '2694355/67582607', '2696353/67582607', '2698455/67582607', '2700641/67582607', '2702885/67582607', '2705141/67582607', '2707395/67582607', '2709601/67582607', '2711735/67582607', '2713765/67582607', '2715657/67582607', '2717387/67582607', '2718933/67582607', '2720277/67582607', '2721415/67582607', '2722351/67582607', '2723105/67582607']
['671619/16896185', '671748/16896185', '671911/16896185', '672116/16896185', '672364/16896185', '134532/3379237', '134600/3379237', '673384/16896185', '673804/16896185', '134852/3379237', '674738/16896185', '675238/16896185', '135150/3379237', '676266/16896185', '135356/3379237', '135457/3379237', '135554/3379237', '678233/16896185', '678661/16896185', '679053/16896185', '135880/3379237', '679702/16896185', '679954/16896185', '680162/16896185', '680327/16896185']
['1344035/33793266', '672131/16896633', '1344553/33793266', '224153/5632211', '448455/11264422', '672949/16896633', '673258/16896633', '449071/11264422', '673991/16896633', '674407/16896633', '1349693/33793266', '675304/16896633', '450517/11264422', '225416/5632211', '104111/2599482', '1354367/33793266', '677629/16896633', '1356103/33793266', '678443/16896633', '1357597/33793266', '679114/16896633', '1358771/33793266', '453075/11264422', '1359595/33793266', '1359889/33793266']
['672416/16897081', '672514/16897081', '672642/16897081', '672802/16897081', '673001/16897081', '673238/16897081', '673516/16897081', '673829/16897081', '674178/16897081', '674554/16897081', '2385/59707', '675370/16897081', '675801/16897081', '676230/16897081', '676663/16897081', '677082/16897081', '677488/16897081', '677870/16897081', '678225/16897081', '678544/16897081', '678828/16897081', '679069/16897081', '679271/16897081', '679433/16897081', '679562/16897081']
['2691003/67589815', '2691351/67589815', '2691801/67589815', '2692373/67589815', '2693083/67589815', '2693939/67589815', '2694941/67589815', '2696081/67589815', '2697347/67589815', '2698723/67589815', '2700187/67589815', '2701709/67589815', '540657/13517963', '2704863/67589815', '541289/13517963', '2707983/67589815', '541893/13517963', '2710861/67589815', '2712149/67589815', '2713311/67589815', '2714333/67589815', '2715203/67589815', '2715923/67589815', '2716501/67589815', '543391/13517963']
['1346171/33795653', '1346323/33795653', '1346517/33795653', '1346769/33795653', '1347081/33795653', '1347463/33795653', '1347909/33795653', '1348423/33795653', '1348991/33795653', '1349615/33795653', '1350277/33795653', '1350969/33795653', '1351683/33795653', '1352403/33795653', '1353119/33795653', '1353819/33795653', '1354489/33795653', '1355121/33795653', '1355699/33795653', '1356223/33795653', '1356677/33795653', '1357065/33795653', '1357381/33795653', '1357635/33795653', '1357831/33795653']
['244861/6144777', '244885/6144777', '2694079/67592547', '2694523/67592547', '2695081/67592547', '2695763/67592547', '2696569/67592547', '899165/22530849', '2698529/67592547', '899887/22530849', '2700871/67592547', '2702131/67592547', '2703439/67592547', '2704751/67592547', '902021/22530849', '2707337/67592547', '2708561/67592547', '246337/6144777', '2710759/67592547', '903901/22530849', '246593/6144777', '904405/22530849', '301531/7510283', '2714227/67592547', '2714575/67592547']
['673650/16898447', '673706/16898447', '673781/16898447', '673877/16898447', '674000/16898447', '674150/16898447', '674330/16898447', '674536/16898447', '674769/16898447', '675023/16898447', '675297/16898447', '675581/16898447', '675878/16898447', '676174/16898447', '676472/16898447', '676759/16898447', '677036/16898447', '677293/16898447', '677530/16898447', '677740/16898447', '677923/16898447', '678075/16898447', '678199/16898447', '678296/16898447', '678372/16898447']
['2695535/67594807', '2695731/67594807', '2695993/67594807', '2696333/67594807', '2696767/67594807', '2697305/67594807', '2697949/67594807', '2698695/67594807', '2699535/67594807', '2700459/67594807', '2701453/67594807', '2702491/67594807', '2703569/67594807', '386379/9656401', '2705735/67594807', '2706783/67594807', '2707787/67594807', '2708723/67594807', '2709577/67594807', '387191/9656401', '2710991/67594807', '2711535/67594807', '2711973/67594807', '2712317/67594807', '2712581/67594807']
['1348235/33797913', '1348319/33797913', '449477/11265971', '1348579/33797913', '449589/11265971', '1349005/33797913', '449763/11265971', '1349623/33797913', '449999/11265971', '1350413/33797913', '1350859/33797913', '450443/11265971', '1351813/33797913', '1352305/33797913', '1352791/33797913', '1353265/33797913', '1353715/33797913', '451379/11265971', '1354517/33797913', '451619/11265971', '451715/11265971', '451795/11265971', '1355575/33797913', '1355725/33797913', '1355837/33797913']
['337156/8449583', '337174/8449583', '674397/16899166', '1348923/33798332', '674545/16899166', '337325/8449583', '1349555/33798332', '674927/16899166', '337548/8449583', '1350567/33798332', '1350973/33798332', '675699/16899166', '675919/16899166', '1352285/33798332', '1352727/33798332', '338289/8449583', '1353565/33798332', '1353945/33798332', '1354289/33798332', '1354593/33798332', '1354851/33798332', '1355063/33798332', '338808/8449583', '677681/16899166', '338865/8449583']
['1349013/33798751', '1349073/33798751', '1349157/33798751', '1349267/33798751', '1349413/33798751', '1349595/33798751', '1349821/33798751', '1350085/33798751', '1350387/33798751', '1350721/33798751', '1351087/33798751', '1351467/33798751', '1351863/33798751', '1352265/33798751', '1352663/33798751', '1353047/33798751', '193345/4828393', '1353753/33798751', '1354061/33798751', '1354329/33798751', '1354557/33798751', '1354741/33798751', '1354889/33798751', '1354999/33798751', '1355083/33798751']
['1349331/33799091', '1349383/33799091', '1349455/33799091', '1349552/33799091', '1349679/33799091', '1349841/33799091', '1350041/33799091', '1350278/33799091', '1350549/33799091', '1350851/33799091', '1351180/33799091', '1351526/33799091', '1351883/33799091', '1352249/33799091', '1352608/33799091', '1352957/33799091', '11976/299107', '1353594/33799091', '1353870/33799091', '1354110/33799091', '1354312/33799091', '1354476/33799091', '1354604/33799091', '1354701/33799091', '1354773/33799091']
['449883/11266477', '1349693/33799431', '1349753/33799431', '1349837/33799431', '1349945/33799431', '450029/11266477', '450087/11266477', '450157/11266477', '450237/11266477', '450327/11266477', '1351273/33799431', '1351585/33799431', '1351903/33799431', '1352233/33799431', '450851/11266477', '1352867/33799431', '1353161/33799431', '451145/11266477', '1353679/33799431', '451297/11266477', '1354067/33799431', '1354211/33799431', '1354319/33799431', '1354403/33799431', '1354463/33799431']
['149990/3755523', '1349947/33799707', '1349999/33799707', '1350071/33799707', '1350166/33799707', '1350290/33799707', '1350445/33799707', '1350631/33799707', '1350847/33799707', '1351088/33799707', '1351352/33799707', '1351633/33799707', '1351921/33799707', '1352218/33799707', '450836/11266569', '150310/3755523', '1353056/33799707', '1353301/33799707', '1353520/33799707', '150412/3755523', '1353865/33799707', '451330/11266569', '1354085/33799707', '1354157/33799707', '451403/11266569']
['450057/11266661', '450067/11266661', '1350245/33799983', '1350305/33799983', '450129/11266661', '1350493/33799983', '192947/4828569', '1350791/33799983', '1350983/33799983', '1351195/33799983', '450477/11266661', '1351681/33799983', '1351939/33799983', '1352203/33799983', '64403/1609523', '1352713/33799983', '1352951/33799983', '1353167/33799983', '1353361/33799983', '451175/11266661', '451221/11266661', '1353769/33799983', '1353851/33799983', '1353911/33799983', '1353955/33799983']
['385823/9657201', '900271/22533469', '385841/9657201', '2700991/67600407', '2701133/67600407', '2701319/67600407', '900519/22533469', '2701847/67600407', '900729/22533469', '2702569/67600407', '900997/22533469', '2703443/67600407', '2703905/67600407', '901461/22533469', '386407/9657201', '901767/22533469', '901909/22533469', '2706115/67600407', '128879/3219067', '128893/3219067', '902331/22533469', '902393/22533469', '2707321/67600407', '128925/3219067', '2707499/67600407']
['675295/16900212', '112551/2816702', '225107/5633404', '675343/16900212', '675373/16900212', '675413/16900212', '168866/4225053', '8042/201193', '337801/8450106', '225229/5633404', '8045/201193', '675881/16900212', '96569/2414316', '338045/8450106', '96599/2414316', '338147/8450106', '169097/4225053', '338237/8450106', '676549/16900212', '112769/2816702', '225555/5633404', '676705/16900212', '676735/16900212', '676757/16900212', '169193/4225053']
['1350760/33800601', '1350778/33800601', '450268/11266867', '1350841/33800601', '1350893/33800601', '1350962/33800601', '71108/1778979', '450388/11266867', '450432/11266867', '1351447/33800601', '450538/11266867', '450598/11266867', '1351979/33800601', '450723/11266867', '450785/11266867', '450845/11266867', '1352704/33800601', '71203/1778979', '450997/11266867', '71216/1778979', '1353194/33800601', '1353263/33800601', '451105/11266867', '1353352/33800601', '451126/11266867']
['225155/5633463', '675472/16900389', '225161/5633463', '225166/5633463', '675520/16900389', '75061/1877821', '225196/5633463', '225212/5633463', '675694/16900389', '675760/16900389', '225278/5633463', '675913/16900389', '225332/5633463', '676079/16900389', '676162/16900389', '676241/16900389', '676316/16900389', '225461/5633463', '676442/16900389', '676490/16900389', '676529/16900389', '676558/16900389', '676580/16900389', '676595/16900389', '676606/16900389']
['1351064/33800917', '1351076/33800917', '1351094/33800917', '1351120/33800917', '1351157/33800917', '1351208/33800917', '1351275/33800917', '1351360/33800917', '1351462/33800917', '1351580/33800917', '1351711/33800917', '1351853/33800917', '1352001/33800917', '1352150/33800917', '1352298/33800917', '1352440/33800917', '1352573/33800917', '1352693/33800917', '1352796/33800917', '1352881/33800917', '1352948/33800917', '1352999/33800917', '1353036/33800917', '1353062/33800917', '1353080/33800917']
['675599/16900528', '168901/4225132', '675611/16900528', '337811/8450264', '675637/16900528', '675659/16900528', '675687/16900528', '168931/4225132', '84471/2112566', '168955/4225132', '675877/16900528', '168985/4225132', '676005/16900528', '676071/16900528', '84517/2112566', '676199/16900528', '676257/16900528', '338155/8450264', '338177/8450264', '676391/16900528', '676419/16900528', '676441/16900528', '84557/2112566', '676467/16900528', '338237/8450264']
['1351305/33801166', '1351313/33801166', '1351325/33801166', '193049/4828738', '1351369/33801166', '96529/2414369', '193065/4828738', '1351519/33801166', '1351597/33801166', '675844/16900583', '675895/16900583', '1351901/33801166', '676009/16900583', '1352135/33801166', '1352251/33801166', '1352363/33801166', '1352467/33801166', '1352559/33801166', '1352637/33801166', '193243/4828738', '96625/2414369', '1352787/33801166', '193259/4828738', '1352831/33801166', '1352843/33801166']
['337853/8450319', '675709/16900638', '112619/2816773', '675721/16900638', '112622/2816773', '225249/5633546', '3044/76129', '225265/5633546', '675829/16900638', '337934/8450319', '675913/16900638', '675961/16900638', '676013/16900638', '9136/228387', '676115/16900638', '112694/2816773', '338105/8450319', '18277/456774', '676283/16900638', '338155/8450319', '676331/16900638', '338173/8450319', '676357/16900638', '338182/8450319', '676369/16900638']
['1351495/33801361', '1351500/33801361', '71132/1779019', '1351520/33801361', '1351538/33801361', '1351564/33801361', '1351600/33801361', '122877/3072851', '1351706/33801361', '1351775/33801361', '1351854/33801361', '1351940/33801361', '1352031/33801361', '1352123/33801361', '1352213/33801361', '1352301/33801361', '1352381/33801361', '122950/3072851', '1352509/33801361', '1352556/33801361', '1352592/33801361', '1352618/33801361', '1352636/33801361', '6472/161729', '1352656/33801361']
['675789/16900723', '675791/16900723', '96542/2414389', '675799/16900723', '675806/16900723', '675817/16900723', '675832/16900723', '675852/16900723', '675877/16900723', '675907/16900723', '96563/2414389', '675979/16900723', '96574/2414389', '676059/16900723', '676098/16900723', '96591/2414389', '676171/16900723', '676201/16900723', '676226/16900723', '676246/16900723', '676261/16900723', '676272/16900723', '676279/16900723', '96612/2414389', '676287/16900723']
['1351643/33801512', '675823/16900756', '1351651/33801512', '1351659/33801512', '1351671/33801512', '1351689/33801512', '1351715/33801512', '1351749/33801512', '1351793/33801512', '1351845/33801512', '1351905/33801512', '337993/8450378', '1352041/33801512', '1352113/33801512', '1352183/33801512', '1352251/33801512', '1352311/33801512', '1352363/33801512', '1352407/33801512', '1352441/33801512', '1352467/33801512', '1352485/33801512', '1352497/33801512', '1352505/33801512', '676255/16900756']
['675854/16900789', '675855/16900789', '675857/16900789', '675860/16900789', '675865/16900789', '675872/16900789', '675883/16900789', '675897/16900789', '675916/16900789', '675938/16900789', '675964/16900789', '675993/16900789', '676023/16900789', '676054/16900789', '676085/16900789', '676114/16900789', '676140/16900789', '676162/16900789', '676181/16900789', '676195/16900789', '676206/16900789', '676213/16900789', '676218/16900789', '676221/16900789', '676223/16900789']
['1351757/33801628', '1351759/33801628', '675881/16900814', '1351767/33801628', '1351775/33801628', '1351787/33801628', '193115/4828804', '675915/16900814', '675931/16900814', '1351901/33801628', '675973/16900814', '1351997/33801628', '96575/2414402', '1352105/33801628', '1352159/33801628', '676105/16900814', '1352255/33801628', '676147/16900814', '676163/16900814', '193193/4828804', '1352369/33801628', '1352381/33801628', '1352389/33801628', '676197/16900814', '1352397/33801628']
['13253/331389', '675904/16900839', '675905/16900839', '675907/16900839', '675910/16900839', '225305/5633613', '675922/16900839', '225311/5633613', '675946/16900839', '75107/1877871', '675982/16900839', '676004/16900839', '676027/16900839', '676051/16900839', '225358/5633613', '676096/16900839', '676115/16900839', '676132/16900839', '676145/16900839', '676156/16900839', '676163/16900839', '676168/16900839', '676171/16900839', '225391/5633613', '676174/16900839']
['2703689/67603433', '2703691/67603433', '2703695/67603433', '2703701/67603433', '2703711/67603433', '2703727/67603433', '2703751/67603433', '2703787/67603433', '2703833/67603433', '2703891/67603433', '2703957/67603433', '2704033/67603433', '2704115/67603433', '2704197/67603433', '2704279/67603433', '2704355/67603433', '2704421/67603433', '2704479/67603433', '2704525/67603433', '2704561/67603433', '2704585/67603433', '2704601/67603433', '2704611/67603433', '2704617/67603433', '2704621/67603433']
['103991/2600135', '103991/2600135', '270377/6760351', '1351887/33801755', '1351891/33801755', '1351897/33801755', '1351907/33801755', '1351921/33801755', '1351941/33801755', '270393/6760351', '1351993/33801755', '270405/6760351', '1352061/33801755', '270419/6760351', '1352131/33801755', '1352163/33801755', '1352191/33801755', '270443/6760351', '270447/6760351', '1352249/33801755', '1352259/33801755', '270453/6760351', '1352269/33801755', '1352271/33801755', '104021/2600135']
['450637/11267261', '450637/11267261', '1351912/33801783', '450638/11267261', '450639/11267261', '1351922/33801783', '1351930/33801783', '1351942/33801783', '450653/11267261', '450660/11267261', '450668/11267261', '1352032/33801783', '1352063/33801783', '1352093/33801783', '450708/11267261', '1352152/33801783', '1352176/33801783', '1352197/33801783', '450738/11267261', '450742/11267261', '1352234/33801783', '1352239/33801783', '1352242/33801783', '450748/11267261', '1352245/33801783']
['1351939/33801811', '1351939/33801811', '1351939/33801811', '43611/1090381', '1351943/33801811', '1351947/33801811', '1351953/33801811', '1351963/33801811', '1351977/33801811', '1351995/33801811', '1352015/33801811', '1352039/33801811', '43615/1090381', '1352091/33801811', '1352117/33801811', '1352141/33801811', '1352161/33801811', '1352179/33801811', '1352193/33801811', '1352203/33801811', '1352209/33801811', '1352213/33801811', '1352215/33801811', '1352217/33801811', '1352217/33801811']
['168995/4225229', '168995/4225229', '168995/4225229', '1351961/33801832', '1351963/33801832', '675983/16900916', '1351971/33801832', '1351979/33801832', '1351991/33801832', '676003/16900916', '169003/4225229', '338011/8450458', '1352067/33801832', '1352089/33801832', '169014/4225229', '338033/8450458', '676075/16900916', '1352165/33801832', '1352177/33801832', '1352185/33801832', '676095/16900916', '1352193/33801832', '1352195/33801832', '338049/8450458', '338049/8450458']
['1351981/33801853', '1351981/33801853', '1351981/33801853', '1351981/33801853', '1351983/33801853', '1351985/33801853', '1351989/33801853', '1351995/33801853', '1352005/33801853', '1352017/33801853', '1352033/33801853', '1352049/33801853', '1352069/33801853', '1352087/33801853', '1352107/33801853', '1352123/33801853', '1352139/33801853', '1352151/33801853', '1352161/33801853', '1352167/33801853', '1352171/33801853', '1352173/33801853', '1352175/33801853', '1352175/33801853', '1352175/33801853']
['337999/8450467', '337999/8450467', '337999/8450467', '337999/8450467', '1351997/33801868', '1351999/33801868', '676001/16900934', '1352007/33801868', '1352015/33801868', '676013/16900934', '1352039/33801868', '1352053/33801868', '676035/16900934', '676043/16900934', '1352103/33801868', '1352117/33801868', '676065/16900934', '1352141/33801868', '1352149/33801868', '676077/16900934', '1352157/33801868', '1352159/33801868', '338040/8450467', '338040/8450467', '338040/8450467']
['1352011/33801883', '1352011/33801883', '1352011/33801883', '1352011/33801883', '1352011/33801883', '1352013/33801883', '1352015/33801883', '1352019/33801883', '1352025/33801883', '1352035/33801883', '1352045/33801883', '1352057/33801883', '1352071/33801883', '1352085/33801883', '1352099/33801883', '1352111/33801883', '1352121/33801883', '1352131/33801883', '1352137/33801883', '1352141/33801883', '28769/719189', '1352145/33801883', '1352145/33801883', '1352145/33801883', '1352145/33801883']
