['0', '1909/410876', '3819/410876', '5731/410876', '15295/821752', '19137/821752', '2874/102719', '26861/821752', '30755/821752', '34657/821752', '19297/410876', '21277/410876', '46547/821752', '25287/410876', '54643/821752', '58755/821752', '31459/410876', '67137/821752', '17855/205438', '75777/821752', '40109/410876']
['23087/484977', '23087/484977', '23087/484977', '23087/484977', '23087/484977', '46175/969954', '7696/161659', '23089/484977', '46181/969954', '23092/484977', '46187/969954', '15397/323318', '7699/161659', '15399/323318', '7700/161659', '23101/484977', '15401/323318', '23102/484977', '23102/484977', '23102/484977', '23102/484977']
['184707/3879827', '184707/3879827', '184707/3879827', '184707/3879827', '184707/3879827', '26387/554261', '184713/3879827', '184719/3879827', '184729/3879827', '184739/3879827', '184749/3879827', '184763/3879827', '184773/3879827', '184783/3879827', '26399/554261', '184799/3879827', '184803/3879827', '184805/3879827', '184805/3879827', '184805/3879827', '184805/3879827']
['4861/102101', '4861/102101', '4861/102101', '4861/102101', '4861/102101', '4861/102101', '92361/1939919', '92363/1939919', '92367/1939919', '92371/1939919', '92375/1939919', '92381/1939919', '92385/1939919', '92389/1939919', '92393/1939919', '92395/1939919', '4863/102101', '4863/102101', '4863/102101', '4863/102101', '4863/102101']
['36945/775969', '36945/775969', '36945/775969', '36945/775969', '36945/775969', '36945/775969', '184727/3879845', '184731/3879845', '184737/3879845', '36949/775969', '184751/3879845', '184761/3879845', '184767/3879845', '36955/775969', '184781/3879845', '36957/775969', '184787/3879845', '184787/3879845', '184787/3879845', '184787/3879845', '184787/3879845']
['46183/969963', '46183/969963', '46183/969963', '46183/969963', '46183/969963', '46183/969963', '46183/969963', '46184/969963', '15395/323321', '46187/969963', '15396/323321', '46190/969963', '15397/323321', '46193/969963', '15398/323321', '46195/969963', '46195/969963', '46195/969963', '46195/969963', '46195/969963', '46195/969963']
['9723/204203', '9723/204203', '9723/204203', '9723/204203', '9723/204203', '9723/204203', '9723/204203', '184739/3879857', '184743/3879857', '184749/3879857', '184753/3879857', '184759/3879857', '184763/3879857', '184769/3879857', '184773/3879857', '9725/204203', '9725/204203', '9725/204203', '9725/204203', '9725/204203', '9725/204203']
['92371/1939931', '92371/1939931', '92371/1939931', '92371/1939931', '92371/1939931', '92371/1939931', '92371/1939931', '92371/1939931', '92373/1939931', '92375/1939931', '92377/1939931', '13197/277133', '92381/1939931', '92383/1939931', '92385/1939931', '92385/1939931', '92385/1939931', '92385/1939931', '92385/1939931', '92385/1939931', '92385/1939931']
['3359/70543', '3359/70543', '3359/70543', '3359/70543', '3359/70543', '3359/70543', '3359/70543', '3359/70543', '184747/3879865', '184751/3879865', '36951/775973', '184757/3879865', '184761/3879865', '36953/775973', '1527/32065', '1527/32065', '1527/32065', '1527/32065', '1527/32065', '1527/32065', '1527/32065']
['46187/969967', '46187/969967', '46187/969967', '46187/969967', '46187/969967', '46187/969967', '46187/969967', '46187/969967', '46187/969967', '46188/969967', '46189/969967', '46189/969967', '46190/969967', '46191/969967', '46191/969967', '46191/969967', '46191/969967', '46191/969967', '46191/969967', '46191/969967', '46191/969967']
['18475/387987', '18475/387987', '18475/387987', '18475/387987', '18475/387987', '18475/387987', '18475/387987', '18475/387987', '18475/387987', '30792/646645', '92378/1939935', '92378/1939935', '18476/387987', '92381/1939935', '92381/1939935', '92381/1939935', '92381/1939935', '92381/1939935', '92381/1939935', '92381/1939935', '92381/1939935']
['11547/242492', '11547/242492', '11547/242492', '11547/242492', '11547/242492', '11547/242492', '11547/242492', '11547/242492', '11547/242492', '11547/242492', '46189/969968', '46189/969968', '23095/484984', '23095/484984', '23095/484984', '23095/484984', '23095/484984', '23095/484984', '23095/484984', '23095/484984', '23095/484984']
['184753/3879873', '184753/3879873', '184753/3879873', '184753/3879873', '184753/3879873', '184753/3879873', '184753/3879873', '184753/3879873', '184753/3879873', '184753/3879873', '61585/1293291', '184757/3879873', '184759/3879873', '184759/3879873', '184759/3879873', '184759/3879873', '184759/3879873', '184759/3879873', '184759/3879873', '184759/3879873', '184759/3879873']
['92377/1939937', '92377/1939937', '92377/1939937', '92377/1939937', '92377/1939937', '92377/1939937', '92377/1939937', '92377/1939937', '92377/1939937', '92377/1939937', '92377/1939937', '92379/1939937', '92379/1939937', '92379/1939937', '92379/1939937', '92379/1939937', '92379/1939937', '92379/1939937', '92379/1939937', '92379/1939937', '92379/1939937']
['36951/775975', '36951/775975', '36951/775975', '36951/775975', '36951/775975', '36951/775975', '36951/775975', '36951/775975', '36951/775975', '36951/775975', '36951/775975', '184757/3879875', '184757/3879875', '184757/3879875', '184757/3879875', '184757/3879875', '184757/3879875', '184757/3879875', '184757/3879875', '184757/3879875', '184757/3879875']
['1/21', '1/21', '1/21', '1/21', '1/21', '1/21', '1/21', '1/21', '1/21', '1/21', '1/21', '1/21', '1/21', '1/21', '1/21', '1/21', '1/21', '1/21', '1/21', '1/21', '1/21']
