['0', '5426345649/4958400320726', '10853097975/4958400320726', '16280663563/4958400320726', '21709450173/4958400320726', '27139866589/4958400320726', '32572322645/4958400320726', '38007230379/4958400320726', '43445003991/4958400320726', '48886059831/4958400320726', '54330817587/4958400320726', '59779700289/4958400320726', '65233134281/4958400320726', '70691550473/4958400320726', '76155384389/4958400320726', '81625076113/4958400320726', '87101071855/4958400320726', '92583823257/4958400320726', '98073788889/4958400320726', '103571433921/4958400320726', '109077231621/4958400320726', '114591662745/4958400320726', '120115217323/4958400320726', '125648394759/4958400320726', '131191704155/4958400320726', '136745665845/4958400320726', '142310811781/4958400320726', '147887685909/4958400320726', '153476845925/4958400320726', '159078863839/4958400320726', '164694326465/4958400320726', '170323837511/4958400320726', '175968018293/4958400320726', '181627508583/4958400320726', '187302968953/4958400320726', '192995081863/4958400320726', '198704552949/4958400320726', '204432113779/4958400320726', '210178523517/4958400320726', '215944570815/4958400320726', '221731077297/4958400320726', '227538900115/4958400320726', '233368934835/4958400320726']
['85084312421/10740233945331', '92832894131/10740233945331', '100585052630/10740233945331', '108341093371/10740233945331', '12900147048/1193359327259', '123866051993/10740233945331', '43878530107/3580077981777', '139410251825/10740233945331', '147190352437/10740233945331', '14088746428/976384904121', '162768147797/10740233945331', '170566487929/10740233945331', '178371558457/10740233945331', '62061229961/3580077981777', '64667738780/3580077981777', '201830475674/10740233945331', '209665809466/10740233945331', '217509563569/10740233945331', '225362088161/10740233945331', '25913748651/1193359327259', '241094872208/10740233945331', '248975855825/10740233945331', '256867058494/10740233945331', '264768855745/10740233945331', '90893876327/3580077981777', '280605765620/10740233945331', '288541659730/10740233945331', '26953610201/976384904121', '101483443645/3580077981777', '312423931558/10740233945331', '35601215284/1193359327259', '109470593513/3580077981777', '336426901150/10740233945331', '344456749237/10740233945331', '117500594711/3580077981777', '360562475563/10740233945331', '122879768014/3580077981777', '125577587098/3580077981777', '128281117058/3580077981777', '130990530083/3580077981777', '133706002766/3580077981777', '409283149460/10740233945331', '417467572925/10740233945331']
['90381293927/10782714757507', '97927911643/10782714757507', '105478111983/10782714757507', '113032176227/10782714757507', '17227198645/1540387822501', '128153040377/10782714757507', '135720415057/10782714757507', '143292804293/10782714757507', '150870502175/10782714757507', '158453802579/10782714757507', '166043004485/10782714757507', '173638407707/10782714757507', '16476392377/980246796137', '26978433655/1540387822501', '196464876701/10782714757507', '204088151325/10782714757507', '211719177051/10782714757507', '31336896237/1540387822501', '227005765835/10782714757507', '234661981495/10782714757507', '242327254425/10782714757507', '250001920933/10782714757507', '257686324171/10782714757507', '265380811007/10782714757507', '273085734319/10782714757507', '280801451839/10782714757507', '288528328545/10782714757507', '296266733533/10782714757507', '304017044385/10782714757507', '311779644049/10782714757507', '45650703323/1540387822501', '327343279553/10782714757507', '335145119747/10782714757507', '342960856745/10782714757507', '31890083111/980246796137', '358635723463/10782714757507', '52356532325/1540387822501', '374371373611/10782714757507', '34751193515/980246796137', '5067161865/140035256591', '398096864733/10782714757507', '406039829179/10782714757507', '59142981211/1540387822501']
['1834549835/208110979122', '12843846061/1352721364293', '110108517127/10821770914344', '58735050029/5410885457172', '62417890825/5410885457172', '66102913909/5410885457172', '139580506489/10821770914344', '146960087531/10821770914344', '154344842831/10821770914344', '40433761645/2705442728586', '28188495899/1803628485724', '58844302733/3607256971448', '61313708923/3607256971448', '63785305209/3607256971448', '198777562133/10821770914344', '68735452291/3607256971448', '213642593719/10821770914344', '221086569817/10821770914344', '9522441087/450907121431', '39333157871/1803628485724', '243467961779/10821770914344', '250945942625/10821770914344', '258433206851/10821770914344', '88643358825/3607256971448', '136718438881/5410885457172', '280953942667/10821770914344', '22190892917/832443916488', '296020216067/10821770914344', '37946264437/1352721364293', '311131660421/10821770914344', '13279383820/450907121431', '326291136871/10821770914344', '111296603471/3607256971448', '341501614193/10821770914344', '87281734483/2705442728586', '178383089659/5410885457172', '121473248251/3607256971448', '372088049617/10821770914344', '47471439829/1352721364293', '64578431103/1803628485724', '32932141579/901814242862', '402917311879/10821770914344', '410665893589/10821770914344']
['25038458126/2714525016587', '26831181247/2714525016587', '57249583065/5429050033174', '30419350472/2714525016587', '64429838279/5429050033174', '68023119517/5429050033174', '71618668425/5429050033174', '75216611307/5429050033174', '78817073885/5429050033174', '82420184307/5429050033174', '86026070591/5429050033174', '89634863101/5429050033174', '46623346075/2714525016587', '48430845354/2714525016587', '100479991777/5429050033174', '52050865462/2714525016587', '107727044241/5429050033174', '55678035182/2714525016587', '114988948473/5429050033174', '59312910361/2714525016587', '61133414917/2714525016587', '125912121603/5429050033174', '64780921266/2714525016587', '133216142929/5429050033174', '136875173151/5429050033174', '70269543991/2714525016587', '144208042851/5429050033174', '147882196975/5429050033174', '151561711223/5429050033174', '155246750115/5429050033174', '158937480053/5429050033174', '81317035808/2714525016587', '83168348666/2714525016587', '85022767056/2714525016587', '173760761447/5429050033174', '177482563377/5429050033174', '181211126691/5429050033174', '184946643453/5429050033174', '188689308669/5429050033174', '192439322957/5429050033174', '98098445269/2714525016587', '199962221675/5429050033174', '203735530533/5429050033174']
['104668293976/10891606060193', '111664229694/10891606060193', '118663682915/10891606060193', '125666881346/10891606060193', '132674053775/10891606060193', '139685430591/10891606060193', '146701244019/10891606060193', '153721727766/10891606060193', '160747117325/10891606060193', '167777650438/10891606060193', '174813566563/10891606060193', '181855107336/10891606060193', '188902516895/10891606060193', '195956041532/10891606060193', '203015929979/10891606060193', '210082433908/10891606060193', '217155807437/10891606060193', '224236307606/10891606060193', '231324194722/10891606060193', '238419732004/10891606060193', '245523185903/10891606060193', '252634827189/10891606060193', '259754928074/10891606060193', '266883768294/10891606060193', '274021627165/10891606060193', '281168791914/10891606060193', '288325551591/10891606060193', '295492201289/10891606060193', '302669040060/10891606060193', '309856372171/10891606060193', '317054507296/10891606060193', '324263760233/10891606060193', '331484451487/10891606060193', '338716907889/10891606060193', '345961462162/10891606060193', '353218453612/10891606060193', '360488228671/10891606060193', '367771140719/10891606060193', '375067550661/10891606060193', '382377827636/10891606060193', '389702348826/10891606060193', '397041500228/10891606060193', '404395677296/10891606060193']
['54480085403/5461442860598', '57894584499/5461442860598', '61310823205/5461442860598', '64728906447/5461442860598', '68148942041/5461442860598', '71571036531/5461442860598', '37497649555/2730721430299', '78421837829/5461442860598', '40925381801/2730721430299', '42641093147/2730721430299', '88716218463/5461442860598', '46076486044/2730721430299', '47796280865/2730721430299', '99035101421/5461442860598', '102480708065/5461442860598', '52964749041/2730721430299', '54690795344/2730721430299', '112837105061/5461442860598', '116296163101/5461442860598', '59879443354/2730721430299', '61612700385/2730721430299', '126695830847/5461442860598', '65085151843/2730721430299', '66824474893/2730721430299', '68565949450/2730721430299', '140619284433/5461442860598', '144111241343/5461442860598', '147607906059/5461442860598', '75554709103/2730721430299', '154615918535/5461442860598', '79063775671/2730721430299', '80822231000/2730721430299', '165166800027/5461442860598', '168694716063/5461442860598', '172228364991/5461442860598', '87883951664/2730721430299', '179313492019/5461442860598', '182865293737/5461442860598', '93211738108/2730721430299', '189988209035/5461442860598', '193559667113/5461442860598', '98569013888/2730721430299', '100361737009/2730721430299']
['226083383071/21903637867939', '239422131635/21903637867939', '252767744195/21903637867939', '266120617217/21903637867939', '279481149599/21903637867939', '292849743027/21903637867939', '306226802187/21903637867939', '319612734329/21903637867939', '333007950309/21903637867939', '346412864157/21903637867939', '4043010037/246108290651', '373253458963/21903637867939', '386689986375/21903637867939', '400137904449/21903637867939', '413597646723/21903637867939', '427069651071/21903637867939', '440554359875/21903637867939', '454052220563/21903637867939', '467563685737/21903637867939', '481089213073/21903637867939', '494629265037/21903637867939', '508184314851/21903637867939', '521754829275/21903637867939', '535341300857/21903637867939', '548944208005/21903637867939', '562564052211/21903637867939', '15573008983/591990212647', '589856559837/21903637867939', '603530251565/21903637867939', '617222933571/21903637867939', '630935140245/21903637867939', '644667414683/21903637867939', '658420309625/21903637867939', '672194387431/21903637867939', '685990220453/21903637867939', '699808391867/21903637867939', '713649496073/21903637867939', '727514138723/21903637867939', '741402938047/21903637867939', '39753501311/1152823045681', '769255543405/21903637867939', '783220651807/21903637867939', '797212523243/21903637867939']
['116930221931/10978921478625', '41149007963/3659640492875', '129967205873/10978921478625', '136490955709/10978921478625', '47672819201/3659640492875', '149549902109/10978921478625', '52028491909/3659640492875', '54208457191/3659640492875', '169169779667/10978921478625', '175718895529/10978921478625', '12151527497/731928098575', '188832029737/10978921478625', '195396443761/10978921478625', '201966357367/10978921478625', '41708394281/2195784295725', '215123492147/10978921478625', '221711124713/10978921478625', '228305080207/10978921478625', '234905567879/10978921478625', '241512803741/10978921478625', '82709000519/3659640492875', '254748385019/10978921478625', '261377168693/10978921478625', '268013586079/10978921478625', '274657857029/10978921478625', '281310218209/10978921478625', '57594180049/2195784295725', '294640143089/10978921478625', '301318186007/10978921478625', '102668425327/3659640492875', '314701659659/10978921478625', '107135863967/3659640492875', '328123328153/10978921478625', '111616377127/3659640492875', '11018879549/354158757375', '348332005007/10978921478625', '23672641471/731928098575', '11672851627/354158757375', '368638625033/10978921478625', '375430589909/10978921478625', '127411530539/3659640492875', '12550030231/354158757375', '131959978451/3659640492875']
['20105925613/1834009765555', '8467081791/733603906222', '133380226589/11004058593330', '139757726663/11004058593330', '1328535472/100036896303', '30504785669/2200811718666', '26485497201/1834009765555', '82653122581/5502029296665', '85851947026/5502029296665', '178106111339/11004058593330', '36902615993/2200811718666', '31820830729/1834009765555', '19734201076/1100405859333', '67921449029/3668019531110', '70064060987/3668019531110', '108312855053/5502029296665', '22306512212/1100405859333', '76503538209/3668019531110', '235962385463/11004058593330', '40403439183/1834009765555', '248885564221/11004058593330', '127678691003/5502029296665', '23803299011/1000368963030', '134161251524/5502029296665', '4163882281/166728160505', '281317691353/11004058593330', '143913550981/5502029296665', '98114895097/3668019531110', '50145111007/1834009765555', '51234212133/1834009765555', '52324789598/1834009765555', '53416882702/1834009765555', '163531594048/5502029296665', '166817328442/5502029296665', '113405316771/3668019531110', '15763969111/500184481515', '176704511957/5502029296665', '120007107393/3668019531110', '366644481469/11004058593330', '62213128896/1834009765555', '75984894973/2200811718666', '787335781/22411524630', '393251242753/11004058593330']
['31043177987/2756920054830', '32600870219/2756920054830', '5693230028/459486675805', '3571874776/275692005483', '74558029609/5513840109660', '25893481211/1837946703220', '40402411067/2756920054830', '20982811891/1378460027415', '87059805619/5513840109660', '15031763337/918973351610', '4666182896/275692005483', '48229562261/2756920054830', '8299755693/459486675805', '5136878813/275692005483', '17646789741/918973351610', '109026643477/5513840109660', '112175383313/5513840109660', '23065409693/1102768021932', '9873477722/459486675805', '60819764453/2756920054830', '31200132967/1378460027415', '10663736576/459486675805', '10927712052/459486675805', '4476791665/183794670322', '45826184187/1837946703220', '140657054233/5513840109660', '35959839316/1378460027415', '73512782363/2756920054830', '25035963791/918973351610', '153410117039/5513840109660', '78304338481/2756920054830', '5327052385/183794670322', '40754728408/1378460027415', '166230815651/5513840109660', '11296492955/367589340644', '43167191483/1378460027415', '175895051123/5513840109660', '8956318525/275692005483', '182362849129/5513840109660', '30934102007/918973351610', '3147529821/91897335161', '64034836919/1837946703220', '48840727934/1378460027415']
['255099067835/22099286949997', '267292204347/22099286949997', '279491760185/22099286949997', '291698041625/22099286949997', '303911356729/22099286949997', '316132015383/22099286949997', '328360330327/22099286949997', '340596615977/22099286949997', '352841189281/22099286949997', '365094370007/22099286949997', '377356480329/22099286949997', '389627844869/22099286949997', '401908791851/22099286949997', '414199651833/22099286949997', '426500758639/22099286949997', '438812449687/22099286949997', '451135065453/22099286949997', '463468949813/22099286949997', '475814450613/22099286949997', '488171921131/22099286949997', '500541710941/22099286949997', '512924191199/22099286949997', '525319711327/22099286949997', '537728653571/22099286949997', '550151380877/22099286949997', '562588277697/22099286949997', '575039723367/22099286949997', '587506108183/22099286949997', '599987825003/22099286949997', '612485273339/22099286949997', '624998858723/22099286949997', '637528992407/22099286949997', '650076092081/22099286949997', '662640582423/22099286949997', '675222894739/22099286949997', '687823467277/22099286949997', '700442746507/22099286949997', '713081186037/22099286949997', '725739247743/22099286949997', '738417402363/22099286949997', '751116129135/22099286949997', '763835916385/22099286949997', '776577262759/22099286949997']
['130779100407/11070344232041', '136746984099/11070344232041', '142718014903/11070344232041', '148692340245/11070344232041', '154670101415/11070344232041', '160651447809/11070344232041', '166636522879/11070344232041', '172625477719/11070344232041', '178618458379/11070344232041', '184615618075/11070344232041', '190617105181/11070344232041', '196623075539/11070344232041', '202633680223/11070344232041', '208649077477/11070344232041', '214669421545/11070344232041', '220694873535/11070344232041', '226725590615/11070344232041', '232761737287/11070344232041', '238803473851/11070344232041', '244850969257/11070344232041', '406652163/17942211073', '256963896843/11070344232041', '263029667425/11070344232041', '269101878139/11070344232041', '275180696797/11070344232041', '281266305969/11070344232041', '287358881265/11070344232041', '293458607907/11070344232041', '299565667357/11070344232041', '305680249575/11070344232041', '311802541571/11070344232041', '317932738465/11070344232041', '324071033263/11070344232041', '330217627027/11070344232041', '336372718683/11070344232041', '342536516013/11070344232041', '348709224545/11070344232041', '354891058893/11070344232041', '361082231979/11070344232041', '367282966061/11070344232041', '373493481583/11070344232041', '379714009371/11070344232041', '385944778299/11070344232041']
['133867677341/11089636001894', '139711938449/11089636001894', '72779643308/5544818000947', '151409857285/11089636001894', '157263786757/11089636001894', '81560606201/5544818000947', '84491136225/5544818000947', '174847106135/11089636001894', '90357926880/5544818000947', '186588656807/11089636001894', '192465657701/11089636001894', '198347000263/11089636001894', '102116414734/5544818000947', '210123291567/11089636001894', '108009267085/5544818000947', '221918706383/11089636001894', '113911979280/5544818000947', '233734442831/11089636001894', '239650312339/11089636001894', '122785861917/5544818000947', '251498830675/11089636001894', '128715898475/5544818000947', '263370777113/11089636001894', '269315938765/11089636001894', '275267442621/11089636001894', '281225457329/11089636001894', '287190150181/11089636001894', '146580846324/5544818000947', '149570128681/5544818000947', '152563009992/5544818000947', '155559579175/5544818000947', '317119852921/11089636001894', '161564143416/5544818000947', '164572323040/5544818000947', '167584559671/5544818000947', '341201898489/11089636001894', '347243178403/11089636001894', '353293157213/11089636001894', '359352036399/11089636001894', '365420021067/11089636001894', '185748659878/5544818000947', '188792072510/5544818000947', '191840356638/5544818000947']
['136826721559/11107869826103', '142552266137/11107869826103', '148280837957/11107869826103', '154012560027/11107869826103', '159747565087/11107869826103', '165485978791/11107869826103', '171227934909/11107869826103', '176973561149/11107869826103', '182722993489/11107869826103', '188476361387/11107869826103', '194233802721/11107869826103', '199995449695/11107869826103', '205761441941/11107869826103', '211531914127/11107869826103', '217307008687/11107869826103', '223086862449/11107869826103', '228871620441/11107869826103', '2827246059/133829756941', '240456416575/11107869826103', '246256746449/11107869826103', '252062559853/11107869826103', '257874007545/11107869826103', '263691238707/11107869826103', '269514407311/11107869826103', '275343667763/11107869826103', '281179175393/11107869826103', '287021090793/11107869826103', '292869571589/11107869826103', '298724783231/11107869826103', '304586887757/11107869826103', '310456054777/11107869826103', '316332450815/11107869826103', '322216250885/11107869826103', '328107625957/11107869826103', '334006756273/11107869826103', '339913818571/11107869826103', '345828998279/11107869826103', '351752477879/11107869826103', '357684449371/11107869826103', '363625100939/11107869826103', '369574631219/11107869826103', '375533235515/11107869826103', '381501119207/11107869826103']
['69830615189/5562449374772', '18159071706/1390612343693', '75443439935/5562449374772', '39126067227/2781224687386', '162124862157/11124898749544', '167748781555/11124898749544', '173376150133/11124898749544', '179007091687/11124898749544', '184641730935/11124898749544', '23785024195/1390612343693', '97961303177/5562449374772', '201569096923/11124898749544', '207219794177/11124898749544', '212874828041/11124898749544', '218534329603/11124898749544', '56049607791/2781224687386', '114933633187/5562449374772', '117770485073/5562449374772', '241219678085/11124898749544', '123451764839/5562449374772', '126296330393/5562449374772', '258287216021/11124898749544', '65996833433/2781224687386', '269693160721/11124898749544', '275404840397/11124898749544', '281122521285/11124898749544', '71711587915/2781224687386', '146288241399/5562449374772', '298313067447/11124898749544', '76014065111/2781224687386', '309806218759/11124898749544', '157781550767/5562449374772', '321327070111/11124898749544', '327098288179/11124898749544', '332876921925/11124898749544', '338663139859/11124898749544', '172228556643/5562449374772', '350259016135/11124898749544', '356069025129/11124898749544', '361887319899/11124898749544', '367714083239/11124898749544', '373549500857/11124898749544', '379393761965/11124898749544']
