['0', '199982/82644371', '400014/82644371', '600142/82644371', '2401249/247933113', '3002666/247933113', '3604816/247933113', '4207856/247933113', '4811947/247933113', '5417236/247933113', '6023897/247933113', '2210688/82644371', '2413991/82644371', '2617909/82644371', '8467558/247933113', '9083630/247933113', '3234050/82644371', '10323326/247933113', '10947368/247933113', '11574506/247933113', '12204991/247933113', '12839063/247933113', '4492335/82644371', '14119114/247933113', '14765695/247933113', '15417095/247933113', '16073696/247933113', '5578633/82644371', '17404172/247933113']
['2723927/95925245', '8283266/287775735', '2799367/95925245', '2838608/95925245', '8635943/287775735', '8758154/287775735', '8882111/287775735', '692893/22136595', '1826875/57555147', '9262276/287775735', '9391091/287775735', '3173572/95925245', '3216988/95925245', '160357/4717635', '1982584/57555147', '772648/22136595', '3392007/95925245', '10307716/287775735', '3479767/95925245', '10570712/287775735', '10701752/287775735', '10832329/287775735', '2192443/57555147', '11091269/287775735', '11219213/287775735', '3781942/95925245', '11470726/287775735', '11593564/287775735', '11713759/287775735']
['16464767/575797570', '8339671/287898785', '3380143/115159514', '1712787/57579757', '17359939/575797570', '17596213/575797570', '3567217/115159514', '1807905/57579757', '9162328/287898785', '18572519/575797570', '18822297/575797570', '19073677/575797570', '19326363/575797570', '3916029/115159514', '9917321/287898785', '4017959/115159514', '10172588/287898785', '10300339/287898785', '10427986/287898785', '10555413/287898785', '21364941/575797570', '21618011/575797570', '21869679/575797570', '11059777/287898785', '11183581/287898785', '11305979/287898785', '11426637/287898785', '11545146/287898785', '11660986/287898785']
['8292983/288021826', '8396073/288021826', '8502611/288021826', '8612043/288021826', '8723993/288021826', '4419028/144010913', '8953971/288021826', '4535719/144010913', '4595139/144010913', '4655120/144010913', '4715602/144010913', '9552959/288021826', '9675397/288021826', '227869/6698182', '9921721/288021826', '10045371/288021826', '10169155/288021826', '10292963/288021826', '5208336/144010913', '5270058/144010913', '10663191/288021826', '5392842/144010913', '10907467/288021826', '5514144/144010913', '5573976/144010913', '11266135/288021826', '11382551/288021826', '11496731/288021826', '5804108/144010913']
['33405463/1152549565', '6760377/230509913', '6842409/230509913', '34633959/1152549565', '35065943/1152549565', '35506577/1152549565', '35954627/1152549565', '36409069/1152549565', '36868989/1152549565', '37333569/1152549565', '7560423/230509913', '38273967/1152549565', '38748483/1152549565', '39225239/1152549565', '39703441/1152549565', '40182899/1152549565', '40662773/1152549565', '41142793/1152549565', '41622259/1152549565', '42100681/1152549565', '8515487/230509913', '8610371/230509913', '8704641/230509913', '43990657/1152549565', '44453227/1152549565', '1095361/28110965', '45359021/1152549565', '45799219/1152549565', '46228369/1152549565']
['16819495/576505907', '17009737/576505907', '17206821/576505907', '17409871/576505907', '17617955/576505907', '17830463/576505907', '18046683/576505907', '18266191/576505907', '18488431/576505907', '18713087/576505907', '18939705/576505907', '19168047/576505907', '19397687/576505907', '19628505/576505907', '19859999/576505907', '20092155/576505907', '20324465/576505907', '20556867/576505907', '20788915/576505907', '21020451/576505907', '21251055/576505907', '21480489/576505907', '21708273/576505907', '21934083/576505907', '22157325/576505907', '22377533/576505907', '22593921/576505907', '22805759/576505907', '23011939/576505907']
['33863477/1153445205', '11409567/384481735', '34607689/1153445205', '11666187/384481735', '35399653/1153445205', '35809561/1153445205', '36227071/1153445205', '36651127/1153445205', '37080803/1153445205', '12505093/384481735', '12651271/384481735', '7679147/230689041', '7768075/230689041', '13095759/384481735', '3612331/104858655', '40185197/1153445205', '40635143/1153445205', '13695041/384481735', '41534447/1153445205', '41982577/1153445205', '42428851/1153445205', '42872597/1153445205', '43313027/1153445205', '43749283/1153445205', '44180377/1153445205', '44605153/1153445205', '45022243/1153445205', '45430001/1153445205', '45826423/1153445205']
['17043981/576939295', '17218963/576939295', '17400867/576939295', '17588689/576939295', '17781697/576939295', '17979097/576939295', '18180387/576939295', '3676987/115387859', '18592371/576939295', '18802191/576939295', '19014107/576939295', '19227687/576939295', '19442687/576939295', '19658771/576939295', '19875641/576939295', '20093041/576939295', '20310679/576939295', '20528257/576939295', '20745533/576939295', '20962127/576939295', '21177797/576939295', '21392109/576939295', '4320951/115387859', '21815201/576939295', '22023053/576939295', '22227621/576939295', '22428323/576939295', '22624243/576939295', '4562897/115387859']
['17151506/577141999', '17319296/577141999', '2499134/82448857', '17674537/577141999', '17860292/577141999', '18050507/577141999', '18244584/577141999', '18441992/577141999', '2663181/82448857', '2692141/82448857', '19049775/577141999', '19256290/577141999', '2780597/82448857', '19673202/577141999', '19882973/577141999', '20093294/577141999', '20303807/577141999', '2930612/82448857', '2960626/82448857', '20933819/577141999', '21142250/577141999', '21349323/577141999', '3079234/82448857', '21757752/577141999', '21958164/577141999', '3165041/82448857', '22348442/577141999', '22536810/577141999', '22719422/577141999']
['17259031/577344703', '17419629/577344703', '17587009/577344703', '17760385/577344703', '17938887/577344703', '18121917/577344703', '18308781/577344703', '18499049/577344703', '18692163/577344703', '18887783/577344703', '1468111/44411131', '19284893/577344703', '19485671/577344703', '19687633/577344703', '19890305/577344703', '20093547/577344703', '20296935/577344703', '1576947/44411131', '20703231/577344703', '20905511/577344703', '21106703/577344703', '21306537/577344703', '21504521/577344703', '21700303/577344703', '21893275/577344703', '22082953/577344703', '22268561/577344703', '22449377/577344703', '22624359/577344703']
['34723629/1155067939', '35031139/1155067939', '35352201/1155067939', '35685131/1155067939', '36028391/1155067939', '36380629/1155067939', '36740651/1155067939', '37107413/1155067939', '37479985/1155067939', '37857509/1155067939', '38239219/1155067939', '38624433/1155067939', '39012409/1155067939', '39402647/1155067939', '39794409/1155067939', '40187179/1155067939', '40580329/1155067939', '40973311/1155067939', '41365439/1155067939', '41756137/1155067939', '42144689/1155067939', '42530365/1155067939', '42912355/1155067939', '43289761/1155067939', '43661561/1155067939', '44026593/1155067939', '44383499/1155067939', '44730673/1155067939', '45066253/1155067939']
['8732299/288861618', '8805755/288861618', '4441298/144430809', '8962373/288861618', '4522376/144430809', '4564678/144430809', '9215935/288861618', '1550697/48143603', '9393911/288861618', '3161621/96287206', '1596148/48143603', '4834885/144430809', '9763369/288861618', '9857507/288861618', '4976026/144430809', '5023408/144430809', '10141697/288861618', '5118250/144430809', '5165552/144430809', '10425313/288861618', '3506331/96287206', '5305957/144430809', '10703917/288861618', '3598243/96287206', '10884143/288861618', '5485910/144430809', '3685823/96287206', '5570324/144430809', '11220947/288861618']
['17562509/577899544', '17703015/577899544', '8925091/288949772', '9001613/288949772', '4540353/144474886', '18324081/577899544', '18490661/577899544', '4665155/144474886', '2354188/72237443', '9504443/288949772', '9593187/288949772', '4841405/144474886', '9773131/288949772', '19728015/577899544', '2488818/72237443', '10046767/288949772', '2534589/72237443', '10229877/288949772', '10321171/288949772', '20824157/577899544', '5251211/144474886', '21184031/577899544', '10680653/288949772', '10768105/288949772', '10854123/288949772', '10938411/288949772', '11020637/288949772', '22200823/577899544', '11177289/288949772']
['4415105/144518963', '4448630/144518963', '4483793/144518963', '9040853/289037926', '4558330/144518963', '9194725/289037926', '4637363/144518963', '4678219/144518963', '9439593/289037926', '9524023/289037926', '4804743/144518963', '4847925/144518963', '9782893/289037926', '4935254/144518963', '4979246/144518963', '5023359/144518963', '10135015/289037926', '5111627/144518963', '5155619/144518963', '5199422/144518963', '10485851/289037926', '10572117/289037926', '10657389/289037926', '10741481/289037926', '10824103/289037926', '5452501/144518963', '10983805/289037926', '11060175/289037926', '11133631/289037926']
['11835661/385493189', '35763071/1156479567', '36032179/1156479567', '36312853/1156479567', '12201235/385493189', '36903473/1156479567', '37211033/1156479567', '37525351/1156479567', '12615173/385493189', '38170691/1156479567', '38500085/1156479567', '12944333/385493189', '39168701/1156479567', '13168863/385493189', '39846049/1156479567', '13395449/385493189', '40527011/1156479567', '40867321/1156479567', '41206661/1156479567', '41544371/1156479567', '13959911/385493189', '14070663/385493189', '42540317/1156479567', '42863801/1156479567', '43181437/1156479567', '14497357/385493189', '43794397/1156479567', '44086909/1156479567', '14789307/385493189']
['17846563/578403715', '17968551/578403715', '18097007/578403715', '18231147/578403715', '3674077/115680743', '18514023/578403715', '18661581/578403715', '3762495/115680743', '18966333/578403715', '3824529/115680743', '19281113/578403715', '19441299/578403715', '3920583/115680743', '19765573/578403715', '3985813/115680743', '20092911/578403715', '20256981/578403715', '20420813/578403715', '4116837/115680743', '20746683/578403715', '20908031/578403715', '4213551/115680743', '21225539/578403715', '21380839/578403715', '21533231/578403715', '21682067/578403715', '21826787/578403715', '21966559/578403715', '22100659/578403715']
['35869459/1157111543', '36102173/1157111543', '36347547/1157111543', '36604237/1157111543', '36870947/1157111543', '37146471/1157111543', '37429713/1157111543', '37719681/1157111543', '38015469/1157111543', '38316239/1157111543', '5517317/165301649', '38929707/1157111543', '39240969/1157111543', '39554371/1157111543', '39869353/1157111543', '40185101/1157111543', '40501199/1157111543', '40816871/1157111543', '41131521/1157111543', '41444475/1157111543', '5965001/165301649', '42062351/1157111543', '42365695/1157111543', '42664133/1157111543', '42956651/1157111543', '43242133/1157111543', '43519309/1157111543', '43786727/1157111543', '44042815/1157111543']
['4505724/144676957', '9066811/289353914', '4562635/144676957', '9186545/289353914', '9250281/289353914', '4658112/144676957', '4692033/144676957', '9453603/289353914', '4762284/144676957', '9596797/289353914', '9670053/289353914', '4872102/144676957', '9819027/289353914', '9894399/289353914', '4985072/144676957', '10046095/289353914', '10122109/289353914', '10198029/289353914', '5136834/144676957', '5174448/144676957', '5211744/144676957', '5248649/144676957', '5285039/144676957', '10641647/289353914', '5355855/144676957', '10780033/289353914', '10846261/289353914', '5455042/144676957', '5485539/144676957']
['36212483/1157697209', '36423357/1157697209', '36646459/1157697209', '36880595/1157697209', '37124533/1157697209', '37377135/1157697209', '37637351/1157697209', '37904223/1157697209', '38176847/1157697209', '38454427/1157697209', '38736169/1157697209', '39021387/1157697209', '39309369/1157697209', '39599435/1157697209', '39891061/1157697209', '40183413/1157697209', '40476081/1157697209', '40768261/1157697209', '41059387/1157697209', '41348759/1157697209', '41635645/1157697209', '41919309/1157697209', '42198913/1157697209', '42473579/1157697209', '42742309/1157697209', '43004011/1157697209', '43257451/1157697209', '43501273/1157697209', '43733987/1157697209']
['18189587/578989381', '18289735/578989381', '18395919/578989381', '18507505/578989381', '18623971/578989381', '18744687/578989381', '18869219/578989381', '18997017/578989381', '19127711/578989381', '19260833/578989381', '19396063/578989381', '19532979/578989381', '19671315/578989381', '19810637/578989381', '19950773/578989381', '20091223/578989381', '20231863/578989381', '20372203/578989381', '20512051/578989381', '20650967/578989381', '20788669/578989381', '20924713/578989381', '21058757/578989381', '21190285/578989381', '21318889/578989381', '21443945/578989381', '21564929/578989381', '21681105/578989381', '21791831/578989381']
['36536201/1158238789', '36726729/1158238789', '36929021/1158238789', '37141991/1158238789', '37364519/1158238789', '37595521/1158238789', '37833993/1158238789', '38079013/1158238789', '38329709/1158238789', '38585287/1158238789', '38844983/1158238789', '39108099/1158238789', '39373953/1158238789', '39641833/1158238789', '39911255/1158238789', '40181351/1158238789', '40451737/1158238789', '40721585/1158238789', '40990349/1158238789', '41257311/1158238789', '41521763/1158238789', '41782957/1158238789', '42040077/1158238789', '42292251/1158238789', '42538509/1158238789', '42777791/1158238789', '43008921/1158238789', '43230603/1158238789', '43441477/1158238789']
['3057769/96541568', '9218497/289624704', '9266551/289624704', '9317243/289624704', '4685137/144812352', '9425417/289624704', '9482387/289624704', '4770499/144812352', '3200333/96541568', '9662227/289624704', '2431115/72406176', '407815/12067696', '3283773/96541568', '4957799/144812352', '3326747/96541568', '1255633/36203088', '3369979/96541568', '10174691/289624704', '10239149/289624704', '2575793/72406176', '10366547/289624704', '1738187/48270784', '2622665/72406176', '10550983/289624704', '5304905/144812352', '3555641/96541568', '2680499/72406176', '3591583/96541568', '10824823/289624704']
['9210213/289684625', '3701249/115873850', '3719539/115873850', '9347144/289684625', '18795513/579369250', '18900867/579369250', '9504933/289684625', '9561036/289684625', '9618532/289684625', '19354451/579369250', '9736932/289684625', '19594957/579369250', '3943479/115873850', '3898/113825', '19964997/579369250', '4017899/115873850', '10107058/289684625', '4067691/115873850', '10231118/289684625', '20585103/579369250', '20706709/579369250', '2082668/57936925', '20944619/579369250', '21060099/579369250', '10586322/289684625', '21281751/579369250', '21386857/579369250', '21487351/579369250', '4316523/115873850']
['1321017/41392078', '4643874/144872273', '4665572/144872273', '9377045/289744546', '9425239/289744546', '4737725/144872273', '732883/22288042', '4790537/144872273', '9636065/289744546', '4846112/144872273', '696386/20696039', '9807397/289744546', '4933038/144872273', '4962611/144872273', '4992378/144872273', '10044431/289744546', '10104179/289744546', '390914/11144021', '1460441/41392078', '10281931/289744546', '738583/20696039', '5198779/144872273', '10453959/289744546', '5254558/144872273', '5281417/144872273', '758202/20696039', '10664861/289744546', '5356301/144872273', '5378896/144872273']
['2651912/82799897', '18640462/579599279', '18722902/579599279', '18810280/579599279', '18902123/579599279', '2713995/82799897', '2728194/82799897', '2742839/82799897', '19305109/579599279', '19412690/579599279', '19522253/579599279', '456592/13479053', '19745984/579599279', '19859466/579599279', '19973671/579599279', '20088196/579599279', '20202814/579599279', '20317139/579599279', '20430902/579599279', '2934820/82799897', '20655317/579599279', '2966467/82799897', '20873203/579599279', '20978701/579599279', '21081313/579599279', '21180548/579599279', '21275876/579599279', '21366733/579599279', '21452552/579599279']
['1330895/41407819', '1336102/41407819', '9391758/289854733', '1347605/41407819', '9476884/289854733', '9522515/289854733', '9569879/289854733', '9618799/289854733', '1381292/41407819', '1388638/41407819', '9772849/289854733', '9826059/289854733', '9879908/289854733', '9934244/289854733', '9988915/289854733', '10043765/289854733', '10098635/289854733', '10153375/289854733', '10207815/289854733', '10261809/289854733', '10315155/289854733', '10367711/289854733', '10419244/289854733', '1495655/41407819', '10518479/289854733', '10565720/289854733', '10611015/289854733', '10654131/289854733', '10694760/289854733']
['37394349/1159621163', '37532389/1159621163', '37680587/1159621163', '37838215/1159621163', '38004419/1159621163', '931179/28283443', '38359131/1159621163', '38545987/1159621163', '38738137/1159621163', '38934855/1159621163', '39135433/1159621163', '39339211/1159621163', '39545569/1159621163', '39753787/1159621163', '39963381/1159621163', '40173609/1159621163', '40383965/1159621163', '40593735/1159621163', '40802359/1159621163', '41009139/1159621163', '41213411/1159621163', '41414465/1159621163', '41611533/1159621163', '41803811/1159621163', '41990429/1159621163', '42170457/1159621163', '42342895/1159621163', '42506705/1159621163', '42660861/1159621163']
['18761819/579911697', '18826961/579911697', '18897071/579911697', '6323915/193303899', '2116739/64434633', '19133309/579911697', '19219373/579911697', '19308389/579911697', '2155561/64434633', '19493923/579911697', '19589735/579911697', '19687093/579911697', '2198417/64434633', '6628433/193303899', '19985551/579911697', '20086079/579911697', '20186695/579911697', '20286985/579911697', '20386729/579911697', '758723/21478211', '20583101/579911697', '20679043/579911697', '20773045/579911697', '20864641/579911697', '20953471/579911697', '21039017/579911697', '21120865/579911697', '21198443/579911697', '7090447/193303899']
['37644079/1160008485', '37767301/1160008485', '12633371/386669495', '38041873/1160008485', '38191841/1160008485', '7669843/232001697', '7702643/232001697', '12894357/386669495', '7771613/232001697', '39037483/1160008485', '13073551/386669495', '7881385/232001697', '13198567/386669495', '39786287/1160008485', '39978179/1160008485', '40170691/1160008485', '40363283/1160008485', '40555291/1160008485', '40746143/1160008485', '40935163/1160008485', '13707237/386669495', '41305079/1160008485', '41484541/1160008485', '41659309/1160008485', '41828561/1160008485', '13997137/386669495', '8429387/232001697', '42294163/1160008485', '42432203/1160008485']
['4720565/145024197', '4735085/145024197', '9501521/290048394', '4767532/145024197', '9570595/290048394', '3202651/96682798', '9646921/290048394', '9687341/290048394', '4864504/145024197', '1628630/48341399', '9815459/290048394', '4929958/145024197', '1650829/48341399', '4975247/145024197', '4998157/145024197', '5021153/145024197', '5044147/145024197', '3378051/96682798', '10179707/290048394', '10224821/290048394', '10269305/290048394', '5156509/145024197', '1725958/48341399', '1732889/48341399', '10437545/290048394', '10476197/290048394', '3504345/96682798', '5273930/145024197', '10580431/290048394']
['37876495/1160362651', '37986145/1160362651', '38104797/1160362651', '5461703/165766093', '38366849/1160362651', '38508857/1160362651', '38657233/1160362651', '38811243/1160362651', '38970203/1160362651', '39133449/1160362651', '39300321/1160362651', '39470185/1160362651', '5663211/165766093', '5688075/165766093', '39991793/1160362651', '40167691/1160362651', '40343607/1160362651', '5788421/165766093', '40693137/1160362651', '40865515/1160362651', '41035459/1160362651', '41202293/1160362651', '41365305/1160362651', '41523743/1160362651', '41676835/1160362651', '41823739/1160362651', '41963595/1160362651', '42095535/1160362651', '6031251/165766093']
['18994235/580265863', '19045805/580265863', '19101755/580265863', '19161793/580265863', '19225659/580265863', '19292951/580265863', '19363391/580265863', '19436561/580265863', '19512187/580265863', '19589889/580265863', '19669403/580265863', '19750353/580265863', '19832529/580265863', '19915537/580265863', '19999165/580265863', '20083079/580265863', '20167019/580265863', '20250641/580265863', '20333723/580265863', '20415873/580265863', '20496849/580265863', '20576257/580265863', '20653809/580265863', '20729075/580265863', '20801745/580265863', '20871345/580265863', '20937525/580265863', '20999815/580265863', '21057895/580265863']
['19046096/580342877', '19094726/580342877', '19147564/580342877', '19204389/580342877', '19264913/580342877', '19328807/580342877', '19395742/580342877', '19465382/580342877', '19537399/580342877', '19611476/580342877', '19687304/580342877', '19764572/580342877', '19843007/580342877', '19922294/580342877', '20002151/580342877', '20082321/580342877', '20162476/580342877', '20242350/580342877', '883550/25232299', '20400062/580342877', '20477285/580342877', '20552987/580342877', '20626832/580342877', '20698462/580342877', '20767508/580342877', '20833580/580342877', '20896281/580342877', '20955218/580342877', '21010043/580342877']
['19097957/580419891', '19143647/580419891', '2132597/64491099', '19246985/580419891', '19304167/580419891', '15529/465453', '719559/21497033', '19494203/580419891', '19562611/580419891', '19633063/580419891', '19705205/580419891', '19778791/580419891', '19853485/580419891', '738113/21497033', '740931/21497033', '20081563/580419891', '6719311/193473297', '20234059/580419891', '6769859/193473297', '20384251/580419891', '20457721/580419891', '6843239/193473297', '20599855/580419891', '6889283/193473297', '20733271/580419891', '20795815/580419891', '6951679/193473297', '6970207/193473297', '6987397/193473297']
['19145903/580489911', '19188898/580489911', '2137312/64498879', '19286455/580489911', '19340591/580489911', '19397927/580489911', '6486050/193496637', '19520962/580489911', '631808/18725481', '6551036/193496637', '6573950/193496637', '19791977/580489911', '19863218/580489911', '19935287/580489911', '6669295/193496637', '2231199/64498879', '20153662/580489911', '20226263/580489911', '20298290/580489911', '6789818/193496637', '20439460/580489911', '20507987/580489911', '20574715/580489911', '20639311/580489911', '20701417/580489911', '20760682/580489911', '20816734/580489911', '6956408/193496637', '2324206/64498879']
['19193849/580559931', '6411383/193519977', '2142027/64506659', '2147325/64506659', '922715/27645711', '19431191/580559931', '6496069/193519977', '2171969/64506659', '933785/27645711', '19673153/580559931', '2819785/82937133', '943103/27645711', '946331/27645711', '2848789/82937133', '6670211/193519977', '20080019/580559931', '20149391/580559931', '6739489/193519977', '20287003/580559931', '20354657/580559931', '20421199/580559931', '20486257/580559931', '20549575/580559931', '20610773/580559931', '20669563/580559931', '20725549/580559931', '20778431/580559931', '2314203/64506659', '993977/27645711']
['38476015/1161246827', '38551785/1161246827', '38634809/1161246827', '38724811/1161246827', '2986259/89326679', '38923961/1161246827', '39032039/1161246827', '39145033/1161246827', '39262365/1161246827', '39383475/1161246827', '39507801/1161246827', '39634771/1161246827', '39763879/1161246827', '39894577/1161246827', '40026261/1161246827', '40158541/1161246827', '40290727/1161246827', '40422381/1161246827', '3119455/89326679', '40681765/1161246827', '40808367/1161246827', '40932115/1161246827', '41052393/1161246827', '41168571/1161246827', '41279995/1161246827', '41385995/1161246827', '41485905/1161246827', '3198393/89326679', '41665099/1161246827']
['9641083/290343448', '4829409/145171724', '9678283/290343448', '9699443/290343448', '1215272/36292931', '9746385/290343448', '2442979/72585862', '1224832/36292931', '1228305/36292931', '9855161/290343448', '9884653/290343448', '2478701/72585862', '1243183/36292931', '9976527/290343448', '5003907/145171724', '10039261/290343448', '2517667/72585862', '10101957/290343448', '2533239/72585862', '5081777/145171724', '1274198/36292931', '10222929/290343448', '10251409/290343448', '10278899/290343448', '1288152/36292931', '10330223/290343448', '10353737/290343448', '10375641/290343448', '10395791/290343448']
['38645517/1161488675', '38712059/1161488675', '38785289/1161488675', '38865001/1161488675', '38950843/1161488675', '7808473/232297735', '39139063/1161488675', '39240421/1161488675', '39345899/1161488675', '39454973/1161488675', '39567113/1161488675', '39681779/1161488675', '39798471/1161488675', '39916693/1161488675', '40035841/1161488675', '40155547/1161488675', '40275147/1161488675', '40394231/1161488675', '8102443/232297735', '1625143/46459547', '40742759/1161488675', '40854197/1161488675', '40962307/1161488675', '41066499/1161488675', '41166157/1161488675', '41260669/1161488675', '41349437/1161488675', '41431919/1161488675', '41507689/1161488675']
['19363351/580801779', '19394423/580801779', '2158747/64533531', '6488705/193600593', '19506491/580801779', '19549595/580801779', '19595231/580801779', '6547703/193600593', '19693019/580801779', '19744651/580801779', '6599269/193600593', '19852171/580801779', '19907543/580801779', '19963639/580801779', '20020213/580801779', '20077025/580801779', '20133811/580801779', '20190317/580801779', '20246303/580801779', '20301467/580801779', '6785197/193600593', '20408339/580801779', '20459489/580801779', '20508701/580801779', '20555725/580801779', '6866741/193600593', '20641963/580801779', '20680637/580801779', '6905369/193600593']
['1337967/40058869', '1339975/40058869', '38923651/1161707201', '38994019/1161707201', '39070097/1161707201', '39151497/1161707201', '39237763/1161707201', '39328427/1161707201', '39422995/1161707201', '39520965/1161707201', '39621853/1161707201', '39725147/1161707201', '39830353/1161707201', '39937021/1161707201', '40044567/1161707201', '40152623/1161707201', '40260573/1161707201', '40368019/1161707201', '40474391/1161707201', '40579203/1161707201', '40681923/1161707201', '40782005/1161707201', '40878915/1161707201', '40972093/1161707201', '41060965/1161707201', '41144979/1161707201', '41223599/1161707201', '41296349/1161707201', '41362891/1161707201']
['9718846/290452711', '9732426/290452711', '9747464/290452711', '9763952/290452711', '9781803/290452711', '9800951/290452711', '9821266/290452711', '9842659/290452711', '9864988/290452711', '9888157/290452711', '9912023/290452711', '9936488/290452711', '9961405/290452711', '9986691/290452711', '10012177/290452711', '10037799/290452711', '10063381/290452711', '10088851/290452711', '10114044/290452711', '10138868/290452711', '10163166/290452711', '10186833/290452711', '10209713/290452711', '10231696/290452711', '10252620/290452711', '10272378/290452711', '10290818/290452711', '10307856/290452711', '10323392/290452711']
['1216979/36309505', '3899411/116190416', '1952525/58095208', '1955621/58095208', '9794907/290476040', '18515/548068', '4916067/145238020', '9852351/290476040', '3949395/116190416', '19790859/580952080', '19836121/580952080', '4970631/145238020', '19929831/580952080', '2497229/72619010', '10013123/290476040', '1254681/36309505', '5030873/145238020', '20171841/580952080', '2527459/72619010', '4053351/116190416', '383261/10961360', '10178829/290476040', '20400971/580952080', '20442513/580952080', '2560253/72619010', '2051925/58095208', '2055395/58095208', '20585929/580952080', '4123009/116190416']
['9752818/290499369', '9764629/290499369', '3259262/96833123', '3264086/96833123', '3269337/96833123', '3274983/96833123', '9843002/290499369', '9862043/290499369', '9881987/290499369', '9902702/290499369', '9924098/290499369', '9946036/290499369', '9968426/290499369', '9991141/290499369', '3338023/96833123', '3345699/96833123', '10060111/290499369', '10082990/290499369', '10105628/290499369', '10127887/290499369', '10149667/290499369', '3390275/96833123', '3397086/96833123', '10210817/290499369', '10229404/290499369', '3415624/96833123', '3421044/96833123', '10278073/290499369', '3430551/96833123']
['19536560/581040619', '19558622/581040619', '19583236/581040619', '19610382/581040619', '19639973/581040619', '19671868/581040619', '19705894/581040619', '19741853/581040619', '19779543/581040619', '19818746/581040619', '19859252/581040619', '19900834/581040619', '19943268/581040619', '19986357/581040619', '20029841/581040619', '20073532/581040619', '20117177/581040619', '20160578/581040619', '20203482/581040619', '20245669/581040619', '20286901/581040619', '20326940/581040619', '20365549/581040619', '20402482/581040619', '20437506/581040619', '20470389/581040619', '20500922/581040619', '20528936/581040619', '20554327/581040619']
['4891871/145270625', '9793993/290541250', '196109/5810825', '4909062/145270625', '4915981/145270625', '9846919/290541250', '4931446/145270625', '987981/29054125', '4948778/145270625', '4958022/145270625', '4967577/145270625', '4977399/145270625', '4987421/145270625', '4997608/145270625', '5007886/145270625', '2007287/58108250', '5028533/145270625', '5038794/145270625', '5048927/145270625', '5058891/145270625', '5068617/145270625', '2031223/58108250', '10174291/290541250', '2038333/58108250', '5104051/145270625', '10223517/290541250', '1023779/29054125', '10250863/290541250', '5131337/145270625']
['39191165/1162240031', '39229361/1162240031', '39272183/1162240031', '39319623/1162240031', '39371561/1162240031', '39427763/1162240031', '39487925/1162240031', '39551697/1162240031', '39618711/1162240031', '39688561/1162240031', '39760859/1162240031', '39835189/1162240031', '39911113/1162240031', '39988271/1162240031', '40066183/1162240031', '40144457/1162240031', '40222651/1162240031', '40300369/1162240031', '40377133/1162240031', '40452535/1162240031', '40526123/1162240031', '40597451/1162240031', '40666083/1162240031', '40731561/1162240031', '40793457/1162240031', '40851363/1162240031', '40904913/1162240031', '40953823/1162240031', '40997947/1162240031']
['726803/21524353', '2182375/64573059', '2184587/64573059', '6561125/193719177', '19707637/581157531', '6577975/193719177', '19762141/581157531', '6597359/193719177', '19823599/581157531', '175721/5142987', '19890551/581157531', '19925593/581157531', '19961429/581157531', '19997839/581157531', '2226071/64573059', '6690529/193719177', '20108519/581157531', '20145193/581157531', '20181425/581157531', '20216971/581157531', '20251655/581157531', '20285221/581157531', '20317501/581157531', '20348231/581157531', '20377253/581157531', '6801443/193719177', '20429333/581157531', '20452097/581157531', '20472599/581157531']
['39298209/1162382057', '39331145/1162382057', '39368253/1162382057', '39409563/1162382057', '39454989/1162382057', '39504337/1162382057', '39557361/1162382057', '39613739/1162382057', '39673137/1162382057', '39735193/1162382057', '39799535/1162382057', '39865785/1162382057', '2101765/61178003', '40002431/1162382057', '40072043/1162382057', '40141981/1162382057', '40211845/1162382057', '40281239/1162382057', '40349735/1162382057', '40416935/1162382057', '40482417/1162382057', '40545775/1162382057', '40606593/1162382057', '40664455/1162382057', '40718981/1162382057', '40769793/1162382057', '40816587/1162382057', '40859135/1162382057', '40897331/1162382057']
['9837264/290612263', '9844885/290612263', '9853485/290612263', '580182/17094839', '9873676/290612263', '9885206/290612263', '9897610/290612263', '9910831/290612263', '9924769/290612263', '9939360/290612263', '9954492/290612263', '9970096/290612263', '9986053/290612263', '10002296/290612263', '10018702/290612263', '10035197/290612263', '10051663/290612263', '10068023/290612263', '10084155/290612263', '10099982/290612263', '10115381/290612263', '10130277/290612263', '596738/17094839', '597536/17094839', '10170864/290612263', '10182732/290612263', '10193627/290612263', '600207/17094839', '10212366/290612263']
['39394979/1162508751', '13141091/387502917', '4383923/129167639', '4387905/129167639', '39530735/1162508751', '4397103/129167639', '39620501/1162508751', '4407799/129167639', '39722683/1162508751', '39777653/1162508751', '13278251/387502917', '4432627/129167639', '13317977/387502917', '4446143/129167639', '40077319/1162508751', '40139639/1162508751', '40201895/1162508751', '40263695/1162508751', '13441547/387502917', '40384367/1162508751', '13480825/387502917', '40498589/1162508751', '4505813/129167639', '40603295/1162508751', '40651165/1162508751', '40695605/1162508751', '40736351/1162508751', '40773227/1162508751', '40806163/1162508751']
['19720451/581284225', '19733503/581284225', '19748337/581284225', '19764957/581284225', '19783383/581284225', '3960703/116256845', '19825281/581284225', '19848529/581284225', '3974629/116256845', '19898933/581284225', '19925769/581284225', '19953451/581284225', '13547/394091', '4002139/116256845', '4007983/116256845', '4013849/116256845', '20098569/581284225', '20127649/581284225', '20156331/581284225', '20184403/581284225', '20211713/581284225', '4047607/116256845', '810529/23251369', '20287071/581284225', '20309437/581284225', '20330141/581284225', '20349097/581284225', '20366189/581284225', '20381431/581284225']
