['0', '13309/3443610', '337/43590', '13317/1147870', '53299/3443610', '66671/3443610', '26693/1147870', '93527/3443610', '107023/3443610', '120563/3443610', '26837/688722', '147863/3443610', '161629/3443610', '175483/3443610', '12629/229574', '67833/1147870', '43537/688722', '232007/3443610', '246479/3443610', '261121/3443610', '55189/688722', '290981/3443610', '306253/3443610']
['330301/15406431', '360545/15406431', '390853/15406431', '421223/15406431', '150553/5135477', '160723/5135477', '512765/15406431', '181149/5135477', '574217/15406431', '605095/15406431', '636043/15406431', '667201/15406431', '698339/15406431', '243241/5135477', '761173/15406431', '792805/15406431', '824567/15406431', '856495/15406431', '888599/15406431', '306961/5135477', '317785/5135477', '986039/15406431', '339645/5135477']
['173053/7731431', '187579/7731431', '202149/7731431', '216739/7731431', '231373/7731431', '246029/7731431', '260735/7731431', '275473/7731431', '290261/7731431', '305093/7731431', '319959/7731431', '334923/7731431', '349883/7731431', '364947/7731431', '380051/7731431', '395229/7731431', '410477/7731431', '425791/7731431', '441195/7731431', '456675/7731431', '472245/7731431', '487903/7731431', '503669/7731431']
['360653/15511901', '388609/15511901', '416645/15511901', '444735/15511901', '472887/15511901', '501111/15511901', '529405/15511901', '557773/15511901', '586223/15511901', '614775/15511901', '643361/15511901', '672151/15511901', '700933/15511901', '729905/15511901', '758945/15511901', '788131/15511901', '817431/15511901', '846879/15511901', '876463/15511901', '906203/15511901', '936101/15511901', '966169/15511901', '996413/15511901']
['62357/2592775', '200537/7778325', '214037/7778325', '9103/311133', '48227/1555665', '84913/2592775', '268363/7778325', '282037/7778325', '98579/2592775', '309497/7778325', '323261/7778325', '337127/7778325', '23399/518555', '364937/7778325', '10241/210225', '78593/1555665', '407063/7778325', '140413/2592775', '435463/7778325', '449773/7778325', '464143/7778325', '159533/2592775', '6575/103711']
['193337/7797909', '206303/7797909', '219326/7797909', '33197/1113987', '245464/7797909', '258581/7797909', '271730/7797909', '94971/2599303', '298133/7797909', '311401/7797909', '324682/7797909', '112681/2599303', '351416/7797909', '364858/7797909', '378338/7797909', '55982/1113987', '405466/7797909', '419119/7797909', '432827/7797909', '63800/1113987', '460441/7797909', '474350/7797909', '162776/2599303']
['99605/3908009', '105850/3908009', '112135/3908009', '118432/3908009', '124752/3908009', '18726/558287', '137433/3908009', '143796/3908009', '150180/3908009', '22369/558287', '162999/3908009', '169443/3908009', '175902/3908009', '182386/3908009', '188893/3908009', '195422/3908009', '201982/3908009', '208563/3908009', '215175/3908009', '221812/3908009', '228485/3908009', '235183/3908009', '241916/3908009']
['409449/15664127', '433535/15664127', '457783/15664127', '482121/15664127', '22023/681049', '531003/15664127', '555543/15664127', '580149/15664127', '604813/15664127', '629575/15664127', '654367/15664127', '679275/15664127', '704235/15664127', '729293/15664127', '754427/15664127', '779663/15664127', '804987/15664127', '830407/15664127', '855927/15664127', '881555/15664127', '907289/15664127', '933135/15664127', '959067/15664127']
['209961/7847131', '221573/7847131', '233265/7847131', '245027/7847131', '256815/7847131', '268649/7847131', '280509/7847131', '292413/7847131', '304331/7847131', '316309/7847131', '328295/7847131', '340339/7847131', '352403/7847131', '364523/7847131', '376665/7847131', '388867/7847131', '401097/7847131', '413381/7847131', '425703/7847131', '438083/7847131', '450495/7847131', '462969/7847131', '475459/7847131']
['429889/15721273', '452243/15721273', '474823/15721273', '497533/15721273', '520331/15721273', '543209/15721273', '566161/15721273', '589183/15721273', '612259/15721273', '635421/15721273', '658629/15721273', '681923/15721273', '705281/15721273', '728715/15721273', '752219/15721273', '775807/15721273', '799465/15721273', '823209/15721273', '847037/15721273', '870943/15721273', '894929/15721273', '918989/15721273', '943075/15721273']
['109873/3936765', '5488/187465', '40232/1312255', '42058/1312255', '131687/3936765', '27443/787353', '142768/3936765', '9889/262451', '153922/3936765', '53174/1312255', '165142/3936765', '11385/262451', '176431/3936765', '60699/1312255', '187787/3936765', '64496/1312255', '28459/562395', '68317/1312255', '210712/3936765', '43297/787353', '44456/787353', '228079/3936765', '46777/787353']
['224361/7885252', '234707/7885252', '122601/3942626', '63946/1971313', '266431/7885252', '69282/1971313', '143933/3942626', '74661/1971313', '154727/3942626', '160151/3942626', '331179/7885252', '171043/3942626', '176519/3942626', '91002/1971313', '187509/3942626', '386057/7885252', '198565/3942626', '408235/7885252', '209685/3942626', '107633/1971313', '441717/7885252', '452913/7885252', '232045/3942626']
['114432/3948307', '10855/358937', '11314/358937', '129561/3948307', '134699/3948307', '139871/3948307', '145060/3948307', '150277/3948307', '155505/3948307', '160758/3948307', '166021/3948307', '171300/3948307', '176602/3948307', '181913/3948307', '187238/3948307', '192583/3948307', '197937/3948307', '203309/3948307', '208688/3948307', '214083/3948307', '219478/3948307', '224879/3948307', '230254/3948307']
['155487/5271359', '485545/15814077', '504991/15814077', '174891/5271359', '544523/15814077', '564497/15814077', '194859/5271359', '604747/15814077', '208331/5271359', '645319/15814077', '665713/15814077', '686131/15814077', '706681/15814077', '242409/5271359', '747857/15814077', '256179/5271359', '789263/15814077', '270009/5271359', '276945/5271359', '851665/15814077', '872501/15814077', '13333/236031', '914003/15814077']
['118767/3958634', '123337/3958634', '64006/1979317', '132747/3958634', '68768/1979317', '142353/3958634', '73603/1979317', '76039/1979317', '156975/3958634', '80944/1979317', '83413/1979317', '85880/1979317', '88368/1979317', '90851/1979317', '93348/1979317', '191693/3958634', '98353/1979317', '100860/1979317', '103374/1979317', '105886/1979317', '216797/3958634', '221803/3958634', '113388/1979317']
['483435/15853471', '500955/15853471', '518903/15853471', '537139/15853471', '555585/15853471', '574191/15853471', '592921/15853471', '611761/15853471', '630689/15853471', '649697/15853471', '668793/15853471', '687897/15853471', '707139/15853471', '726363/15853471', '745675/15853471', '765009/15853471', '784377/15853471', '803769/15853471', '823175/15853471', '842573/15853471', '861931/15853471', '881205/15853471', '900289/15853471']
['20489/661342', '42375/1322684', '10952/330671', '45269/1322684', '70121/1984026', '48243/1322684', '74621/1984026', '12816/330671', '39590/992013', '162953/3968052', '83783/1984026', '57395/1322684', '14736/330671', '45370/992013', '15512/330671', '47704/992013', '97745/1984026', '100087/1984026', '102425/1984026', '209527/3968052', '35697/661342', '36469/661342', '55846/992013']
['499817/15889579', '515823/15889579', '532311/15889579', '549137/15889579', '566209/15889579', '583483/15889579', '600901/15889579', '618449/15889579', '636099/15889579', '653831/15889579', '671669/15889579', '689509/15889579', '707481/15889579', '725435/15889579', '743467/15889579', '761505/15889579', '779565/15889579', '797633/15889579', '815677/15889579', '833683/15889579', '851605/15889579', '869385/15889579', '886905/15889579']
['126967/3976715', '130779/3976715', '134724/3976715', '138754/3976715', '142856/3976715', '147006/3976715', '151202/3976715', '155427/3976715', '31937/795343', '163958/3976715', '168266/3976715', '172568/3976715', '176908/3976715', '181238/3976715', '185591/3976715', '189939/3976715', '194297/3976715', '198647/3976715', '202994/3976715', '207321/3976715', '211627/3976715', '43177/795343', '220076/3976715']
['515673/15922915', '530217/15922915', '545287/15922915', '560743/15922915', '576481/15922915', '592447/15922915', '608589/15922915', '124975/3184583', '641279/15922915', '657771/15922915', '674381/15922915', '138199/3184583', '707731/15922915', '144891/3184583', '741237/15922915', '758021/15922915', '774811/15922915', '791581/15922915', '161661/3184583', '824951/15922915', '841473/15922915', '857803/15922915', '873809/15922915']
['261733/7969467', '8141/241499', '275833/7969467', '2647/74481', '8811/241499', '298429/7969467', '306179/7969467', '28547/724497', '321905/7969467', '329851/7969467', '9131/215391', '345857/7969467', '353915/7969467', '361979/7969467', '370057/7969467', '378145/7969467', '35111/724497', '394291/7969467', '134107/2656489', '410315/7969467', '418225/7969467', '142013/2656489', '433663/7969467']
['265499/7976885', '272072/7976885', '55785/1595377', '285987/7976885', '41887/1139555', '300557/7976885', '61601/1595377', '315534/7976885', '64626/1595377', '330772/7976885', '67695/1595377', '346188/7976885', '353952/7976885', '361714/7976885', '73900/1595377', '53897/1139555', '385054/7976885', '392808/7976885', '57218/1139555', '408189/7976885', '59396/1139555', '423233/7976885', '2969/55013']
['269263/7984297', '275489/7984297', '282015/7984297', '288743/7984297', '295653/7984297', '302683/7984297', '309829/7984297', '317049/7984297', '324353/7984297', '331691/7984297', '339103/7984297', '346519/7984297', '353987/7984297', '361451/7984297', '368943/7984297', '376413/7984297', '383889/7984297', '391327/7984297', '398733/7984297', '406065/7984297', '413321/7984297', '420429/7984297', '427349/7984297']
['545755/15982303', '557571/15982303', '569973/15982303', '582817/15982303', '596011/15982303', '609477/15982303', '623165/15982303', '637029/15982303', '651043/15982303', '665155/15982303', '679389/15982303', '693665/15982303', '708007/15982303', '722371/15982303', '736761/15982303', '751129/15982303', '765475/15982303', '779757/15982303', '793945/15982303', '807993/15982303', '821847/15982303', '835411/15982303', '848557/15982303']
['276491/7998003', '94027/2666001', '287957/7998003', '22621/615231', '33373/888667', '306793/7998003', '34815/888667', '319979/7998003', '326689/7998003', '25651/615231', '340285/7998003', '115715/2666001', '354019/7998003', '120307/2666001', '367819/7998003', '374717/7998003', '381587/7998003', '43159/888667', '30401/615231', '401929/7998003', '408527/7998003', '414983/7998003', '46801/888667']
['279946/8004307', '285227/8004307', '290806/8004307', '296620/8004307', '302616/8004307', '308757/8004307', '315019/8004307', '321375/8004307', '327810/8004307', '334301/8004307', '340848/8004307', '347429/8004307', '354028/8004307', '360648/8004307', '367269/8004307', '373880/8004307', '380469/8004307', '387016/8004307', '393509/8004307', '399918/8004307', '406212/8004307', '412348/8004307', '418256/8004307']
['283401/8010611', '288373/8010611', '293655/8010611', '299167/8010611', '304875/8010611', '310721/8010611', '316703/8010611', '322771/8010611', '328931/8010611', '47877/1144373', '48773/1144373', '347713/8010611', '354037/8010611', '360375/8010611', '366719/8010611', '373043/8010611', '54193/1144373', '385601/8010611', '391805/8010611', '397907/8010611', '403897/8010611', '409713/8010611', '59329/1144373']
['573361/16032795', '582749/16032795', '197579/5344265', '120641/3206559', '614053/16032795', '625207/16032795', '636611/16032795', '129643/3206559', '659989/16032795', '671879/16032795', '136775/3206559', '695963/16032795', '708059/16032795', '240071/5344265', '244117/5344265', '744463/16032795', '252173/5344265', '153695/3206559', '8969/184285', '791941/16032795', '803327/16032795', '814369/16032795', '274977/5344265']
['36245/1002773', '36797/1002773', '149541/4011092', '152019/4011092', '154589/4011092', '157243/4011092', '79977/2005546', '81361/2005546', '165529/4011092', '84185/2005546', '42808/1002773', '174125/4011092', '177011/4011092', '179919/4011092', '45704/1002773', '92855/2005546', '47146/1002773', '191437/4011092', '194249/4011092', '197017/4011092', '199715/4011092', '50582/1002773', '102407/2005546']
['73265/2006866', '37151/1003433', '150827/4013732', '306341/8027464', '311223/8027464', '316265/8027464', '321433/8027464', '163353/4013732', '83017/2006866', '337491/8027464', '342963/8027464', '174245/4013732', '88503/2006866', '359567/8027464', '365107/8027464', '370631/8027464', '376121/8027464', '381557/8027464', '386917/8027464', '49022/1003433', '99325/2006866', '50280/1003433', '203467/4013732']
['37020/1004093', '37505/1004093', '152113/4016372', '77161/2008186', '78317/2008186', '79511/2008186', '161479/4016372', '40996/1004093', '3873/93404', '169121/4016372', '171731/4016372', '4055/93404', '177001/4016372', '44912/1004093', '182291/4016372', '184921/4016372', '187537/4016372', '47530/1004093', '48167/1004093', '195159/4016372', '4595/93404', '49978/1004093', '50530/1004093']
['598139/16075101', '605425/16075101', '204431/5358367', '621647/16075101', '630391/16075101', '213153/5358367', '216263/5358367', '658331/16075101', '668051/16075101', '225969/5358367', '687851/16075101', '697909/16075101', '101137/2296443', '718069/16075101', '242713/5358367', '246059/5358367', '249377/5358367', '757969/16075101', '767645/16075101', '37005/765481', '786277/16075101', '795071/16075101', '267789/5358367']
['301979/8042357', '305385/8042357', '309067/8042357', '313003/8042357', '317123/8042357', '321415/8042357', '325831/8042357', '330363/8042357', '334973/8042357', '339665/8042357', '344389/8042357', '349179/8042357', '353957/8042357', '358773/8042357', '363557/8042357', '9955/217361', '373057/8042357', '377729/8042357', '382309/8042357', '386787/8042357', '391107/8042357', '395247/8042357', '399127/8042357']
['304697/8046706', '153939/4023353', '311339/8046706', '157520/4023353', '318935/8046706', '322993/8046706', '327183/8046706', '331481/8046706', '335867/8046706', '340325/8046706', '172412/4023353', '174690/4023353', '353933/8046706', '358513/8046706', '363071/8046706', '183805/4023353', '186051/4023353', '188267/4023353', '380879/8046706', '192556/4023353', '389195/8046706', '196543/4023353', '396729/8046706']
['61483/1610211', '103457/2683685', '104537/2683685', '317077/8051055', '320747/8051055', '324571/8051055', '65707/1610211', '332599/8051055', '336761/8051055', '68197/1610211', '345259/8051055', '116527/2683685', '353909/8051055', '358253/8051055', '72517/1610211', '24459/536737', '371147/8051055', '125113/2683685', '126483/2683685', '383437/8051055', '387283/8051055', '78185/1610211', '394331/8051055']
['154969/4027490', '312697/8054980', '63145/1610996', '79746/2013745', '322437/8054980', '32605/805498', '82449/2013745', '333649/8054980', '337591/8054980', '68321/1610996', '345659/8054980', '349767/8054980', '353877/8054980', '358007/8054980', '90529/2013745', '366201/8054980', '370239/8054980', '374213/8054980', '378097/8054980', '95466/2013745', '385481/8054980', '388903/8054980', '98021/2013745']
['312461/8058905', '315023/8058905', '317839/8058905', '320891/8058905', '324127/8058905', '327529/8058905', '331057/8058905', '334699/8058905', '338421/8058905', '68445/1611781', '346059/8058905', '349953/8058905', '70769/1611781', '357761/8058905', '361647/8058905', '365517/8058905', '369331/8058905', '373087/8058905', '75349/1611781', '380291/8058905', '383679/8058905', '386881/8058905', '389837/8058905']
['314791/8062425', '35241/895825', '4264/107499', '64531/1612485', '325699/8062425', '328898/8062425', '110744/2687475', '22378/537495', '22613/537495', '342794/8062425', '346432/8062425', '350117/8062425', '117938/2687475', '357521/8062425', '51601/1151775', '40541/895825', '368482/8062425', '124009/2687475', '125161/2687475', '378817/8062425', '127334/2687475', '128332/2687475', '77551/1612485']
['317121/8065945', '63863/1613189', '321761/8065945', '324419/8065945', '327271/8065945', '330267/8065945', '333407/8065945', '336641/8065945', '339969/8065945', '343363/8065945', '69361/1613189', '350281/8065945', '353783/8065945', '357281/8065945', '360767/8065945', '364221/8065945', '367633/8065945', '370967/8065945', '374221/8065945', '377343/8065945', '76065/1613189', '383111/8065945', '385673/8065945']
['319259/8069095', '64259/1613819', '323568/8069095', '326053/8069095', '328721/8069095', '66308/1613819', '66898/1613819', '337544/8069095', '340682/8069095', '2308/54155', '347144/8069095', '70087/1613819', '70749/1613819', '357056/8069095', '72070/1613819', '363617/8069095', '366834/8069095', '369982/8069095', '373039/8069095', '75195/1613819', '378764/8069095', '381366/8069095', '383744/8069095']
['321397/8072245', '64655/1614449', '3425/84971', '327687/8072245', '330171/8072245', '332813/8072245', '335573/8072245', '17813/424855', '68279/1614449', '344421/8072245', '347483/8072245', '350589/8072245', '353707/8072245', '356831/8072245', '359933/8072245', '363013/8072245', '3853/84971', '368997/8072245', '371857/8072245', '374607/8072245', '377203/8072245', '379621/8072245', '76363/1614449']
['646699/16150087', '650161/16150087', '654063/16150087', '658363/16150087', '663011/16150087', '667955/16150087', '673145/16150087', '678545/16150087', '684105/16150087', '689805/16150087', '695593/16150087', '701445/16150087', '707343/16150087', '713231/16150087', '719093/16150087', '724895/16150087', '730595/16150087', '736159/16150087', '741535/16150087', '746681/16150087', '751535/16150087', '756029/16150087', '760101/16150087']
['54217/1346307', '54481/1346307', '164344/4038921', '165338/4038921', '166420/4038921', '18619/448769', '18754/448769', '56683/1346307', '171355/4038921', '19188/448769', '174055/4038921', '19492/448769', '176818/4038921', '19800/448769', '59860/1346307', '180941/4038921', '60760/1346307', '183581/4038921', '61613/1346307', '186037/4038921', '187166/4038921', '188204/4038921', '189143/4038921']
['327073/8080323', '328534/8080323', '330196/8080323', '332045/8080323', '334058/8080323', '336212/8080323', '338485/8080323', '340858/8080323', '343309/8080323', '115276/2693441', '348392/8080323', '116993/2693441', '353597/8080323', '118734/2693441', '119599/2693441', '361361/8080323', '363874/8080323', '122106/2693441', '368671/8080323', '370912/8080323', '124337/2693441', '124980/2693441', '125557/2693441']
['82211/2020701', '165091/4041402', '27642/673567', '55569/1347134', '83819/2020701', '168641/4041402', '169699/4041402', '170809/4041402', '28659/673567', '28856/673567', '174337/4041402', '58517/1347134', '176779/4041402', '29667/673567', '59739/1347134', '30070/673567', '90797/2020701', '182737/4041402', '91916/2020701', '61625/1347134', '185845/4041402', '93368/2020701', '93764/2020701']
['165221/4042494', '331667/8084988', '333073/8084988', '83663/2021247', '336385/8084988', '84563/2021247', '340231/8084988', '6339/149722', '38273/898332', '38519/898332', '87233/2021247', '58535/1347498', '353521/8084988', '88954/2021247', '358103/8084988', '120119/2694996', '362561/8084988', '20261/449166', '183373/4042494', '184343/4042494', '123497/2694996', '124045/2694996', '31133/673749']
['27670/673931', '2872/69717', '167221/4043586', '167945/4043586', '56249/1347862', '56537/1347862', '28422/673931', '171497/4043586', '57501/1347862', '57845/1347862', '174595/4043586', '58553/1347862', '29457/673931', '88907/2021793', '89443/2021793', '59979/1347862', '180967/4043586', '181961/4043586', '91457/2021793', '183811/4043586', '92323/2021793', '185399/4043586', '93034/2021793']
['333473/8089090', '167246/4044545', '167837/4044545', '337013/8089090', '67699/1617818', '340103/8089090', '341817/8089090', '171811/4044545', '34550/808909', '69487/1617818', '349419/8089090', '351417/8089090', '70689/1617818', '177729/4044545', '178732/4044545', '71887/1617818', '180679/4044545', '181608/4044545', '364989/8089090', '183329/4044545', '36820/808909', '369591/8089090', '185408/4044545']
['167453/4045504', '41979/1011376', '168453/4045504', '42267/1011376', '42437/1011376', '42623/1011376', '171285/4045504', '172125/4045504', '172997/4045504', '43475/1011376', '21853/505688', '87879/2022752', '176703/4045504', '44411/1011376', '89289/2022752', '89749/2022752', '180391/4045504', '181255/4045504', '182075/4045504', '182847/4045504', '91777/2022752', '2878/63211', '46187/1011376']
['336184/8092679', '337025/8092679', '338010/8092679', '339139/8092679', '340398/8092679', '341773/8092679', '343250/8092679', '344812/8092679', '346441/8092679', '348125/8092679', '349856/8092679', '351601/8092679', '353371/8092679', '355129/8092679', '356878/8092679', '358594/8092679', '51466/1156097', '361868/8092679', '363395/8092679', '364822/8092679', '366129/8092679', '367299/8092679', '368318/8092679']
['168731/4047175', '169109/4047175', '169557/4047175', '15461/367925', '6826/161887', '15571/367925', '34393/809435', '172687/4047175', '173444/4047175', '6969/161887', '15912/367925', '175843/4047175', '176668/4047175', '3227/73585', '7132/161887', '179096/4047175', '179871/4047175', '180613/4047175', '36264/809435', '7279/161887', '7303/161887', '183107/4047175', '36714/809435']
['677189/16191607', '678565/16191607', '680195/16191607', '682081/16191607', '684209/16191607', '686547/16191607', '16025/376549', '691761/16191607', '694575/16191607', '697489/16191607', '700493/16191607', '703529/16191607', '706599/16191607', '709655/16191607', '712691/16191607', '715659/16191607', '718539/16191607', '721301/16191607', '723913/16191607', '726337/16191607', '728541/16191607', '19743/437611', '732173/16191607']
['339727/8097257', '48621/1156751', '341081/8097257', '341939/8097257', '48987/1156751', '343985/8097257', '345145/8097257', '346387/8097257', '347687/8097257', '349039/8097257', '350429/8097257', '351843/8097257', '353263/8097257', '354685/8097257', '356091/8097257', '357467/8097257', '358797/8097257', '360075/8097257', '361273/8097257', '362387/8097257', '51913/1156751', '364277/8097257', '365033/8097257']
['681449/16197019', '682565/16197019', '683903/16197019', '685465/16197019', '687249/16197019', '689227/16197019', '691375/16197019', '693671/16197019', '696089/16197019', '698597/16197019', '701187/16197019', '703817/16197019', '706463/16197019', '709107/16197019', '711727/16197019', '714279/16197019', '716753/16197019', '719115/16197019', '721333/16197019', '723379/16197019', '725223/16197019', '726835/16197019', '728211/16197019']
['170861/4049881', '171109/4049881', '171411/4049881', '171763/4049881', '172170/4049881', '172621/4049881', '173115/4049881', '173642/4049881', '174201/4049881', '15889/368171', '175379/4049881', '175987/4049881', '176600/4049881', '177211/4049881', '177818/4049881', '178406/4049881', '178978/4049881', '16320/368171', '180030/4049881', '180496/4049881', '180916/4049881', '181279/4049881', '181589/4049881']
['6229/147288', '20179/476520', '6737/158840', '34423/810084', '31361/736440', '115267/2700280', '31519/736440', '23179/540056', '116239/2700280', '116597/2700280', '116967/2700280', '32003/736440', '117723/2700280', '59051/1350140', '355429/8100840', '178261/4050420', '10517/238260', '7031/158840', '9461/213180', '24025/540056', '361139/8100840', '32891/736440', '362359/8100840']
['171734/4050959', '171934/4050959', '172176/4050959', '172467/4050959', '172801/4050959', '173180/4050959', '173594/4050959', '174043/4050959', '174516/4050959', '175012/4050959', '175522/4050959', '176046/4050959', '176569/4050959', '177095/4050959', '177611/4050959', '178116/4050959', '178600/4050959', '179061/4050959', '179488/4050959', '179879/4050959', '180223/4050959', '180522/4050959', '180770/4050959']
['344227/8102837', '344584/8102837', '345022/8102837', '345547/8102837', '346157/8102837', '346849/8102837', '347611/8102837', '348436/8102837', '349312/8102837', '350226/8102837', '351172/8102837', '352141/8102837', '353111/8102837', '354084/8102837', '355041/8102837', '355972/8102837', '356868/8102837', '357715/8102837', '358500/8102837', '359213/8102837', '359841/8102837', '360380/8102837', '360828/8102837']
['172493/4051878', '28775/675313', '86423/2025939', '86540/2025939', '86678/2025939', '173669/4051878', '174017/4051878', '58131/1350626', '87398/2025939', '87607/2025939', '29275/675313', '176095/4051878', '88271/2025939', '176989/4051878', '88715/2025939', '88928/2025939', '89134/2025939', '89327/2025939', '89506/2025939', '29889/675313', '89809/2025939', '89929/2025939', '90029/2025939']
['172821/4052269', '345923/8104538', '346273/8104538', '26669/623426', '173598/4052269', '173884/4052269', '348403/8104538', '349095/8104538', '349835/8104538', '175304/4052269', '175705/4052269', '176117/4052269', '176529/4052269', '13611/311713', '354697/8104538', '27345/623426', '356241/8104538', '356951/8104538', '13754/311713', '179096/4052269', '358705/8104538', '359139/8104538', '179748/4052269']
['173149/4052660', '173273/4052660', '173427/4052660', '173617/4052660', '8692/202633', '174099/4052660', '87193/2026330', '87351/2026330', '175039/4052660', '87697/2026330', '8788/202633', '176139/4052660', '44129/1013165', '176897/4052660', '177267/4052660', '177629/4052660', '177973/4052660', '178297/4052660', '44648/1013165', '89429/2026330', '179087/4052660', '179281/4052660', '89719/2026330']
['693721/16211957', '694159/16211957', '694711/16211957', '23979/559033', '696201/16211957', '697137/16211957', '698189/16211957', '699341/16211957', '700581/16211957', '701885/16211957', '703235/16211957', '704627/16211957', '706021/16211957', '707421/16211957', '708787/16211957', '710115/16211957', '711381/16211957', '712561/16211957', '713641/16211957', '714603/16211957', '715433/16211957', '716127/16211957', '716689/16211957']
['347423/8106637', '49659/1158091', '347857/8106637', '348157/8106637', '348521/8106637', '348939/8106637', '349417/8106637', '49991/1158091', '350503/8106637', '351097/8106637', '50245/1158091', '352349/8106637', '50427/1158091', '353627/8106637', '354253/8106637', '354857/8106637', '355435/8106637', '355967/8106637', '356457/8106637', '356887/8106637', '51037/1158091', '357565/8106637', '357813/8106637']
['695805/16214383', '696143/16214383', '696575/16214383', '697113/16214383', '697765/16214383', '698525/16214383', '699389/16214383', '700341/16214383', '701373/16214383', '702465/16214383', '703595/16214383', '704765/16214383', '705935/16214383', '707111/16214383', '708257/16214383', '709367/16214383', '710419/16214383', '711393/16214383', '712279/16214383', '713059/16214383', '713725/16214383', '714273/16214383', '714711/16214383']
['174191/4053873', '174265/4053873', '174359/4053873', '174478/4053873', '174622/4053873', '174793/4053873', '174986/4053873', '175202/4053873', '175435/4053873', '175684/4053873', '175940/4053873', '58736/1351291', '176473/4053873', '58914/1351291', '177002/4053873', '59085/1351291', '59164/1351291', '177713/4053873', '177911/4053873', '59362/1351291', '59411/1351291', '178354/4053873', '59483/1351291']
