['0', '190165705243/225967281152088', '1141023140221/677901843456264', '570535666931/225967281152088', '760759219231/225967281152088', '2853064122815/677901843456264', '489142211197/96843120493752', '443900099081/75322427050696', '4566409634377/677901843456264', '733993014469/96843120493752', '5709754826297/677901843456264', '6281850501949/677901843456264', '6854267999657/677901843456264', '7427037386155/677901843456264', '1142884134917/96843120493752', '136091320559/10760346721528', '9147760914877/677901843456264', '9722243157787/677901843456264', '10297231280327/677901843456264', '10872756957955/677901843456264', '3816284071799/225967281152088', '4008516481573/225967281152088', '12602881434233/677901843456264', '4393627130533/225967281152088', '1528842552693/75322427050696', '14339020314005/677901843456264', '14919228048245/677901843456264', '5166747117313/225967281152088', '2297442281033/96843120493752', '16664828238685/677901843456264', '17248475150419/677901843456264', '1981452706757/75322427050696', '18418664243663/677901843456264', '6335094643807/225967281152088', '19592973356977/677901843456264', '20181773302177/677901843456264', '2307969494381/75322427050696', '21362872432415/677901843456264', '21955257894629/677901843456264', '22548926551997/677901843456264', '23143924255705/677901843456264', '3391471152019/96843120493752', '8112698773535/225967281152088', '24937368732799/677901843456264', '25538166463513/677901843456264', '26140542229507/677901843456264', '3820650057821/96843120493752', '27350247138427/677901843456264', '27957690484939/677901843456264']
['8058742302174/395029378586813', '8058806381520/395029378586813', '8058875851861/395029378586813', '8058950939553/395029378586813', '8059031840914/395029378586813', '8059118720494/395029378586813', '8059211702228/395029378586813', '8059310869256/395029378586813', '8059416256558/395029378586813', '8059527852902/395029378586813', '8059645595216/395029378586813', '8059769372699/395029378586813', '8059899022685/395029378586813', '8060034336461/395029378586813', '8060175056323/395029378586813', '8060320882634/395029378586813', '8060471471618/395029378586813', '8060626443419/395029378586813', '8060785380320/395029378586813', '113534476555/5563794064603', '8061113331160/395029378586813', '8061281368460/395029378586813', '8061451425369/395029378586813', '8061622966551/395029378586813', '8061795441858/395029378586813', '8061968296226/395029378586813', '8062140968167/395029378586813', '8062312899793/395029378586813', '8062483535335/395029378586813', '8062652331141/395029378586813', '8062818754422/395029378586813', '8062982292849/395029378586813', '8063142453553/395029378586813', '8063298772485/395029378586813', '8063450813212/395029378586813', '8063598176086/395029378586813', '8063740496771/395029378586813', '8063877454812/395029378586813', '8064008771824/395029378586813', '8064134219135/395029378586813', '8064253615145/395029378586813', '8064366831789/395029378586813', '8064473790628/395029378586813', '8064574467391/395029378586813', '8064668886462/395029378586813', '8064757123035/395029378586813', '8064839295524/395029378586813', '8064915565412/395029378586813', '8064986127978/395029378586813']
['8058872913957/395029540126661', '1465260731677/71823552750302', '8059000309721/395029540126661', '424161683716/20791028427719', '8059149260157/395029540126661', '16118464559029/790059080253322', '16118642345363/790059080253322', '16118832044989/790059080253322', '16119033734571/790059080253322', '77125585633/3780186986858', '8059736460036/395029540126661', '16119710092825/790059080253322', '732725391319/35911776375151', '8060109033994/395029540126661', '16120487978143/790059080253322', '1465524341945/71823552750302', '1465550614385/71823552750302', '16121354233813/790059080253322', '8060829692055/395029540126661', '1465633758461/71823552750302', '424270768151/20791028427719', '16122611955783/790059080253322', '8061469316656/395029540126661', '16123268183081/790059080253322', '8061799770975/395029540126661', '16123931632051/790059080253322', '8062131684056/395029540126661', '8062296833374/395029540126661', '16124921453989/790059080253322', '16125245674475/790059080253322', '732980240877/35911776375151', '1465989030417/71823552750302', '8063093414869/395029540126661', '8063243442755/395029540126661', '8063389330913/395029540126661', '16127061385601/790059080253322', '16127334357713/790059080253322', '8063798479993/395029540126661', '8063924330563/395029540126661', '8064044511032/395029540126661', '8064158850051/395029540126661', '8064267226056/395029540126661', '16128739135753/790059080253322', '8064465854714/395029540126661', '16129112229851/790059080253322', '8064640423845/395029540126661', '8064718900407/395029540126661', '424462721207/20791028427719', '8064859023889/395029540126661']
['8059003525740/395029701666509', '8059061666927/395029701666509', '8059124767581/395029701666509', '1151313291665/56432814523787', '8059266679400/395029701666509', '8059345838535/395029701666509', '8059430643135/395029701666509', '8059521175733/395029701666509', '8059617478013/395029701666509', '8059719544395/395029701666509', '8059827324856/395029701666509', '8059940720126/395029701666509', '8060059586333/395029701666509', '8060183731527/395029701666509', '8060312921820/395029701666509', '8060446878761/395029701666509', '8060585286617/395029701666509', '8060727790394/395029701666509', '8060874003790/395029701666509', '350479282942/17175204420283', '8061175858578/395029701666509', '620102352871/30386900128193', '620114400611/30386900128193', '8061645216530/395029701666509', '8061804100092/395029701666509', '1151709047975/56432814523787', '8062122399945/395029701666509', '8062280766955/395029701666509', '1151776845522/56432814523787', '8062593343334/395029701666509', '8062746544872/395029701666509', '1151842434534/56432814523787', '8063044376185/395029701666509', '8063188113025/395029701666509', '8063327848614/395029701666509', '1151923315645/56432814523787', '8063593860942/395029701666509', '8063719505174/395029701666509', '8063839889302/395029701666509', '8063954802929/395029701666509', '8064064084957/395029701666509', '8064167620323/395029701666509', '8064265345125/395029701666509', '8064357242037/395029701666509', '8064443343389/395029701666509', '8064523724655/395029701666509', '8064598505290/395029701666509', '8064667840454/395029701666509', '8064731919800/395029701666509']
['16118248554613/790059700829378', '16118359404271/790059700829378', '16118479770157/790059700829378', '8059305035693/395029850414689', '8059375339364/395029850414689', '2302700272027/112865671547054', '16119063991775/790059700829378', '8059618554619/395029850414689', '8059710670860/395029850414689', '16119616686941/790059700829378', '16119823052503/790059700829378', '16120040254515/790059700829378', '16120268018247/790059700829378', '8060252989850/395029850414689', '1151482406337/56432835773527', '16121010612801/790059700829378', '8060638071042/395029850414689', '2303078513515/112865671547054', '16121830222581/790059700829378', '16122117218745/790059700829378', '8061204861716/395029850414689', '8061353415747/395029850414689', '8061503800027/395029850414689', '16123311055995/790059700829378', '1151686871682/56432835773527', '8061961016337/395029850414689', '16124227526423/790059700829378', '8062265834794/395029850414689', '16124833456273/790059700829378', '8062565949138/395029850414689', '8062713016538/395029850414689', '8062857465842/395029850414689', '16125997706755/790059700829378', '16126273520093/790059700829378', '8063270795185/395029850414689', '8063400600051/395029850414689', '1151932264479/56432835773527', '8063646264313/395029850414689', '8063761595548/395029850414689', '8063871645415/395029850414689', '16127952520039/790059700829378', '16128150664727/790059700829378', '8064168803020/395029850414689', '16128513319469/790059700829378', '8064338936216/395029850414689', '8064415709778/395029850414689', '1152069585444/56432835773527', '16129106509877/790059700829378', '8064614365205/395029850414689']
['8059245028873/395029999162869', '1151328248192/56432857023267', '8059355002576/395029999162869', '8059417029731/395029999162869', '8059483999328/395029999162869', '8059556065654/395029999162869', '8059633348640/395029999162869', '2686571977835/131676666387623', '8059803863707/395029999162869', '8059897142546/395029999162869', '2686665242549/131676666387623', '1151442790627/56432857023267', '8060208431914/395029999162869', '8060322248173/395029999162869', '2686813588966/131676666387623', '8060563734040/395029999162869', '8060690855467/395029999162869', '8060821804211/395029999162869', '1151565174113/56432857023267', '8061093711079/395029999162869', '8061233864854/395029999162869', '8061376244171/395029999162869', '2687173464037/131676666387623', '1151666548495/56432857023267', '2687270701152/131676666387623', '8061958696849/395029999162869', '8062105126478/395029999162869', '8062250902633/395029999162869', '8062395537619/395029999162869', '8062538554942/395029999162869', '8062679488204/395029999162869', '8062817889946/395029999162869', '2687651110190/131676666387623', '8063085407068/395029999162869', '8063213741756/395029999162869', '8063337990587/395029999162869', '2687819280588/131676666387623', '2687857674484/131676666387623', '8063683301794/395029999162869', '2687929495967/131676666387623', '2687962811694/131676666387623', '1151997577772/56432857023267', '8064072260915/395029999162869', '1152022296776/56432857023267', '1152033504149/56432857023267', '2688102564967/131676666387623', '8064375690926/395029999162869', '2688146223141/131676666387623', '8064496810610/395029999162869']
['32237426343619/1580120544163667', '32237627242349/1580120544163667', '32237845623491/1580120544163667', '32238082283741/1580120544163667', '32238337932487/1580120544163667', '32238613172567/1580120544163667', '32238908481877/1580120544163667', '32239224197865/1580120544163667', '32239560504335/1580120544163667', '32239917422347/1580120544163667', '32240294803799/1580120544163667', '32240692328941/1580120544163667', '32241109506359/1580120544163667', '32241545676147/1580120544163667', '2931090910431/143647322196697', '32242471542563/1580120544163667', '32242959132397/1580120544163667', '32243461520029/1580120544163667', '32243977315303/1580120544163667', '32244505014749/1580120544163667', '32245043014379/1580120544163667', '32245589623625/1580120544163667', '32246143079201/1580120544163667', '32246701560437/1580120544163667', '32247263202943/1580120544163667', '32247826115325/1580120544163667', '32248388392789/1580120544163667', '2931722557671/143647322196697', '32249503456681/1580120544163667', '32250052510805/1580120544163667', '32250593496865/1580120544163667', '32251124679713/1580120544163667', '32251644403749/1580120544163667', '2932013737089/143647322196697', '32252643339787/1580120544163667', '32253119769045/1580120544163667', '32253579200611/1580120544163667', '32254020586373/1580120544163667', '32254443035341/1580120544163667', '32254845822937/1580120544163667', '32255228397265/1580120544163667', '32255590383851/1580120544163667', '32255931586875/1580120544163667', '2932386544321/143647322196697', '32256551738229/1580120544163667', '32256831153603/1580120544163667', '32257090696867/1580120544163667', '32257330963729/1580120544163667', '32257552663045/1580120544163667']
['16118936285873/790060545837929', '16119031767661/790060545837929', '16119135618339/790060545837929', '16119248224279/790060545837929', '16119369933831/790060545837929', '16119501041259/790060545837929', '16119641784597/790060545837929', '16119792330855/790060545837929', '16119952776921/790060545837929', '16120123137255/790060545837929', '16120303348505/790060545837929', '16120493260163/790060545837929', '16120692642531/790060545837929', '16120901179801/790060545837929', '16121118480945/790060545837929', '16121344074483/790060545837929', '16121577421463/790060545837929', '16121817911607/790060545837929', '16122064877721/790060545837929', '16122317592591/790060545837929', '16122575284671/790060545837929', '16122837135283/790060545837929', '16123102294979/790060545837929', '16123369881507/790060545837929', '16123638996031/790060545837929', '16123908721627/790060545837929', '16124178139833/790060545837929', '16124446329115/790060545837929', '16124712381443/790060545837929', '16124975400921/790060545837929', '16125234520457/790060545837929', '16125488899821/790060545837929', '16125737742609/790060545837929', '16125980293843/790060545837929', '16126215856275/790060545837929', '16126443787871/790060545837929', '16126663517083/790060545837929', '16126874539469/790060545837929', '16127076431753/790060545837929', '16127268847135/790060545837929', '16127451527101/790060545837929', '16127624295043/790060545837929', '16127787065045/790060545837929', '16127939832667/790060545837929', '16128082680143/790060545837929', '16128215763801/790060545837929', '16128339315015/790060545837929', '16128453624883/790060545837929', '16128559041825/790060545837929']
['16119142261513/790060797576628', '16119233206439/790060797576628', '16119332173381/790060797576628', '4029859885029/197515199394157', '16119555645399/790060797576628', '4029920194886/197515199394157', '8059907587911/395030398788314', '8059979501327/395030398788314', '16120112357469/790060797576628', '8060137630843/395030398788314', '4030111914446/197515199394157', '16120629407545/790060797576628', '4030205072999/197515199394157', '4030255003113/197515199394157', '4030307048242/197515199394157', '4030361095836/197515199394157', '106766013665/5232190712428', '4030474661920/197515199394157', '16122135490723/790060797576628', '16122377892907/790060797576628', '4030656276705/197515199394157', '8061438171721/395030398788314', '16123130779173/790060797576628', '4030846890717/197515199394157', '8061822911293/395030398788314', '16123904673319/790060797576628', '8062081611989/395030398788314', '16124420585061/790060797576628', '4031168968941/197515199394157', '16124928231769/790060797576628', '16125176812369/790060797576628', '4031355201946/197515199394157', '4031414861642/197515199394157', '8062946001147/395030398788314', '4031529450142/197515199394157', '16126336225335/790060797576628', '4031636681246/197515199394157', '16126748817723/790060797576628', '16126942096607/790060797576628', '8063563116641/395030398788314', '16127300981209/790060797576628', '4031866544336/197515199394157', '16127621742635/790060797576628', '4031941920177/197515199394157', '16127904075137/790060797576628', '16128031084417/790060797576628', '4032037233919/197515199394157', '16128257916503/790060797576628', '4032089591467/197515199394157']
['5373116079051/263353683105109', '5373144881739/263353683105109', '16119528728423/790061049315327', '16119630855953/790061049315327', '5373247118989/263353683105109', '16119860517829/790061049315327', '5373329522349/263353683105109', '16120125674453/790061049315327', '5373423979339/263353683105109', '16120427386117/790061049315327', '16120591967063/790061049315327', '5373588518309/263353683105109', '16120947941461/790061049315327', '16121138845103/790061049315327', '16121337904991/790061049315327', '5373848230735/263353683105109', '16121758705367/790061049315327', '16121979383753/790061049315327', '16122206103725/790061049315327', '16122438193223/790061049315327', '5374224976323/263353683105109', '5374305183867/263353683105109', '16123159263367/790061049315327', '5374468414743/263353683105109', '5374550883047/263353683105109', '16123900625011/790061049315327', '16124148308123/790061049315327', '16124394841007/790061049315327', '16124639370085/790061049315327', '16124881062617/790061049315327', '5375039701427/263353683105109', '16125352715747/790061049315327', '16125581150527/790061049315327', '16125803710745/790061049315327', '16126019744861/790061049315327', '16126228662799/790061049315327', '5375476644295/263353683105109', '16126623095977/790061049315327', '16126807761461/790061049315327', '16126983619429/790061049315327', '16127150435317/790061049315327', '5375769353215/263353683105109', '16127456420225/790061049315327', '16127595528749/790061049315327', '16127725470131/790061049315327', '16127846405033/790061049315327', '16127958556337/790061049315327', '5376020736041/263353683105109', '16128157689911/790061049315327']
['10746358836665/526707520433743', '32239241043617/1580122561301229', '10746473429141/526707520433743', '32239614957049/1580122561301229', '32239825698031/1580122561301229', '10746684356137/526707520433743', '32240297521865/1580122561301229', '10746853131013/526707520433743', '10746946294943/526707520433743', '10747045353039/526707520433743', '32241450829967/1580122561301229', '32241782960315/1580122561301229', '2931102914629/143647505572839', '32242497592439/1580122561301229', '977056935423/47882501857613', '32243275064239/1580122561301229', '10747895072945/526707520433743', '10748036083087/526707520433743', '10748180985895/526707520433743', '10748329347743/526707520433743', '32245442113393/1580122561301229', '32245903696703/1580122561301229', '10748790418409/526707520433743', '32246843198665/1580122561301229', '32247317896775/1580122561301229', '10749264564899/526707520433743', '32248268925619/1580122561301229', '2931703811479/143647505572839', '32249211049865/1580122561301229', '32249674681529/1580122561301229', '10750043750475/526707520433743', '32250579249397/1580122561301229', '10750339079399/526707520433743', '32251443867151/1580122561301229', '32251857884657/1580122561301229', '10750752716871/526707520433743', '2932058513405/143647505572839', '10751004496911/526707520433743', '32253366937547/1580122561301229', '10751234464747/526707520433743', '977394618829/47882501857613', '32254323736831/1580122561301229', '32254607215981/1580122561301229', '32254872888979/1580122561301229', '2932283721299/143647505572839', '10751783889811/526707520433743', '10751855179293/526707520433743', '32255763093623/1580122561301229', '32255944983475/1580122561301229']
['2686621378807/131676918664317', '8059903199200/395030755992951', '8059945779500/395030755992951', '474117179444/23237103293703', '8060042170532/395030755992951', '8060096275291/395030755992951', '8060154477409/395030755992951', '8060216859293/395030755992951', '2686761157802/131676918664317', '8060354336500/395030755992951', '2686809810484/131676918664317', '8060508702694/395030755992951', '8060592059729/395030755992951', '2686893124556/131676918664317', '8060770481984/395030755992951', '8060865186017/395030755992951', '8060963256734/395030755992951', '8061064432754/395030755992951', '8061168426980/395030755992951', '8061274925003/395030755992951', '474199034836/23237103293703', '8061494072551/395030755992951', '8061605995930/395030755992951', '8061718977218/395030755992951', '8061832623817/395030755992951', '8061946534843/395030755992951', '8062060308748/395030755992951', '206722398529/10128993743409', '8062285839890/395030755992951', '2687465603152/131676918664317', '2687502024524/131676918664317', '620201020525/30386981230227', '620209080295/30386981230227', '8062820078203/395030755992951', '2687639689966/131676918664317', '8063014743907/395030755992951', '8063106857285/395030755992951', '8063195197378/395030755992951', '895919954227/43892306221439', '8063359887406/395030755992951', '8063435993020/395030755992951', '8063507838593/395030755992951', '620275030606/30386981230227', '8063638680115/395030755992951', '8063697732079/395030755992951', '8063752632200/395030755992951', '8063803490771/395030755992951', '8063850442750/395030755992951', '8063893646782/395030755992951']
['32239806880223/1580123448848577', '32239955580305/1580123448848577', '32240117755169/1580123448848577', '32240294081219/1580123448848577', '32240485172581/1580123448848577', '32240691564113/1580123448848577', '32240913695825/1580123448848577', '32241151898149/1580123448848577', '32241406380067/1580123448848577', '10747225739771/526707816282859', '10747321451981/526707816282859', '32242267588187/1580123448848577', '32242586571581/1580123448848577', '32242920819845/1580123448848577', '10747756569511/526707816282859', '32243632480055/1580123448848577', '32244008250731/1580123448848577', '10748132006241/526707816282859', '32244794673755/1580123448848577', '10748401002339/526707816282859', '10748539907575/526707816282859', '32246043449471/1580123448848577', '32246472752635/1580123448848577', '10748968715783/526707816282859', '10749114037009/526707816282859', '10749259699047/526707816282859', '10749405182759/526707816282859', '32248649910131/1580123448848577', '32249080644613/1580123448848577', '32249506243937/1580123448848577', '32249925243847/1580123448848577', '32250336236839/1580123448848577', '32250737885527/1580123448848577', '32251128934925/1580123448848577', '32251508224831/1580123448848577', '10750624900343/526707816282859', '32252227426259/1580123448848577', '10750855196419/526707816282859', '10750962837763/526707816282859', '10751065220829/526707816282859', '10751162215545/526707816282859', '32253761223253/1580123448848577', '32254019297663/1580123448848577', '10751420306441/526707816282859', '32254486275787/1580123448848577', '32254695682817/1580123448848577', '10751629857323/526707816282859', '10751689491763/526707816282859', '32255233008911/1580123448848577']
['16120078607381/790061936862675', '1074676612127/52670795790845', '16120226196169/790061936862675', '5373436660041/263353978954225', '5373466943839/263353978954225', '5373499671177/263353978954225', '5373534913669/263353978954225', '5373572726521/263353978954225', '3224167886651/158012387372535', '16120968546313/790061936862675', '5373701831013/263353978954225', '5373750060933/263353978954225', '16121402452123/790061936862675', '16121562072509/790061936862675', '3224345748913/158012387372535', '16121902108021/790061936862675', '16122081737263/790061936862675', '3224453430643/158012387372535', '3224491563959/158012387372535', '16122653157011/790061936862675', '16122852538301/790061936862675', '5374351768123/263353978954225', '644930430431/31602477474507', '16123468192913/790061936862675', '16123676863393/790061936862675', '3224777205491/158012387372535', '16124094930781/790061936862675', '16124302824869/790061936862675', '5374836321611/263353978954225', '644988505001/31602477474507', '16124913096703/790061936862675', '16125109703189/790061936862675', '16125301797857/790061936862675', '5375162926173/263353978954225', '3225134017007/158012387372535', '3225169042643/158012387372535', '16126013711689/790061936862675', '16126175194501/790061936862675', '5375443112401/263353978954225', '645059035507/31602477474507', '3225322932119/158012387372535', '5375581848689/263353978954225', '5375622833969/263353978954225', '16126983559093/790061936862675', '16127090811629/790061936862675', '16127190418417/790061936862675', '16127282590427/790061936862675', '16127367589789/790061936862675', '5375815238449/263353978954225']
['32240479935407/1580124263627059', '32240614203947/1580124263627059', '32240760803917/1580124263627059', '32240920373791/1580124263627059', '32241093496443/1580124263627059', '32241280683679/1580124263627059', '32241482360667/1580124263627059', '32241698852437/1580124263627059', '32241930371757/1580124263627059', '32242177009843/1580124263627059', '32242438729353/1580124263627059', '32242715360629/1580124263627059', '32243006599653/1580124263627059', '32243312009227/1580124263627059', '32243631021523/1580124263627059', '32243962942967/1580124263627059', '32244306960213/1580124263627059', '32244662148155/1580124263627059', '32245027478173/1580124263627059', '32245401828249/1580124263627059', '32245783993289/1580124263627059', '32246172696319/1580124263627059', '32246566599789/1580124263627059', '32246964318659/1580124263627059', '32247364431483/1580124263627059', '32247765494329/1580124263627059', '32248166052797/1580124263627059', '32248564655647/1580124263627059', '32248959867045/1580124263627059', '32249350280593/1580124263627059', '32249734531103/1580124263627059', '32250111308087/1580124263627059', '32250479367803/1580124263627059', '32250837545321/1580124263627059', '32251184765831/1580124263627059', '32251520055839/1580124263627059', '32251842552515/1580124263627059', '32252151512967/1580124263627059', '32252446321447/1580124263627059', '32252726495437/1580124263627059', '32252991689393/1580124263627059', '32253241696899/1580124263627059', '32253476449419/1580124263627059', '32253696013129/1580124263627059', '32253900582063/1580124263627059', '32254090468661/1580124263627059', '32254266091257/1580124263627059', '32254427959913/1580124263627059', '32254576659995/1580124263627059']
['8060200664013/395031163382192', '8060232511021/395031163382192', '4030133651937/197515581691096', '4030152598417/197515581691096', '8060346332463/395031163382192', '4030195417537/197515581691096', '4030219404915/197515581691096', '8060490336437/395031163382192', '8060545469251/395031163382192', '8060604231765/395031163382192', '8060666618157/395031163382192', '8060732588915/395031163382192', '8060802073765/395031163382192', '8060874968359/395031163382192', '8060951138479/395031163382192', '8061030417473/395031163382192', '8061112611475/395031163382192', '4030598748735/197515581691096', '8061284829189/395031163382192', '8061374335619/395031163382192', '4030732863747/197515581691096', '8061558695975/395031163382192', '8061652919507/395031163382192', '8061748062873/395031163382192', '8061843784045/395031163382192', '8061939733437/395031163382192', '503877222563/24689447711387', '8062130915389/395031163382192', '4031112725553/197515581691096', '1007789853473/49378895422774', '503900669825/24689447711387', '8062500802449/395031163382192', '8062588784973/395031163382192', '8062674383401/395031163382192', '4031378670199/197515581691096', '503927338832/24689447711387', '8062914420413/395031163382192', '8062988159233/395031163382192', '4031529246061/197515581691096', '8063125303881/395031163382192', '8063188514399/395031163382192', '1007906009427/49378895422774', '2015825993439/98757790845548', '4031678113509/197515581691096', '8063404885217/395031163382192', '4031725012561/197515581691096', '8063491750415/395031163382192', '4031765092531/197515581691096', '2015891368081/98757790845548']
['374896508337/18373546640495', '3224122084352/158012501108257', '16120676622253/790062505541285', '16120748760728/790062505541285', '3224165422685/158012501108257', '16120911924506/790062505541285', '16121003398982/790062505541285', '16121101695912/790062505541285', '374911788901/18373546640495', '16121319130539/790062505541285', '16121438310678/790062505541285', '16121564392534/790062505541285', '16121697242679/790062505541285', '16121836664911/790062505541285', '3224396480311/158012501108257', '16122134135412/790062505541285', '16122291492748/790062505541285', '16122454046624/790062505541285', '16122621321169/790062505541285', '16122792795951/790062505541285', '16122967911107/790062505541285', '16123146072464/790062505541285', '16123326657142/790062505541285', '16123509019409/790062505541285', '16123692496437/790062505541285', '16123876414494/790062505541285', '16124060095058/790062505541285', '16124242860986/790062505541285', '16124424042757/790062505541285', '16124602984699/790062505541285', '16124779051077/790062505541285', '16124951632148/790062505541285', '16125120150111/790062505541285', '16125284064639/790062505541285', '16125442878504/790062505541285', '16125596142417/790062505541285', '3225148691969/158012501108257', '16125884490947/790062505541285', '87167670033/4270608138061', '16126146638454/790062505541285', '16126267385738/790062505541285', '16126381110748/790062505541285', '16126487790916/790062505541285', '3225317493246/158012501108257', '16126680235962/790062505541285', '16126766253824/790062505541285', '16126845722113/790062505541285', '16126918884542/790062505541285', '375046186484/18373546640495']
['2686783064826/131677114053031', '2686792636913/131677114053031', '8060409318379/395031342159093', '2686814521298/131677114053031', '8060480780962/395031342159093', '2686840363144/131677114053031', '8060564589152/395031342159093', '8060611359475/395031342159093', '2686887151164/131677114053031', '2686904966258/131677114053031', '2686923897507/131677114053031', '8060831803619/395031342159093', '8060895168914/395031342159093', '2686987232184/131677114053031', '8061031263076/395031342159093', '8061103717939/395031342159093', '2687059627091/131677114053031', '8061256549154/395031342159093', '8061336491980/395031342159093', '8061418460332/395031342159093', '8061502183613/395031342159093', '2687195792163/131677114053031', '8061673737635/395031342159093', '8061760956536/395031342159093', '8061848712392/395031342159093', '2687312227019/131677114053031', '2687341511350/131677114053031', '8062111945597/395031342159093', '8062198591651/395031342159093', '2687428052305/131677114053031', '8062368333877/395031342159093', '8062450829699/395031342159093', '2687510455046/131677114053031', '8062609681238/395031342159093', '8062685538106/395031342159093', '8062758721105/395031342159093', '8062829039432/395031342159093', '8062896331714/395031342159093', '8062960463983/395031342159093', '2687673778191/131677114053031', '2687692957113/131677114053031', '8063133035332/395031342159093', '8063183817160/395031342159093', '2687743746404/131677114053031', '8063275350745/395031342159093', '2687772076234/131677114053031', '8063353971698/395031342159093', '2687796233160/131677114053031', '8063420546488/395031342159093']
['155008028935/7596758155273', '4030222398525/197515712037098', '4030237332003/197515712037098', '620039018999/30387032621092', '2015135669154/98757856018549', '16121162138401/790062848148392', '16121245046525/790062848148392', '16121334232793/790062848148392', '2015178725600/98757856018549', '2303075974019/112866121164056', '16121640272753/790062848148392', '16121755110899/790062848148392', '2303125173695/112866121164056', '4030500853023/197515712037098', '620082171769/30387032621092', '8061137543969/395031424074196', '4030604733667/197515712037098', '8061283806335/395031424074196', '8061360340937/395031424074196', '16122877660005/790062848148392', '16123038027155/790062848148392', '1151657230783/56433060582028', '155032372034/7596758155273', '16123533807387/790062848148392', '8061850980331/395031424074196', '16123870523193/790062848148392', '16124038862221/790062848148392', '2303458049491/112866121164056', '16124372351721/790062848148392', '16124536267349/790062848148392', '16124697501517/790062848148392', '16124855487365/790062848148392', '16125009688353/790062848148392', '16125159603817/790062848148392', '16125304773913/790062848148392', '2303634969215/112866121164056', '16125579271383/790062848148392', '16125707924113/790062848148392', '8062915244521/395031424074196', '16125946771825/790062848148392', '287965297119/14108265145507', '2303737145269/112866121164056', '8063128447009/395031424074196', '8063173657923/395031424074196', '4031607845717/197515712037098', '8063254622895/395031424074196', '4031645274877/197515712037098', '16126647176561/790062848148392', '8063353869915/395031424074196']
['8060485814762/395031505989299', '8060511683361/395031505989299', '8060540009633/395031505989299', '8060570930080/395031505989299', '8060604572270/395031505989299', '8060641048969/395031505989299', '8060680457373/395031505989299', '8060722873318/395031505989299', '8060768351308/395031505989299', '8060816919359/395031505989299', '8060868580232/395031505989299', '8060923307280/395031505989299', '8060981046951/395031505989299', '8061041715540/395031505989299', '8061105202918/395031505989299', '8061171369999/395031505989299', '8061240053395/395031505989299', '8061311063516/395031505989299', '8061384189894/395031505989299', '8061459199673/395031505989299', '8061535843542/395031505989299', '8061613854473/395031505989299', '8061692953901/395031505989299', '8061772850851/395031505989299', '8061853248270/395031505989299', '8061933842136/395031505989299', '8062014328171/395031505989299', '8062094400840/395031505989299', '8062173760070/395031505989299', '8062252110434/395031505989299', '8062329167640/395031505989299', '8062404657666/395031505989299', '8062478323215/395031505989299', '8062549922579/395031505989299', '8062619235807/395031505989299', '8062686063400/395031505989299', '8062750231951/395031505989299', '8062811592399/395031505989299', '8062870025059/395031505989299', '8062925437252/395031505989299', '8062977767325/395031505989299', '8063026981551/395031505989299', '8063073076858/395031505989299', '8063116076634/395031505989299', '8063156032123/395031505989299', '8063193017088/395031505989299', '8063227127810/395031505989299', '8063258477081/395031505989299', '8063287193342/395031505989299']
['1535342590391/75244110667063', '32242292699219/1580126324008323', '32242400397575/1580126324008323', '10747506008257/526708774669441', '10747548691429/526708774669441', '32242784988283/1580126324008323', '4606133592109/225732332001189', '4606156692173/225732332001189', '1535393824001/75244110667063', '32243455639175/1580126324008323', '1401897950681/68701144522101', '32243861890685/1580126324008323', '10748027503775/526708774669441', '10748104804657/526708774669441', '10748185725387/526708774669441', '32244810269341/1580126324008323', '10748357687981/526708774669441', '32245344835057/1580126324008323', '32245624769671/1580126324008323', '32245911974435/1580126324008323', '32246205484867/1580126324008323', '4606643467769/225732332001189', '32246807264363/1580126324008323', '32247113334847/1580126324008323', '4606774476431/225732332001189', '4606818584867/225732332001189', '2480618341003/121548178769871', '32248345175233/1580126324008323', '32248649158225/1580126324008323', '32248949244907/1580126324008323', '4607034904925/225732332001189', '32249533373495/1580126324008323', '32249815366673/1580126324008323', '4607155626653/225732332001189', '826932168813/40516059589957', '118134103279/5788008512851', '32250855552803/1580126324008323', '10750363363323/526708774669441', '4607330478223/225732332001189', '10750508325915/526708774669441', '1535796416511/75244110667063', '10750637511643/526708774669441', '32252088335141/1580126324008323', '32252252248109/1580126324008323', '32252404475981/1580126324008323', '32252545312691/1580126324008323', '32252675133011/1580126324008323', '32252794379563/1580126324008323', '10750967849761/526708774669441']
