['0', '4053601603/4058726457684', '6756223533/3382272048070', '60809325913/20293632288420', '40542645191/10146816144210', '25341641462/5073408072105', '121654487839/20293632288420', '11829199734/1691136024035', '16225563937/2029363228842', '3042859493/338227204807', '40579909925/4058726457684', '111620475569/10146816144210', '48719431303/4058726457684', '52793911943/4058726457684', '9478652255/676454409614', '101589533867/6764544096140', '162599049097/10146816144210', '5760825175/338227204807', '73224862159/4058726457684', '38662398959/2029363228842', '20357502976/1014681614421', '9946605941/471944936940', '448287536653/20293632288420', '7815034804/338227204807', '24477466171/1014681614421', '127557721226/5073408072105', '530948447131/20293632288420', '137925929653/5073408072105', '572498443789/20293632288420', '39555627045/1352908819228', '204737809513/6764544096140', '635137380373/20293632288420', '328054087981/10146816144210', '45141852017/1352908819228', '11636636857/338227204807', '143864308939/4058726457684', '185124979153/5073408072105', '126955921489/3382272048070', '783030653603/20293632288420', '804387638159/20293632288420', '825808911029/20293632288420', '847296988067/20293632288420', '434427239887/10146816144210', '890484098723/20293632288420', '228047167148/5073408072105']
['444011703244/23502181869739', '447355807675/23502181869739', '450731461897/23502181869739', '454136092954/23502181869739', '457567361193/23502181869739', '461023114554/23502181869739', '464501387855/23502181869739', '468000360341/23502181869739', '471518359819/23502181869739', '475053824574/23502181869739', '478605310986/23502181869739', '482171459217/23502181869739', '485751003806/23502181869739', '489342741474/23502181869739', '492945544286/23502181869739', '496558329339/23502181869739', '500180073070/23502181869739', '503809782739/23502181869739', '507446511699/23502181869739', '511089331729/23502181869739', '514737349195/23502181869739', '518389677611/23502181869739', '522045455675/23502181869739', '525703817203/23502181869739', '529363913111/23502181869739', '533024878856/23502181869739', '536685856241/23502181869739', '540345963353/23502181869739', '544004312543/23502181869739', '547659982616/23502181869739', '551312035048/23502181869739', '554959485474/23502181869739', '558601319255/23502181869739', '562236461773/23502181869739', '565863792341/23502181869739', '569482113050/23502181869739', '573090160764/23502181869739', '576686573148/23502181869739', '580269898153/23502181869739', '583838556541/23502181869739', '587390846953/23502181869739', '590924903653/23502181869739', '594438695817/23502181869739', '597929977803/23502181869739', '601396281111/23502181869739']
['127246854308/6715915980999', '299098769462/15670470622331', '903928266209/47011411866993', '303539572513/15670470622331', '305787654391/15670470622331', '924156694616/47011411866993', '310331983638/15670470622331', '937877078471/47011411866993', '944796696212/47011411866993', '951751663985/47011411866993', '136962722096/6715915980999', '137965161317/6715915980999', '324266771606/15670470622331', '979869184375/47011411866993', '328986813003/15670470622331', '331357297177/15670470622331', '143028778787/6715915980999', '1008347111602/47011411866993', '145072419263/6715915980999', '1022679042857/47011411866993', '343287201505/15670470622331', '1037052824491/47011411866993', '1044250936424/47011411866993', '1051454185219/47011411866993', '352886942834/15670470622331', '152267016346/6715915980999', '1073077281800/47011411866993', '1080283543567/47011411866993', '1087486079237/47011411866993', '1094683022624/47011411866993', '1101872450713/47011411866993', '158436052943/6715915980999', '53153366967/2238638660333', '374458427920/15670470622331', '1130513814505/47011411866993', '162519125348/6715915980999', '1144732898860/47011411866993', '1151808129121/47011411866993', '165550945295/6715915980999', '1165875180214/47011411866993', '390953456932/15670470622331', '1179808436264/47011411866993', '395571758080/15670470622331', '1193576379200/47011411866993', '400128927672/15670470622331']
['446716084761/23509229372192', '112485077795/5877307343048', '226598308879/11754614686096', '14265076294/734663417881', '28737213913/1469326835762', '463133404973/23509229372192', '466494392743/23509229372192', '469876553125/23509229372192', '236639088625/11754614686096', '476697686709/23509229372192', '240066799003/11754614686096', '483584531945/23509229372192', '243524590579/11754614686096', '245263160919/11754614686096', '123503695751/5877307343048', '497513460359/23509229372192', '125255321747/5877307343048', '126134312067/5877307343048', '508060353807/23509229372192', '511589653431/23509229372192', '515124209567/23509229372192', '518663113331/23509229372192', '16318920612/734663417881', '262875179685/11754614686096', '264648459655/11754614686096', '133211063013/5877307343048', '268195727261/11754614686096', '539937621515/23509229372192', '271740910057/11754614686096', '273511552639/11754614686096', '550560492437/23509229372192', '277046486509/11754614686096', '278809742803/11754614686096', '280569465359/11754614686096', '564650140533/23509229372192', '142037972959/5877307343048', '571642874029/23509229372192', '575121699795/23509229372192', '578586870003/23509229372192', '582036781431/23509229372192', '585469687667/23509229372192', '588883701927/23509229372192', '592276752671/23509229372192', '18613955627/734663417881', '598990684495/23509229372192']
['1792178844541/94050568365983', '1804840715719/94050568365983', '1817631845879/94050568365983', '1830541971049/94050568365983', '1843561667745/94050568365983', '1856682269389/94050568365983', '1869895784591/94050568365983', '1883194823537/94050568365983', '1896572529573/94050568365983', '1910022519837/94050568365983', '1923538831061/94050568365983', '1937115871575/94050568365983', '1950748377591/94050568365983', '1964431375205/94050568365983', '1978160143915/94050568365983', '1991930185405/94050568365983', '2005737193619/94050568365983', '2019577028145/94050568365983', '2033445687787/94050568365983', '2047339288819/94050568365983', '2061254041265/94050568365983', '2075186225415/94050568365983', '2089132180421/94050568365983', '2103088266141/94050568365983', '2117050867723/94050568365983', '2131016350669/94050568365983', '2144981061079/94050568365983', '2158941291977/94050568365983', '2172893269025/94050568365983', '2186833125565/94050568365983', '2200756879501/94050568365983', '2214660409013/94050568365983', '2228539424335/94050568365983', '2242389439091/94050568365983', '2256205737407/94050568365983', '2269983338309/94050568365983', '2283716955061/94050568365983', '2297400951213/94050568365983', '2311029288529/94050568365983', '2324595469975/94050568365983', '2338092473221/94050568365983', '2351512674879/94050568365983', '2364847762669/94050568365983', '2378088636029/94050568365983', '2391225292489/94050568365983']
['898746403507/47032108746241', '904959825271/47032108746241', '911238346211/47032108746241', '917576828561/47032108746241', '923970567957/47032108746241', '930415210625/47032108746241', '936906756767/47032108746241', '943441482185/47032108746241', '950015948035/47032108746241', '956626928269/47032108746241', '963271426669/47032108746241', '969946609947/47032108746241', '51402622583/2475374144539', '983378557729/47032108746241', '990130417373/47032108746241', '996903118219/47032108746241', '1003694488027/47032108746241', '1010502415539/47032108746241', '53543414753/2475374144539', '1024159898847/47032108746241', '1031005556277/47032108746241', '1037859950525/47032108746241', '1044721230961/47032108746241', '1051587535219/47032108746241', '1058457035137/47032108746241', '1065327870775/47032108746241', '1072198194311/47032108746241', '1079066109039/47032108746241', '1085929706393/47032108746241', '1092787009653/47032108746241', '1099636005809/47032108746241', '1106474590073/47032108746241', '1113300595455/47032108746241', '1120111734447/47032108746241', '1126905626795/47032108746241', '59667354625/2475374144539', '1140431402151/47032108746241', '1147157757761/47032108746241', '1153855764751/47032108746241', '1160522132517/47032108746241', '1167153331609/47032108746241', '1173745512207/47032108746241', '1180294505183/47032108746241', '62462933141/2475374144539', '1193244182517/47032108746241']
['1802710706771/94077431203837', '1814907360735/94077431203837', '1827234988175/94077431203837', '1839683356737/94077431203837', '1852243040217/94077431203837', '1864905342577/94077431203837', '1877662223185/94077431203837', '1890506226265/94077431203837', '1903430418121/94077431203837', '1916428328451/94077431203837', '1929493899555/94077431203837', '1942621439289/94077431203837', '1955805579319/94077431203837', '1969041236755/94077431203837', '1982323580473/94077431203837', '1995647998501/94077431203837', '2009010069841/94077431203837', '2022405537525/94077431203837', '2035830283301/94077431203837', '2049280304279/94077431203837', '2062751692179/94077431203837', '2076240606465/94077431203837', '2089743266367/94077431203837', '2103255909901/94077431203837', '2116774800883/94077431203837', '2130296181341/94077431203837', '2143816274825/94077431203837', '93797010857/4090323095819', '2170837207099/94077431203837', '2184330154543/94077431203837', '2197805984131/94077431203837', '2211260446699/94077431203837', '2224689125733/94077431203837', '97308148135/4090323095819', '2251450447757/94077431203837', '2264773139817/94077431203837', '2278050071401/94077431203837', '2291275482079/94077431203837', '2304443213971/94077431203837', '2317546654325/94077431203837', '2330578672445/94077431203837', '2343531545955/94077431203837', '2356396877673/94077431203837', '2369165500091/94077431203837', '2381827371269/94077431203837']
['903964113821/47045321851983', '909947348231/47045321851983', '915996457277/47045321851983', '70931257417/3618870911691', '309424097949/15681773950661', '44499521779/2240253421523', '940755296137/47045321851983', '315688192889/15681773950661', '953414310113/47045321851983', '319933748755/15681773950661', '966222325651/47045321851983', '972674689453/47045321851983', '326385206111/15681773950661', '328554185255/15681773950661', '992193049111/47045321851983', '332914925397/15681773950661', '1005315488189/47045321851983', '1011903039383/47045321851983', '339501777295/15681773950661', '53953702435/2476069571157', '1031746089029/47045321851983', '1038380621671/47045321851983', '1045022013955/47045321851983', '350556122069/15681773950661', '352772590097/15681773950661', '354989442711/15681773950661', '1071618110987/47045321851983', '359421727961/15681773950661', '361635852127/15681773950661', '1091543212709/47045321851983', '1098170057863/47045321851983', '368261982479/15681773950661', '370462877271/15681773950661', '1117975784353/47045321851983', '1124544942191/47045321851983', '1131093532073/47045321851983', '1137618807601/47045321851983', '1144117870235/47045321851983', '383529200673/15681773950661', '1157024680843/47045321851983', '1163425505467/47045321851983', '1169786203381/47045321851983', '61900134029/2476069571157', '1182369948391/47045321851983', '1188583370155/47045321851983']
['453261918628/23525857068633', '912394432249/47051714137266', '459165615154/23525857068633', '462164571446/23525857068633', '465191732951/23525857068633', '468244923334/23525857068633', '471322124636/23525857068633', '158140486996/7841952356211', '477541183460/23525857068633', '480679656640/23525857068633', '161278448636/7841952356211', '487006806509/23525857068633', '980385346495/47051714137266', '986783302663/47051714137266', '496602507839/23525857068633', '999648128527/47051714137266', '503055189034/23525857068633', '506294791267/23525857068633', '1019083628705/47051714137266', '1025590460525/47051714137266', '1032108068537/47051714137266', '57701915383/2613984118737', '38709916263/1742656079158', '175284319624/7841952356211', '1058247087871/47051714137266', '118309923725/5227968237474', '39678912919/1742656079158', '179644853407/7841952356211', '542201360413/23525857068633', '545464697794/23525857068633', '1097447032349/47051714137266', '1103953448239/47051714137266', '555223188145/23525857068633', '1116923451487/47051714137266', '561691097125/23525857068633', '376606664515/15683904712422', '1136234087227/47051714137266', '190436923436/7841952356211', '1148979222029/47051714137266', '42789028739/1742656079158', '1161591591497/47051714137266', '583919383927/23525857068633', '1174041074233/47051714137266', '393397968437/15683904712422', '1186292232293/47051714137266']
['909083430223/47058106008759', '304947129063/15686035336253', '920665875887/47058106008759', '926551813781/47058106008759', '932494514539/47058106008759', '312829871679/15686035336253', '944533084303/47058106008759', '316873716795/15686035336253', '318916770817/15686035336253', '962917273069/47058106008759', '969118955269/47058106008759', '325117479615/15686035336253', '981614982377/47058106008759', '987903963209/47058106008759', '994216902307/47058106008759', '1000551407777/47058106008759', '1006905202159/47058106008759', '1013276067589/47058106008759', '1019661875501/47058106008759', '1026060533147/47058106008759', '1032470015083/47058106008759', '1038888308039/47058106008759', '348437816413/15686035336253', '350581154479/15686035336253', '352725469609/15686035336253', '1064610311489/47058106008759', '357014402781/15686035336253', '359157695893/15686035336253', '1083897924739/47058106008759', '1090315626457/47058106008759', '1096724063051/47058106008759', '367707004371/15686035336253', '369834730769/15686035336253', '371957065729/15686035336253', '1122219531457/47058106008759', '376182182085/15686035336253', '378283154567/15686035336253', '380375104319/15686035336253', '1147370948635/47058106008759', '384527660605/15686035336253', '1159757791999/47058106008759', '388630483361/15686035336253', '1171979722571/47058106008759', '392672661807/15686035336253', '394667073277/15686035336253']
['911593047575/47064287668964', '458620434773/23532143834482', '922955473379/47064287668964', '232182952047/11766071917241', '934565189603/47064287668964', '470225634793/23532143834482', '236596501411/11766071917241', '476182815165/23532143834482', '479193311573/23532143834482', '964445684321/47064287668964', '485269855847/23532143834482', '244166444646/11766071917241', '982821114671/47064287668964', '989003087867/47064287668964', '248802297023/11766071917241', '250359252989/11766071917241', '503842124635/23532143834482', '1013948669613/47064287668964', '255057027619/11766071917241', '513260232763/23532143834482', '516411837447/23532143834482', '1039135710965/47064287668964', '522727287905/23532143834482', '1051778279767/47064287668964', '529052422605/23532143834482', '1064432283423/47064287668964', '535379297765/23532143834482', '1077081754573/47064287668964', '541699849911/23532143834482', '1089710323129/47064287668964', '274002864649/11766071917241', '551150434899/23532143834482', '554288118389/23532143834482', '1114835141451/47064287668964', '1121075052493/47064287668964', '563646653827/23532143834482', '283371773821/11766071917241', '1139653433013/47064287668964', '1145789144419/47064287668964', '1151890832311/47064287668964', '289488712378/11766071917241', '290994316182/11766071917241', '584976912665/23532143834482', '1175879915207/47064287668964', '295437627550/11766071917241']
['457051288151/23535234525086', '229910066035/11767617262543', '231311246029/11767617262543', '465455858509/23535234525086', '234158945114/11767617262543', '235603210378/11767617262543', '237059711544/11767617262543', '477055015775/23535234525086', '240005714370/11767617262543', '241493505471/11767617262543', '485980198707/23535234525086', '244494762737/11767617262543', '246006795813/11767617262543', '495051076415/23535234525086', '498100709267/23535234525086', '250580641371/11767617262543', '504231625367/23535234525086', '507310615653/23535234525086', '510397155347/23535234525086', '256745092244/11767617262543', '516588655901/23535234525086', '519691548595/23535234525086', '261398922999/11767617262543', '525906546061/23535234525086', '529016642025/23535234525086', '266063566061/11767617262543', '535236998981/23535234525086', '269172610743/11767617262543', '270725375629/11767617262543', '272276263333/11767617262543', '273824723336/11767617262543', '550740385553/23535234525086', '276912082747/11767617262543', '556899570129/23535234525086', '279982658133/11767617262543', '563020066087/23535234525086', '566062396871/23535234525086', '569090811679/23535234525086', '572103706775/23535234525086', '575099379445/23535234525086', '289037996381/11767617262543', '290515790000/11767617262543', '291982002642/11767617262543', '586870964545/23535234525086', '294874971514/11767617262543']
['916561292181/47076444020470', '460995686488/23538222010235', '185497735901/9415288804094', '186609641845/9415288804094', '187733061301/9415288804094', '944335637547/47076444020470', '475027580836/23538222010235', '955820103923/47076444020470', '961626928499/47076444020470', '483736157182/23538222010235', '973353132617/47076444020470', '489633213126/23538222010235', '492604695434/23538222010235', '495589678882/23538222010235', '997173777859/47076444020470', '1003190207137/47076444020470', '504613146403/23538222010235', '507639880549/23538222010235', '1021348404721/47076444020470', '1027430071743/47076444020470', '206704531211/9415288804094', '519812041617/23538222010235', '522866153764/23538222010235', '1051845291947/47076444020470', '1057961010083/47076444020470', '532038712517/23538222010235', '1070192488961/47076444020470', '1076304126191/47076444020470', '1082410226797/47076444020470', '544254316967/23538222010235', '1094597132789/47076444020470', '1100673438521/47076444020470', '553367591562/23538222010235', '1112779901409/47076444020470', '1118805015511/47076444020470', '562403909252/23538222010235', '565392727737/23538222010235', '227346980685/9415288804094', '571326474151/23538222010235', '1148536159631/47076444020470', '1154380861859/47076444020470', '580091551404/23538222010235', '582969308817/23538222010235', '1171642790241/47076444020470', '588645306106/23538222010235']
['459509974359/23541209402618', '462171211493/23541209402618', '464866158343/23541209402618', '233796160986/11770604701309', '235173693979/11770604701309', '236564594483/11770604701309', '475935711333/23541209402618', '478765061557/23541209402618', '481615473929/23541209402618', '242242639226/11770604701309', '487372909915/23541209402618', '490276877873/23541209402618', '246597888776/11770604701309', '248064130496/11770604701309', '499073049695/23541209402618', '502028907075/23541209402618', '504994651817/23541209402618', '507969131625/23541209402618', '510951237459/23541209402618', '513939877331/23541209402618', '516933992303/23541209402618', '259966264458/11770604701309', '522934457987/23541209402618', '262969372273/11770604701309', '264472184470/11770604701309', '531950296005/23541209402618', '267477747633/11770604701309', '268979456070/11770604701309', '540959485071/23541209402618', '543956118819/23541209402618', '273473849803/11770604701309', '274966534147/11770604701309', '552911034689/23541209402618', '277940174975/11770604701309', '558839719409/23541209402618', '561787773945/23541209402618', '564723081373/23541209402618', '567644115631/23541209402618', '285274633204/11770604701309', '286718402972/11770604701309', '576304895631/23541209402618', '289575775007/11770604701309', '290987320070/11770604701309', '292385926994/11770604701309', '587540697907/23541209402618']
['921427031360/47088191013683', '926644465246/47088191013683', '931929437605/47088191013683', '937277003598/47088191013683', '942682545922/47088191013683', '948141753159/47088191013683', '953650595165/47088191013683', '959205297016/47088191013683', '964802315073/47088191013683', '970438313779/47088191013683', '976110144496/47088191013683', '981814825617/47088191013683', '987549525036/47088191013683', '993311542855/47088191013683', '999098296524/47088191013683', '1004907306400/47088191013683', '1010736182479/47088191013683', '1016582611929/47088191013683', '1022444347803/47088191013683', '1028319196914/47088191013683', '1034205011434/47088191013683', '1040099674404/47088191013683', '1046001096854/47088191013683', '1051907198406/47088191013683', '1057815908492/47088191013683', '1063725146185/47088191013683', '1069632819130/47088191013683', '1075536807217/47088191013683', '1081434956216/47088191013683', '1087325064735/47088191013683', '1093204874292/47088191013683', '1099072056382/47088191013683', '1104924200260/47088191013683', '1110758798849/47088191013683', '1116573233857/47088191013683', '1122364759204/47088191013683', '1128130483522/47088191013683', '1133867349696/47088191013683', '1139572113411/47088191013683', '1145241318398/47088191013683', '1150871269385/47088191013683', '1156458001638/47088191013683', '1161997248047/47088191013683', '1167484402449/47088191013683', '1172914483244/47088191013683']
['38493086453/1962248462524', '154824411447/7848993850096', '9730484584/490562115631', '234842331307/11773490775144', '472335139207/23546981550288', '118753136435/5886745387572', '159238288577/7848993850096', '160146739257/7848993850096', '69026689133/3363854507184', '485953018661/23546981550288', '8727450331/420481813398', '491537932405/23546981550288', '23540653949/1121284835728', '23675393723/1121284835728', '500025234109/23546981550288', '502878387653/23546981550288', '505741520117/23546981550288', '508613470969/23546981550288', '511493102287/23546981550288', '514379312873/23546981550288', '24631953039/1121284835728', '173389047207/7848993850096', '261533318239/11773490775144', '525968452973/23546981550288', '88145256695/3924496925048', '531774852305/23546981550288', '178225775825/7848993850096', '12799473813/560642417864', '135118869407/5886745387572', '6468678021/280321208932', '22760715993/981124231262', '549138998467/23546981550288', '552013177099/23546981550288', '69359807687/2943372693786', '23238897001/981124231262', '35036062483/1471686346893', '26828924639/1121284835728', '40444517861/1681927253592', '71127857953/2943372693786', '5105397586/210240906699', '574566391415/23546981550288', '72163308713/2943372693786', '3452515633/140160604466', '13874108743/560642417864', '146343451085/5886745387572']
['617459260217/31399691003649', '1862397647791/94199073010947', '624184320863/31399691003649', '627611322959/31399691003649', '1893231525679/94199073010947', '1903737072409/94199073010947', '1914342584335/94199073010947', '641680175887/31399691003649', '297498665/14476574921', '1946685754271/94199073010947', '1957620026615/94199073010947', '1968620630875/94199073010947', '1979681857811/94199073010947', '1990798257299/94199073010947', '2001964607459/94199073010947', '671058629369/31399691003649', '2024427254315/94199073010947', '2035714012699/94199073010947', '227447955347/10466563667883', '76236131547/3488854555961', '2069741502851/94199073010947', '2081125141445/94199073010947', '2092522211243/94199073010947', '2103928474355/94199073010947', '2115339708625/94199073010947', '2126751673865/94199073010947', '2138160104471/94199073010947', '716520226819/31399691003649', '2160949013387/94199073010947', '724106873849/31399691003649', '2183670908999/94199073010947', '2194995142271/94199073010947', '2206288424203/94199073010947', '2217545667799/94199073010947', '247640174051/10466563667883', '2239930562449/94199073010947', '2251046811499/94199073010947', '754034715113/31399691003649', '2273096028361/94199073010947', '2284015511693/94199073010947', '2294855180881/94199073010947', '768535699775/31399691003649', '2316262745327/94199073010947', '775604315639/31399691003649', '2337247814689/94199073010947']
['232135920097/11776277457990', '233362788473/11776277457990', '469213208761/23552554915980', '471732309449/23552554915980', '13174461428/654237636555', '23842798921/1177627745799', '239728207303/11776277457990', '80346672413/3925425819330', '484725071359/23552554915980', '40615820627/1962712909665', '122518196053/5888138728995', '123193093229/5888138728995', '27527065909/1308475273110', '124553962853/5888138728995', '166985687063/7850851638660', '167903182883/7850851638660', '50647210003/2355255491598', '33949568611/1570170327732', '128005672852/5888138728995', '42900704878/1962712909665', '258799867033/11776277457990', '130098856631/5888138728995', '523194467557/23552554915980', '29221987979/1308475273110', '176266104857/7850851638660', '265800493031/11776277457990', '133600681798/5888138728995', '107440488697/4710510983196', '539999033413/23552554915980', '27139568113/1177627745799', '27278913839/1177627745799', '548358579589/23552554915980', '183710347559/7850851638660', '55389438077/2355255491598', '20616565341/872316848740', '139847072767/5888138728995', '140528999603/5888138728995', '47069069429/1962712909665', '283762580743/11776277457990', '285101618743/11776277457990', '38190747373/1570170327732', '28774854589/1177627745799', '578108758357/23552554915980', '145173479618/5888138728995', '583250115377/23552554915980']
['24822551141/1256279690961', '1871306579047/94220976822075', '376211478973/18844195364415', '1890934176593/94220976822075', '1900927893527/94220976822075', '637010020823/31406992274025', '71156767049/3489665808225', '1931528332397/94220976822075', '215767761343/10468997424675', '1952370579953/94220976822075', '392580835421/18844195364415', '1973504619361/94220976822075', '1984166164793/94220976822075', '1994883322561/94220976822075', '668550275101/31406992274025', '403292720299/18844195364415', '675772250419/31406992274025', '2038205522351/94220976822075', '683041762837/31406992274025', '228896836253/10468997424675', '230115533261/10468997424675', '2082025730141/94220976822075', '2093024992673/94220976822075', '140268885337/6281398454805', '423009259699/18844195364415', '2126059737047/94220976822075', '2137069258651/94220976822075', '2148070471957/94220976822075', '79965145103/3489665808225', '2170030044139/94220976822075', '2180979186559/94220976822075', '730633847899/31406992274025', '2202792153781/94220976822075', '2213645867077/94220976822075', '2224457318351/94220976822075', '745073631769/31406992274025', '2245930705363/94220976822075', '451316107601/18844195364415', '453432765041/18844195364415', '253074843971/10468997424675', '457620485413/18844195364415', '459688478249/18844195364415', '2308684997609/94220976822075', '257646792433/10468997424675', '2328840999037/94220976822075']
['233286909749/11778966735096', '42629791321/2141630315472', '39276290057/1963161122516', '473734770931/23557933470192', '79363887921/3926322245032', '478659045091/23557933470192', '120289983239/5889483367548', '161228041423/7852644490064', '30389365463/1472370841887', '81465905897/3926322245032', '163793099169/7852644490064', '493979930207/23557933470192', '124148972447/5889483367548', '62403225497/2944741683774', '125467086491/5889483367548', '168174082345/7852644490064', '169062090337/7852644490064', '42488268995/1963161122516', '256269974663/11778966735096', '23419422803/1070815157736', '517920163283/23557933470192', '173539145619/7852644490064', '43609835645/1963161122516', '263010428015/11778966735096', '264362417483/11778966735096', '177142961139/7852644490064', '534131903743/23557933470192', '536832794743/23557933470192', '67441303543/2944741683774', '542223663269/23557933470192', '136227830129/5889483367548', '3111319300/133851894717', '550265039237/23557933470192', '552928558235/23557933470192', '555581400835/23557933470192', '558222162811/23557933470192', '186949786937/7852644490064', '4268647293/178469192956', '283028379089/11778966735096', '189544522551/7852644490064', '11899791883/490790280629', '573724111439/23557933470192', '576233748169/23557933470192', '24113193971/981580561258', '72646299007/2944741683774']
['1870792680507/94242109432253', '1880013741925/94242109432253', '1889370262135/94242109432253', '1898852800961/94242109432253', '1908452452699/94242109432253', '1918160826715/94242109432253', '1927970015339/94242109432253', '1937872557535/94242109432253', '1947861401255/94242109432253', '1957929867611/94242109432253', '1968071614637/94242109432253', '1978280604993/94242109432253', '1988551074533/94242109432253', '1998877503109/94242109432253', '2009254586955/94242109432253', '2019677213895/94242109432253', '2030140438065/94242109432253', '2040639457909/94242109432253', '2051169594567/94242109432253', '2061726269625/94242109432253', '2072304988791/94242109432253', '2082901316383/94242109432253', '2093510864597/94242109432253', '2104129266413/94242109432253', '2114752164275/94242109432253', '2125375185913/94242109432253', '2135993930269/94242109432253', '2146603944275/94242109432253', '2157200706285/94242109432253', '2167779603477/94242109432253', '2178335911699/94242109432253', '2188864772171/94242109432253', '2199361167449/94242109432253', '2209819896337/94242109432253', '2220235545253/94242109432253', '2230602459051/94242109432253', '2240914708213/94242109432253', '2251166053403/94242109432253', '2261349906387/94242109432253', '2271459288509/94242109432253', '2281486783399/94242109432253', '2291424487927/94242109432253', '2301263958609/94242109432253', '2310996157363/94242109432253', '2320611400835/94242109432253']
['937645031373/47126242460879', '942158322775/47126242460879', '946739290745/47126242460879', '951383249155/47126242460879', '956085787801/47126242460879', '960842726803/47126242460879', '965650139839/47126242460879', '970504299579/47126242460879', '975401697229/47126242460879', '980338987877/47126242460879', '985313010937/47126242460879', '990320736223/47126242460879', '995359286985/47126242460879', '1000425887617/47126242460879', '1005517887979/47126242460879', '1010632713321/47126242460879', '1015767890143/47126242460879', '1020920996781/47126242460879', '1026089691373/47126242460879', '1031271662499/47126242460879', '1036464659223/47126242460879', '1041666440485/47126242460879', '1046874807779/47126242460879', '1052087553873/47126242460879', '1057302494731/47126242460879', '1062517420327/47126242460879', '1067730124881/47126242460879', '1072938357711/47126242460879', '1078139853319/47126242460879', '1083332281417/47126242460879', '1088513275859/47126242460879', '1093680384425/47126242460879', '1098831095441/47126242460879', '1103962786883/47126242460879', '1109072751099/47126242460879', '1114158141383/47126242460879', '1119215994933/47126242460879', '1124243176727/47126242460879', '1129236398995/47126242460879', '1134192162409/47126242460879', '1139106772045/47126242460879', '1143976274633/47126242460879', '1148796471999/47126242460879', '1153562856601/47126242460879', '1158270626667/47126242460879']
['939840064701/47131243482139', '944258747104/47131243482139', '948744988166/47131243482139', '953294157505/47131243482139', '957901872380/47131243482139', '962563990529/47131243482139', '967276597647/47131243482139', '972035991382/47131243482139', '976838664670/47131243482139', '981681288729/47131243482139', '986560697263/47131243482139', '991473870349/47131243482139', '996417920154/47131243482139', '1001390076890/47131243482139', '1006387675833/47131243482139', '1011408144796/47131243482139', '1016448992930/47131243482139', '1021507799116/47131243482139', '1026582202106/47131243482139', '1031669889392/47131243482139', '1036768589472/47131243482139', '1041876059158/47131243482139', '1046990078221/47131243482139', '1052108437084/47131243482139', '1057228929306/47131243482139', '1062349342108/47131243482139', '1067467447595/47131243482139', '1072580992140/47131243482139', '1077687688485/47131243482139', '1082785204053/47131243482139', '1087871151592/47131243482139', '1092943077549/47131243482139', '1097998450657/47131243482139', '1103034649120/47131243482139', '1108048947704/47131243482139', '1113038502733/47131243482139', '1118000336849/47131243482139', '1122931321856/47131243482139', '1127828160369/47131243482139', '1132687365543/47131243482139', '1137505239866/47131243482139', '1142277851458/47131243482139', '1147001010218/47131243482139', '1151670243326/47131243482139', '1156280774035/47131243482139']
['134576441687/6733749212067', '946359165239/47136244484469', '950750679427/47136244484469', '318401686579/15712081494823', '137102564413/6733749212067', '964285248253/47136244484469', '968903049529/47136244484469', '324522559119/15712081494823', '978275626397/47136244484469', '983023584005/47136244484469', '987808378177/47136244484469', '992626999261/47136244484469', '997476548333/47136244484469', '334118087145/15712081494823', '1007257459255/47136244484469', '1012183572175/47136244484469', '339043363997/15712081494823', '1022094598135/47136244484469', '1027074709961/47136244484469', '49146100661/2244583070689', '1037072517815/47136244484469', '347361892149/15712081494823', '1047105347815/47136244484469', '150304188571/6733749212067', '352385121377/15712081494823', '1062181264691/47136244484469', '355734923883/15712081494823', '357407876145/15712081494823', '359078508673/15712081494823', '1082238129535/47136244484469', '155318432945/6733749212067', '364068591459/15712081494823', '1097165809951/47136244484469', '1102106515775/47136244484469', '52715483287/2244583070689', '1111918869067/47136244484469', '372261561325/15712081494823', '160231353199/6733749212067', '375473309105/15712081494823', '161597510627/6733749212067', '1135903713515/47136244484469', '1140579434209/47136244484469', '381735184813/15712081494823', '164253948017/6733749212067', '384763642507/15712081494823']
['1888352356053/94282125689617', '1896816535341/94282125689617', '1905415270999/94282125689617', '1914139495877/94282125689617', '1922980596803/94282125689617', '1931930409307/94282125689617', '1940981196167/94282125689617', '1950125621577/94282125689617', '1959356720735/94282125689617', '1968667869827/94282125689617', '1978052755507/94282125689617', '1987505346921/94282125689617', '1997019866741/94282125689617', '2006590766079/94282125689617', '2016212698869/94282125689617', '2025880498791/94282125689617', '2035589156271/94282125689617', '2045333798019/94282125689617', '2055109666121/94282125689617', '2064912097721/94282125689617', '2074736508913/94282125689617', '2084578371883/94282125689617', '2094433200605/94282125689617', '2104296532747/94282125689617', '2114163908021/94282125689617', '2124030855977/94282125689617', '2133892873919/94282125689617', '2143745409761/94282125689617', '2153583843633/94282125689617', '2163403467621/94282125689617', '2173199465425/94282125689617', '2182966891139/94282125689617', '2192700646183/94282125689617', '2202395455395/94282125689617', '2212045840621/94282125689617', '2221646093871/94282125689617', '2231190246037/94282125689617', '2240672035703/94282125689617', '2250084873349/94282125689617', '2259421804175/94282125689617', '2268675467069/94282125689617', '2277838052819/94282125689617', '2286901259041/94282125689617', '2295856248589/94282125689617', '2304693613395/94282125689617']
