['0', '18983149389/20744122641122', '18983694247/10372061320561', '56953807937/20744122641122', '151886999273/41488245282244', '189875115405/41488245282244', '113937079377/20744122641122', '265886330821/41488245282244', '303913842011/41488245282244', '341958913543/41488245282244', '95005944564/10372061320561', '418110682587/41488245282244', '456221888551/41488245282244', '494359674665/41488245282244', '266263169017/20744122641122', '570724196443/41488245282244', '152238897360/10372061320561', '323611440237/20744122641122', '685528459567/41488245282244', '723874743643/41488245282244', '762264180333/41488245282244', '800699249125/41488245282244', '419591231901/20744122641122', '438858187337/20744122641122', '916303571593/41488245282244', '238736671418/10372061320561', '993648392397/41488245282244', '1032411414809/41488245282244', '535619262867/20744122641122', '277533137836/10372061320561', '574548187407/20744122641122', '297033234787/10372061320561', '306811312829/10372061320561', '1266436386605/41488245282244', '1305709492193/41488245282244', '1345067792061/41488245282244', '1384514592311/41488245282244', '712026642835/20744122641122', '1463687357577/41488245282244', '1503420392739/41488245282244', '385814020252/10372061320561', '791599112529/20744122641122', '1623250748709/41488245282244', '1663417704825/41488245282244', '425925821332/10372061320561', '1744111832131/41488245282244', '1784647848161/41488245282244']
['5926192151761/380878299323695', '6019855169859/380878299323695', '6113628240917/380878299323695', '1241500172541/76175659864739', '6301464538807/380878299323695', '6395512336771/380878299323695', '1297927711293/76175659864739', '6583838483057/380878299323695', '6678108193413/380878299323695', '6772444408561/380878299323695', '6866844376731/380878299323695', '6961305781317/380878299323695', '7055826665119/380878299323695', '1430081074499/76175659864739', '7245040498339/380878299323695', '1467946169747/76175659864739', '7434475406869/380878299323695', '7529273305413/380878299323695', '7624123801409/380878299323695', '7719026256123/380878299323695', '7813980120359/380878299323695', '7908984909153/380878299323695', '8004040204409/380878299323695', '8099145620367/380878299323695', '8194300815119/380878299323695', '8289505457497/380878299323695', '8384759234951/380878299323695', '8480061827733/380878299323695', '8575412908973/380878299323695', '8670812126407/380878299323695', '8766259093087/380878299323695', '1772350674777/76175659864739', '1791458893995/76175659864739', '9052881802309/380878299323695', '9148514692391/380878299323695', '9244192340123/380878299323695', '9339913795223/380878299323695', '9435677927133/380878299323695', '1906296676735/76175659864739', '1925465708669/76175659864739', '9723211454031/380878299323695', '9819129756437/380878299323695', '9915080582931/380878299323695', '10011060429781/380878299323695', '10107064980853/380878299323695', '10203088870723/380878299323695', '10299125347959/380878299323695']
['2977370301991/190496138811865', '3023619728103/190496138811865', '613985462061/38099227762373', '3116287392133/190496138811865', '632539082127/38099227762373', '641829514861/38099227762373', '651128157857/38099227762373', '3302172435537/190496138811865', '3348740361281/190496138811865', '3395342711933/190496138811865', '688395592367/38099227762373', '3488644772587/190496138811865', '3535342046081/190496138811865', '3582068800831/190496138811865', '3628824236713/190496138811865', '735121524577/38099227762373', '3722418369933/190496138811865', '3769255924297/190496138811865', '3816119845701/190496138811865', '3863009705321/190496138811865', '3909925167737/190496138811865', '3956865888567/190496138811865', '4003831603243/190496138811865', '4050822021273/190496138811865', '4097836919251/190496138811865', '4144876036077/190496138811865', '4191939163519/190496138811865', '4239026045779/190496138811865', '4286136466353/190496138811865', '4333270149867/190496138811865', '4380426846227/190496138811865', '4427606233371/190496138811865', '4474807998239/190496138811865', '904406347733/38099227762373', '913855408383/38099227762373', '4616543382711/190496138811865', '4663830198413/190496138811865', '4711136781453/190496138811865', '4758462347869/190496138811865', '4805805920867/190496138811865', '4853166388743/190496138811865', '4900542371893/190496138811865', '4947932261779/190496138811865', '4995334059401/190496138811865', '5042745375741/190496138811865', '5090163213829/190496138811865', '5137583887391/190496138811865']
['498567788137/31758514570747', '3037081631701/190551087424482', '513802980142/31758514570747', '521434911158/31758514570747', '529075244261/31758514570747', '1610169903745/95275543712241', '1633135552930/95275543712241', '8428098021/484862817874', '559708610815/31758514570747', '1702148253382/95275543712241', '575062553682/31758514570747', '1748243317309/95275543712241', '3542629176703/190551087424482', '3588801854465/190551087424482', '1211667907041/63517029141494', '1840616976490/95275543712241', '3727491830497/190551087424482', '628962786930/31758514570747', '636681344757/31758514570747', '3866425373887/190551087424482', '1956394096763/95275543712241', '1319725373983/63517029141494', '4005588791053/190551087424482', '4052025853891/190551087424482', '4098486986749/190551087424482', '2072485936814/95275543712241', '4191480207029/190551087424482', '706335279302/31758514570747', '2142282981230/95275543712241', '721857122232/31758514570747', '1459247211261/63517029141494', '2212181138738/95275543712241', '2235502119901/95275543712241', '2258833523162/95275543712241', '2282175080942/95275543712241', '2305526488364/95275543712241', '2328887395594/95275543712241', '2352257397787/95275543712241', '4751272048379/190551087424482', '2399022723497/95275543712241', '807472282179/31758514570747', '4891635248003/190551087424482', '4938448277087/190551087424482', '2492635287623/95275543712241', '5032099471543/190551087424482', '5078931697613/190551087424482', '854293867777/31758514570747']
['429321898237/27229309184413', '3050359704101/190605164290891', '3095530836147/190605164290891', '3140760313015/190605164290891', '3186042839003/190605164290891', '3231374057913/190605164290891', '3276750280099/190605164290891', '474595491465/27229309184413', '3367625896899/190605164290891', '3413120442789/190605164290891', '3458650143461/190605164290891', '3504213377239/190605164290891', '507115528453/27229309184413', '3595434896631/190605164290891', '3641090868579/190605164290891', '3686775692755/190605164290891', '3732488512971/190605164290891', '3778228612967/190605164290891', '546285044509/27229309184413', '3869788037869/190605164290891', '3915606232947/190605164290891', '3961449425715/190605164290891', '4007317139109/190605164290891', '82718550305/3889901312059', '585589210557/27229309184413', '4145063290919/190605164290891', '4191025003407/190605164290891', '4237009240643/190605164290891', '611859368385/27229309184413', '4329043620889/190605164290891', '4375092901979/190605164290891', '631594709573/27229309184413', '4467253273173/190605164290891', '4513363268613/190605164290891', '4559492289137/190605164290891', '4605639634241/190605164290891', '4651804459935/190605164290891', '4697985847827/190605164290891', '96820054901/3889901312059', '4790393750873/190605164290891', '4836617535697/190605164290891', '4882852337707/190605164290891', '4929096085409/190605164290891', '710763765351/27229309184413', '5021600188539/190605164290891', '5067854027389/190605164290891', '730586207643/27229309184413']
['1509442853041/95328688793490', '612686088791/38131475517396', '1554021676301/95328688793490', '1576358828771/95328688793490', '1065815914813/63552459195660', '270185743694/15888114798915', '1643528626079/95328688793490', '222128625853/12710491839132', '187602360313/10592076532610', '1710897054247/95328688793490', '693356431451/38131475517396', '1755902407867/95328688793490', '19760336133/1059207653261', '1200649280491/63552459195660', '3647065615601/190657377586980', '410245861773/21184153065220', '1868694155929/95328688793490', '315215952874/15888114798915', '212656742239/10592076532610', '107585483247/5296038266305', '3918358912297/190657377586980', '330305443429/15888114798915', '111361002197/5296038266305', '4054350669059/190657377586980', '4099728596867/190657377586980', '1381709793583/63552459195660', '209527627229/9532868879349', '1058999402398/47664344396745', '356788673908/15888114798915', '1081737867233/47664344396745', '485828802297/21184153065220', '4417986770309/190657377586980', '1487844499453/63552459195660', '300606581755/12710491839132', '1138670425597/47664344396745', '2300140793261/95328688793490', '929179486213/38131475517396', '4691528159629/190657377586980', '1579057513273/63552459195660', '797138191939/31776229597830', '536499594089/21184153065220', '4874172200063/190657377586980', '4919854445069/190657377586980', '551726710483/21184153065220', '5011226832643/190657377586980', '5056909876357/190657377586980', '1275646194809/47664344396745']
['3032354076875/190708854132903', '3076342243217/190708854132903', '3120402202973/190708854132903', '1054842256683/63569618044301', '3208710004145/190708854132903', '3252946874579/190708854132903', '3297233173315/190708854132903', '3341565276865/190708854132903', '3385940127725/190708854132903', '1143451683527/63569618044301', '1158269258257/63569618044301', '1173098760499/63569618044301', '1187939616465/63569618044301', '3608373923153/190708854132903', '3652960172095/190708854132903', '3697576371125/190708854132903', '3742221469757/190708854132903', '3786894479959/190708854132903', '1277198183633/63569618044301', '3876320862817/190708854132903', '3921072705659/190708854132903', '1321949791381/63569618044301', '4010650252255/190708854132903', '4055474708113/190708854132903', '1366774059455/63569618044301', '4145192069153/190708854132903', '4190083836031/190708854132903', '1411665628915/63569618044301', '4279930663027/190708854132903', '4324884540331/190708854132903', '4369857909221/190708854132903', '4414850075119/190708854132903', '1486620112139/63569618044301', '1501629293877/63569618044301', '4549931865845/190708854132903', '1531663767383/63569618044301', '1546688377703/63569618044301', '1561717372243/63569618044301', '1576750296213/63569618044301', '4775359836401/190708854132903', '4820477149927/190708854132903', '1621866891905/63569618044301', '4910727943679/190708854132903', '4955855989721/190708854132903', '1666993779437/63569618044301', '1682033254039/63569618044301', '5091206178559/190708854132903']
['234279142730/14673740166099', '441295240831/27251231737041', '240967687984/14673740166099', '3176161090288/190758622159287', '3219803816582/190758622159287', '1087834267615/63586207386429', '3307253532746/190758622159287', '36824748872/2096248595157', '3394895330168/190758622159287', '3438780214054/190758622159287', '1160901435979/63586207386429', '3526665435275/190758622159287', '3570661684927/190758622159287', '3614691369743/190758622159287', '3658752992728/190758622159287', '3702845217272/190758622159287', '3746966843987/190758622159287', '3791116788539/190758622159287', '3835294064608/190758622159287', '3879497766853/190758622159287', '186844145678/9083743912347', '3967981158901/190758622159287', '573179904217/27251231737041', '4056560866697/190758622159287', '4100885090114/190758622159287', '4145231335213/190758622159287', '1396532980490/63586207386429', '4233987245213/190758622159287', '329107351553/14673740166099', '4322823216988/190758622159287', '4367269453733/190758622159287', '70027515942/3027914637449', '4456214536979/190758622159287', '115402862801/4891246722033', '4545223853809/190758622159287', '4589750059222/190758622159287', '1544763016493/63586207386429', '1559613152891/63586207386429', '524822193494/21195402462143', '681138305123/27251231737041', '687506088587/27251231737041', '4857120856283/190758622159287', '4901700121687/190758622159287', '1648759073405/63586207386429', '4990848368432/190758622159287', '43037684134/1630415574011', '5079953781551/190758622159287']
['1019587605725/63602590339917', '1033884866495/63602590339917', '1048208532401/63602590339917', '3187667912683/190807771019751', '3230774861923/190807771019751', '121257067751/7066954482213', '3317160982751/190807771019751', '3360431221429/190807771019751', '3403747961983/190807771019751', '3447108139007/190807771019751', '3490509033835/190807771019751', '3533948305657/190807771019751', '3577423846675/190807771019751', '3620933832173/190807771019751', '3664476591935/190807771019751', '3708050672521/190807771019751', '3751654719493/190807771019751', '3795287546779/190807771019751', '1279649342257/63602590339917', '1294211721277/63602590339917', '3926347989937/190807771019751', '1323361880033/63602590339917', '1337949084095/63602590339917', '1352544014929/63602590339917', '4101439214899/190807771019751', '51176148433/2355651494071', '4189117686847/190807771019751', '1410995822255/63602590339917', '4276876563077/190807771019751', '480087132943/21200863446639', '1454903169005/63602590339917', '4408651632247/190807771019751', '1484203201213/63602590339917', '4496582422663/190807771019751', '504507661465/21200863446639', '199329043177/8295990044337', '4628578160749/190807771019751', '4672597960103/190807771019751', '4716625656725/190807771019751', '4760659332175/190807771019751', '4804696744525/190807771019751', '1616245121077/63602590339917', '1630924067947/63602590339917', '1645601276563/63602590339917', '4980826139183/190807771019751', '62034991423/2355651494071', '62578055205/2355651494071']
['409562768969/25447379530451', '6228144477979/381710692956765', '6313013497351/381710692956765', '6398032006423/381710692956765', '6483186000937/381710692956765', '6568463574413/381710692956765', '1330770907153/76342138591353', '6739350108923/381710692956765', '6824942691797/381710692956765', '2303541887819/127236897652255', '6996393224509/381710692956765', '7082240270173/381710692956765', '7168162281833/381710692956765', '2418051746253/127236897652255', '7340215543157/381710692956765', '7426339958021/381710692956765', '7512525551419/381710692956765', '7598769652057/381710692956765', '512337987221/25447379530451', '2590474583967/127236897652255', '1571565873827/76342138591353', '7944284669609/381710692956765', '2676929254291/127236897652255', '1623467367131/76342138591353', '2734643374177/127236897652255', '8290565898313/381710692956765', '558482829313/25447379530451', '8463958020061/381710692956765', '8550710877443/381710692956765', '2879166399329/127236897652255', '8724321090169/381710692956765', '1762234911971/76342138591353', '1779611496439/76342138591353', '2994989190329/127236897652255', '9071902341437/381710692956765', '9158859071509/381710692956765', '9245834752763/381710692956765', '3110942011669/127236897652255', '1883965831819/76342138591353', '9506839877713/381710692956765', '9593853355367/381710692956765', '9680864050009/381710692956765', '1953573112189/76342138591353', '9854850439273/381710692956765', '9941809943299/381710692956765', '10028733720731/381710692956765', '674373958759/25447379530451']
['771139660141/47725601147427', '781593343484/47725601147427', '264022925624/15908533715809', '38217323187/2272647673687', '813076542407/47725601147427', '823605469040/47725601147427', '556099483799/31817067431618', '563137761331/31817067431618', '285092237245/15908533715809', '288619514805/15908533715809', '1752902736889/95451202294854', '295684830381/15908533715809', '897667308443/47725601147427', '259511219945/13635886042122', '1837839783895/95451202294854', '929558727493/47725601147427', '1880410761685/95451202294854', '950859479176/47725601147427', '961520690318/47725601147427', '324062898247/15908533715809', '93606019505/4545295347374', '1987087875641/95451202294854', '2008461271183/95451202294854', '2029846077649/95451202294854', '683747270497/31817067431618', '148046284093/6817943021061', '2094064102259/95451202294854', '1057744845076/47725601147427', '2136924257635/95451202294854', '719455761505/31817067431618', '726606084231/31817067431618', '366879432246/15908533715809', '370456954340/15908533715809', '2244213003559/95451202294854', '8268940690/348362052171', '1143585599593/47725601147427', '384776089605/15908533715809', '388357472318/15908533715809', '1175817536153/47725601147427', '339018012095/13635886042122', '1197308285386/47725601147427', '2416105020673/95451202294854', '1218794861267/47725601147427', '351295523713/13635886042122', '1240269763459/47725601147427', '1250999769178/47725601147427', '2523445429511/95451202294854']
['6194470471549/381896013076385', '6277037264303/381896013076385', '6359785902093/381896013076385', '1288539664363/76379202615277', '1305151830589/76379202615277', '6608955226987/381896013076385', '6692275192091/381896013076385', '6775709202983/381896013076385', '6859248673987/381896013076385', '1388577215085/76379202615277', '7026614769789/381896013076385', '7110428873863/381896013076385', '7194323146409/381896013076385', '7278292891757/381896013076385', '7362333880983/381896013076385', '7446442281983/381896013076385', '7530614602437/381896013076385', '7614847637537/381896013076385', '7699138427821/381896013076385', '7783484217243/381896013076385', '7867882422393/381896013076385', '7952330596663/381896013076385', '8036826404493/381896013076385', '8121367597467/381896013076385', '8205951976359/381896013076385', '8290577389777/381896013076385', '1675048336737/76379202615277', '8459942700113/381896013076385', '8544678239279/381896013076385', '8629446040207/381896013076385', '8714243753071/381896013076385', '1759813781869/76379202615277', '8883918891999/381896013076385', '8968790898421/381896013076385', '9053681902343/381896013076385', '9138588606967/381896013076385', '9223507393303/381896013076385', '9308434256947/381896013076385', '1878672947251/76379202615277', '9478293822739/381896013076385', '9563215856133/381896013076385', '1929624878533/76379202615277', '102452758367/4019958032383', '9817870277417/381896013076385', '9902689151089/381896013076385', '9987456987473/381896013076385', '10072159930917/381896013076385']
['345534458347/21221464307163', '3150565137587/190993178764467', '3191415119675/190993178764467', '359150077645/21221464307163', '3273363825131/190993178764467', '1104815874299/63664392921489', '124281337023/7073821435721', '3396804086933/190993178764467', '3438067018055/190993178764467', '3479380920415/190993178764467', '3520742237153/190993178764467', '3562147850501/190993178764467', '156678040427/8304051250629', '3645080976785/190993178764467', '3686603689679/190993178764467', '3728161021211/190993178764467', '3769751056081/190993178764467', '3811372075885/190993178764467', '3853022444599/190993178764467', '3894700679909/190993178764467', '1312135114493/63664392921489', '3978135115195/190993178764467', '1339962895735/63664392921489', '4061664843709/190993178764467', '4103462347513/190993178764467', '4145280033877/190993178764467', '4187116688915/190993178764467', '1409657047609/63664392921489', '158179339161/7073821435721', '4312728507119/190993178764467', '63110563379/2768017083543', '162834885915/7073821435721', '4438466185445/190993178764467', '4480400156557/190993178764467', '4522342154819/190993178764467', '1521430134851/63664392921489', '1535414304385/63664392921489', '4648197531589/190993178764467', '4690151822605/190993178764467', '4732103108011/190993178764467', '4774048320913/190993178764467', '1605328010231/63664392921489', '4857906266149/190993178764467', '544423389559/21221464307163', '4941691451525/190993178764467', '184575664873/7073821435721', '5025357684943/190993178764467']
['6244471656129/382073992030243', '6324935152399/382073992030243', '6405596649151/382073992030243', '6486436653851/382073992030243', '6567438458863/382073992030243', '6648587653497/382073992030243', '6729871731695/382073992030243', '6811279780637/382073992030243', '6892802223427/382073992030243', '6974430611927/382073992030243', '7056157454005/382073992030243', '7137976071577/382073992030243', '7219880479049/382073992030243', '7301865285309/382073992030243', '7383925605651/382073992030243', '7466056990061/382073992030243', '7548255359517/382073992030243', '7630516951793/382073992030243', '7712838272275/382073992030243', '7795216052555/382073992030243', '7877647211843/382073992030243', '7960128822369/382073992030243', '8042658075299/382073992030243', '8125232261889/382073992030243', '8207848720839/382073992030243', '8290504848779/382073992030243', '8373198032385/382073992030243', '8455925656183/382073992030243', '8538685053393/382073992030243', '8621473489395/382073992030243', '8704288126131/382073992030243', '8787125993489/382073992030243', '8869983951775/382073992030243', '8952858654105/382073992030243', '9035746501693/382073992030243', '9118643594607/382073992030243', '9201545671919/382073992030243', '9284448046807/382073992030243', '9367345524213/382073992030243', '9450232307343/382073992030243', '9533101882405/382073992030243', '9615946880141/382073992030243', '108974819129/4292966202587', '9781528311449/382073992030243', '9864243956999/382073992030243', '9946892833095/382073992030243', '10029459625849/382073992030243']
['1567287984870/95540229238901', '1587143437603/95540229238901', '1607050461147/95540229238901', '1627003994190/95540229238901', '1646999706568/95540229238901', '1667033828776/95540229238901', '1687103102305/95540229238901', '1707204652694/95540229238901', '1727335972738/95540229238901', '1747494822213/95540229238901', '1767679231375/95540229238901', '1787887417373/95540229238901', '1808117800581/95540229238901', '1828368932066/95540229238901', '1848639518024/95540229238901', '1868928354580/95540229238901', '1889234357778/95540229238901', '1909556503045/95540229238901', '1929893859033/95540229238901', '1950245530257/95540229238901', '1970610693295/95540229238901', '1990988541906/95540229238901', '2011378323595/95540229238901', '2031779289319/95540229238901', '2052190725024/95540229238901', '2072611908988/95540229238901', '2093042139294/95540229238901', '2113480690669/95540229238901', '2133926846787/95540229238901', '2154379850334/95540229238901', '2174838939649/95540229238901', '2195303294956/95540229238901', '2215772074667/95540229238901', '2236244359544/95540229238901', '2256719186964/95540229238901', '2277195491784/95540229238901', '2297672137354/95540229238901', '2318147851802/95540229238901', '2338621253416/95540229238901', '2359090779782/95540229238901', '2379554704678/95540229238901', '2400011055391/95540229238901', '2420457615646/95540229238901', '2440891823835/95540229238901', '2461310751378/95540229238901', '2481710967698/95540229238901', '2502088473930/95540229238901']
['11002715194/668261024401', '3185971586715/191122652978686', '1612636910714/95561326489343', '1632336408317/95561326489343', '127083060429/7350871268411', '3343726272125/191122652978686', '3383366099791/191122652978686', '3423073067705/191122652978686', '3462841894051/191122652978686', '134717995916/7350871268411', '3542546890397/191122652978686', '1791237570594/95561326489343', '1811224637813/95561326489343', '3662466241325/191122652978686', '1851261630007/95561326489343', '1871308893929/95561326489343', '343886134757/17374786634426', '1911455086175/95561326489343', '1931551916665/95561326489343', '3903326562665/191122652978686', '358506960065/17374786634426', '1991926055577/95561326489343', '4024151561587/191122652978686', '184748787042/8687393317213', '4104815798905/191122652978686', '4145177472409/191122652978686', '4185556788005/191122652978686', '325073245885/14701742536822', '4266362119083/191122652978686', '2153392469236/95561326489343', '167200730005/7350871268411', '2193831247250/95561326489343', '2214056819302/95561326489343', '406233677621/17374786634426', '4509030842313/191122652978686', '4549492539263/191122652978686', '2294976541075/95561326489343', '4630409773183/191122652978686', '4670859637485/191122652978686', '4711299371417/191122652978686', '2375862641014/95561326489343', '2396066606481/95561326489343', '4832518454849/191122652978686', '221494346938/8687393317213', '2456599283448/95561326489343', '4953480095281/191122652978686', '2496855921708/95561326489343']
['3158905635247/191164556357027', '3197586782483/191164556357027', '3236379271673/191164556357027', '3275272358285/191164556357027', '3314256697943/191164556357027', '3353324201415/191164556357027', '3392467742955/191164556357027', '3431681095627/191164556357027', '93809694757/5166609631271', '3510295681075/191164556357027', '3549687602863/191164556357027', '3589130547865/191164556357027', '3628620929751/191164556357027', '3668155537811/191164556357027', '3707731398281/191164556357027', '3747345827415/191164556357027', '3786996303535/191164556357027', '3826680529489/191164556357027', '3866396314291/191164556357027', '3906141639931/191164556357027', '3945914549123/191164556357027', '3985713217957/191164556357027', '365957803831/17378596032457', '4065380721493/191164556357027', '4105246135119/191164556357027', '4145130440393/191164556357027', '4185031941437/191164556357027', '4224948986561/191164556357027', '4264879846137/191164556357027', '4304822795959/191164556357027', '35907239715/1579872366587', '4384737611175/191164556357027', '4424705604893/191164556357027', '4464677903663/191164556357027', '4504652231905/191164556357027', '4544626185545/191164556357027', '4584597107529/191164556357027', '4624562141345/191164556357027', '4664518094877/191164556357027', '4704461480855/191164556357027', '4744388360201/191164556357027', '4784294360401/191164556357027', '4824174489687/191164556357027', '4864023116377/191164556357027', '4903833733147/191164556357027', '449418079281/17378596032457', '4983309777557/191164556357027']
['3170902552644/191205266255527', '3209074675407/191205266255527', '3247362225149/191205266255527', '3285754115393/191205266255527', '3324240722621/191205266255527', '3362813646191/191205266255527', '3401465512265/191205266255527', '3440189814793/191205266255527', '3478980783462/191205266255527', '3517833275306/191205266255527', '3556742683020/191205266255527', '3595704859232/191205266255527', '3634716051027/191205266255527', '3673772845402/191205266255527', '3712872121466/191205266255527', '3752011010058/191205266255527', '3791186857701/191205266255527', '3830397195879/191205266255527', '3869639713009/191205266255527', '3908912230124/191205266255527', '3948212678220/191205266255527', '3987539079287/191205266255527', '4026889522804/191205266255527', '4066262159419/191205266255527', '4105655164409/191205266255527', '4145066747517/191205266255527', '4184495109785/191205266255527', '4223938450191/191205266255527', '4263394933673/191205266255527', '4302862683057/191205266255527', '4342339756602/191205266255527', '4381824130750/191205266255527', '4421313678132/191205266255527', '4460806144915/191205266255527', '4500299124182/191205266255527', '4539790027122/191205266255527', '4579276048557/191205266255527', '4618754128473/191205266255527', '4658220905772/191205266255527', '4697672664847/191205266255527', '4737105270613/191205266255527', '4776514091834/191205266255527', '4815893906220/191205266255527', '4855238785405/191205266255527', '4894541950459/191205266255527', '4933795590951/191205266255527', '4972990632182/191205266255527']
['397855019830/23905717345883', '1610252423317/95622869383532', '1629144565227/95622869383532', '412022697577/23905717345883', '1667086146699/95622869383532', '1686126277225/95622869383532', '426301842486/23905717345883', '1724326030853/95622869383532', '1743479264919/95622869383532', '881332186999/47811434691766', '890939479137/47811434691766', '1801120830119/95622869383532', '1820388028157/95622869383532', '459919685697/23905717345883', '464747834540/23905717345883', '469581071245/23905717345883', '948838094443/47811434691766', '479261431938/23905717345883', '1936431683757/95622869383532', '488958221222/23905717345883', '1975248238891/95622869383532', '997338338831/47811434691766', '2014117191079/95622869383532', '1016784388821/47811434691766', '2053030471335/95622869383532', '1036250650557/47811434691766', '1045990157011/47811434691766', '1055733266379/47811434691766', '532739746314/23905717345883', '2150456654121/95622869383532', '2169958511003/95622869383532', '2189463461937/95622869383532', '2208970381491/95622869383532', '2228478055055/95622869383532', '1123992605751/47811434691766', '1133745230779/47811434691766', '1143496163255/47811434691766', '576622293050/23905717345883', '1162989615659/47811434691766', '2345460529457/95622869383532', '2364930898953/95622869383532', '1192193946133/47811434691766', '1201914390463/47811434691766', '605812612530/23905717345883', '2442649372571/95622869383532', '1231010734899/47811434691766', '620340510854/23905717345883']
['399331369349/23910635176369', '807953271661/47821270352738', '3269098849877/191285081410952', '1653248270087/95642540705476', '835998985383/47821270352738', '3381588087903/191285081410952', '1709632534845/95642540705476', '1728509936871/95642540705476', '873711562847/47821270352738', '883184651809/47821270352738', '1785345953815/95642540705476', '3608701601187/191285081410952', '3646763552825/191285081410952', '3684873986377/191285081410952', '3723029435809/191285081410952', '3761226701705/191285081410952', '3799462815175/191285081410952', '3837735003803/191285081410952', '3876040663253/191285081410952', '3914377330585/191285081410952', '3952742660779/191285081410952', '1995567202897/95642540705476', '4029550389857/191285081410952', '1016997125551/47821270352738', '1026611664593/47821270352738', '2072461404707/95642540705476', '4183414897279/191285081410952', '4221920859531/191285081410952', '4260438596979/191285081410952', '2149482981573/95642540705476', '2168750370583/95642540705476', '2188020312151/95642540705476', '1103645798277/47821270352738', '556640736219/23910635176369', '1122916497803/47821270352738', '4530200576685/191285081410952', '1142181623075/47821270352738', '4607240309317/191285081410952', '4645738276219/191285081410952', '4684216261139/191285081410952', '4722669685721/191285081410952', '4761093443393/191285081410952', '2399740901297/95642540705476', '1209457071841/47821270352738', '4876125530625/191285081410952', '4914365089305/191285081410952', '1238134303017/47821270352738']
['3206412886305/191324231717833', '3243073734287/191324231717833', '3279862320667/191324231717833', '3316766666269/191324231717833', '3353776241831/191324231717833', '3390881828441/191324231717833', '3428075228935/191324231717833', '3465349203337/191324231717833', '3502697241617/191324231717833', '3540113547069/191324231717833', '3577592849013/191324231717833', '3615130417075/191324231717833', '3652721900563/191324231717833', '3690363363517/191324231717833', '3728051141799/191324231717833', '3765781892179/191324231717833', '3803552462003/191324231717833', '3841359947345/191324231717833', '3879201571481/191324231717833', '3917074749447/191324231717833', '3954976971675/191324231717833', '3992905875153/191324231717833', '4030859124795/191324231717833', '4068834498559/191324231717833', '4106829755767/191324231717833', '4144842737359/191324231717833', '4182871228975/191324231717833', '4220913057031/191324231717833', '4258965963353/191324231717833', '4297027686123/191324231717833', '4335095844273/191324231717833', '4373168008811/191324231717833', '4411241587309/191324231717833', '4449313889799/191324231717833', '4487382008291/191324231717833', '4525442875813/191324231717833', '4563493137811/191324231717833', '4601529201457/191324231717833', '4639547093771/191324231717833', '4677542496185/191324231717833', '4715510583119/191324231717833', '4753446032721/191324231717833', '4791342834833/191324231717833', '4829194263963/191324231717833', '4866992636763/191324231717833', '4904729221475/191324231717833', '4942393909469/191324231717833']
['3218051596070/191362306315323', '3254216058890/191362306315323', '3290512263019/191362306315323', '1108975975542/63787435438441', '1121150757445/63787435438441', '1133358598552/63787435438441', '3436790071940/191362306315323', '3473587597829/191362306315323', '3510461658355/191362306315323', '3547406216336/191362306315323', '3584415817417/191362306315323', '3621485511394/191362306315323', '3658610783200/191362306315323', '3695787494665/191362306315323', '30851337466/1581506663763', '1256760089685/63787435438441', '292891501046/14720177408871', '3844936487888/191362306315323', '3882318290311/191362306315323', '3919732169488/191362306315323', '3957175498429/191362306315323', '3994645754432/191362306315323', '4032140489593/191362306315323', '1356552441953/63787435438441', '4107193912687/191362306315323', '28984251299/1338197946261', '4182317070881/191362306315323', '4219898988295/191362306315323', '4257491317000/191362306315323', '110130554749/4906725802957', '4332697444054/191362306315323', '397300558868/17396573301393', '133573182648/5798857767131', '1481840405685/63787435438441', '4483121671051/191362306315323', '1506904377552/63787435438441', '1519430698361/63787435438441', '4595854758262/191362306315323', '1544465659291/63787435438441', '4670914206727/191362306315323', '4708401423806/191362306315323', '4745853052075/191362306315323', '13177032665/527168887921', '4820623827233/191362306315323', '4857928020851/191362306315323', '1631722128136/63787435438441', '1644109505420/63787435438441']
['1076550111605/63800075362873', '3265319421917/191400226088619', '3301124313917/191400226088619', '3337052426227/191400226088619', '1124364244435/63800075362873', '3409235443921/191400226088619', '3445471905125/191400226088619', '1160598116175/63800075362873', '3518195852533/191400226088619', '3554670137255/191400226088619', '3591211562747/191400226088619', '3627814956097/191400226088619', '3664475635615/191400226088619', '3701189257997/191400226088619', '3737951859841/191400226088619', '3774759720647/191400226088619', '3811609414315/191400226088619', '3848497682989/191400226088619', '3885421497451/191400226088619', '1307459312191/63800075362873', '3959364252877/191400226088619', '1332125920189/63800075362873', '4033415896085/191400226088619', '4070476121627/191400226088619', '4107555973885/191400226088619', '1381550993255/63800075362873', '1393921567345/63800075362873', '4218888651173/191400226088619', '4256022340369/191400226088619', '1431054394649/63800075362873', '4330308562175/191400226088619', '4367455708409/191400226088619', '4404601775051/191400226088619', '4441743715325/191400226088619', '4478878343045/191400226088619', '1505334069239/63800075362873', '1517703882381/63800075362873', '4590202650251/191400226088619', '4627270897993/191400226088619', '4664311610887/191400226088619', '4701319569467/191400226088619', '4738288937819/191400226088619', '4775213255105/191400226088619', '4812085218697/191400226088619', '4848896628005/191400226088619', '1628546034901/63800075362873', '4922298952685/191400226088619']
