['0', '15796439/8471001506', '31595477/8471001506', '4309069/770091046', '63211897/8471001506', '79034519/8471001506', '94870319/8471001506', '110721967/8471001506', '126592175/8471001506', '142483719/8471001506', '158399389/8471001506', '174342015/8471001506', '190314585/8471001506', '206319875/8471001506', '222361171/8471001506', '238441403/8471001506', '254563869/8471001506', '270731817/8471001506', '286948697/8471001506', '303218013/8471001506', '319543421/8471001506', '335928741/8471001506', '352377931/8471001506', '368895137/8471001506', '385484709/8471001506', '36559201/770091046', '418899449/8471001506', '435734543/8471001506', '452661897/8471001506', '469687265/8471001506', '486816863/8471001506', '504057337/8471001506', '521415897/8471001506']
['56770003/4649201591', '61947909/4649201591', '67130250/4649201591', '72317492/4649201591', '77509949/4649201591', '82708084/4649201591', '87912257/4649201591', '93122912/4649201591', '98340421/4649201591', '103565262/4649201591', '108797802/4649201591', '114038527/4649201591', '119287846/4649201591', '124546238/4649201591', '129814128/4649201591', '135092042/4649201591', '140380379/4649201591', '145679754/4649201591', '150990513/4649201591', '156313321/4649201591', '161648599/4649201591', '166996972/4649201591', '172358927/4649201591', '177735103/4649201591', '183126062/4649201591', '188532436/4649201591', '193954823/4649201591', '199393938/4649201591', '204850398/4649201591', '210324965/4649201591', '215818335/4649201591', '221331308/4649201591', '226864636/4649201591']
['79962637/6223238701', '86650427/6223238701', '280032253/18669716103', '300132289/18669716103', '106750937/6223238701', '340395257/18669716103', '120187045/6223238701', '380751929/18669716103', '133656377/6223238701', '421214317/18669716103', '441489037/18669716103', '461794865/18669716103', '160711149/6223238701', '167502139/6223238701', '522915451/18669716103', '543362317/18669716103', '563848529/18669716103', '194792171/6223238701', '604947151/18669716103', '625563215/18669716103', '646226051/18669716103', '666937921/18669716103', '687700759/18669716103', '708516689/18669716103', '243129285/6223238701', '750316469/18669716103', '771304819/18669716103', '264118433/6223238701', '813470363/18669716103', '834652525/18669716103', '855904465/18669716103', '15389981/327538879', '299542905/6223238701']
['125945497/9368299771', '135672113/9368299771', '145407457/9368299771', '155152025/9368299771', '164906659/9368299771', '174671833/9368299771', '184448393/9368299771', '194236893/9368299771', '204038135/9368299771', '213852707/9368299771', '223681467/9368299771', '12290789/493068409', '243384151/9368299771', '253259605/9368299771', '263152205/9368299771', '273062675/9368299771', '282991715/9368299771', '292940555/9368299771', '302909409/9368299771', '312899687/9368299771', '322911953/9368299771', '332947191/9368299771', '343006401/9368299771', '18583705/493068409', '363200275/9368299771', '373336953/9368299771', '383501561/9368299771', '393695059/9368299771', '403918703/9368299771', '414173477/9368299771', '424460721/9368299771', '434781549/9368299771', '445137361/9368299771']
['263144617/18796984459', '282021715/18796984459', '300915781/18796984459', '319827983/18796984459', '338759577/18796984459', '357711763/18796984459', '376685777/18796984459', '395682895/18796984459', '414704383/18796984459', '433751515/18796984459', '452825645/18796984459', '42902553/1708816769', '491060179/18796984459', '510223347/18796984459', '529418955/18796984459', '548648641/18796984459', '51628465/1708816769', '587215397/18796984459', '606555163/18796984459', '625935495/18796984459', '58668827/1708816769', '17968163/508026607', '684331839/18796984459', '703888285/18796984459', '723493119/18796984459', '743148231/18796984459', '762855475/18796984459', '71146981/1708816769', '802434219/18796984459', '822309813/18796984459', '842245729/18796984459', '862244217/18796984459', '23846151/508026607']
['136864107/9426348643', '146030759/9426348643', '155205621/9426348643', '164389401/9426348643', '173582497/9426348643', '182785659/9426348643', '191999257/9426348643', '201224055/9426348643', '210460477/9426348643', '219709271/9426348643', '228970883/9426348643', '238246099/9426348643', '247535367/9426348643', '256839479/9426348643', '266158935/9426348643', '275494683/9426348643', '284846725/9426348643', '294216827/9426348643', '303604515/9426348643', '313011439/9426348643', '322437749/9426348643', '331884533/9426348643', '341352337/9426348643', '350842143/9426348643', '360354587/9426348643', '369890671/9426348643', '379451107/9426348643', '389036917/9426348643', '398648865/9426348643', '408288079/9426348643', '417955333/9426348643', '427651825/9426348643', '437378441/9426348643']
['141841772/9451605137', '150750825/9451605137', '159667984/9451605137', '168593743/9451605137', '177528613/9451605137', '14344087/727046549', '195427805/9451605137', '204393179/9451605137', '213369787/9451605137', '222358186/9451605137', '231358918/9451605137', '240372569/9451605137', '249399699/9451605137', '258440896/9451605137', '267496712/9451605137', '276568016/9451605137', '285654770/9451605137', '294758582/9451605137', '303879114/9451605137', '313017748/9451605137', '322174744/9451605137', '331350996/9451605137', '340547105/9451605137', '349763859/9451605137', '359001971/9451605137', '368262214/9451605137', '377545366/9451605137', '386852250/9451605137', '396183679/9451605137', '405540537/9451605137', '414923692/9451605137', '424334063/9451605137', '33367124/727046549']
['13321657/861366469', '155203453/9475031159', '163876705/9475031159', '172558213/9475031159', '181248653/9475031159', '189948309/9475031159', '198657879/9475031159', '207377637/9475031159', '216108287/9475031159', '224850157/9475031159', '233603919/9475031159', '242369933/9475031159', '251148919/9475031159', '259941221/9475031159', '268747485/9475031159', '277568457/9475031159', '286404141/9475031159', '295255905/9475031159', '304123645/9475031159', '313008393/9475031159', '321910593/9475031159', '330830903/9475031159', '339770029/9475031159', '348728525/9475031159', '357707237/9475031159', '366706669/9475031159', '375727727/9475031159', '384770989/9475031159', '393837371/9475031159', '402927483/9475031159', '412042341/9475031159', '421182551/9475031159', '430349203/9475031159']
['150968893/9496351100', '159402739/9496351100', '167844307/9496351100', '17629399/949635110', '92376119/4748175550', '96609741/4748175550', '201696191/9496351100', '105091403/4748175550', '109339897/4748175550', '227187627/9496351100', '235706779/9496351100', '244237723/9496351100', '252780969/9496351100', '261337021/9496351100', '134953129/4748175550', '278489593/9496351100', '14354343/474817555', '73924851/2374087775', '15216354/474817555', '156485463/4748175550', '321631223/9496351100', '165154357/4748175550', '339003923/9496351100', '17385874/474817555', '356450017/9496351100', '14608087/379854044', '74794921/1899270220', '76553599/1899270220', '391583043/9496351100', '400420451/9496351100', '409280981/9496351100', '20908269/474817555', '427074433/9496351100']
['77580845/4758111419', '81687986/4758111419', '85798836/4758111419', '89913689/4758111419', '94032635/4758111419', '98155984/4758111419', '102283838/4758111419', '106416526/4758111419', '110554137/4758111419', '114697008/4758111419', '118845253/4758111419', '122999193/4758111419', '127158954/4758111419', '131324896/4758111419', '135497056/4758111419', '139675982/4758111419', '143861512/4758111419', '148054318/4758111419', '152254280/4758111419', '156461958/4758111419', '160677385/4758111419', '164900997/4758111419', '169132948/4758111419', '173373618/4758111419', '177623199/4758111419', '181882096/4758111419', '186150494/4758111419', '190428821/4758111419', '194717289/4758111419', '199016330/4758111419', '203326169/4758111419', '207647287/4758111419', '211979900/4758111419']
['318256799/19068740889', '334267057/19068740889', '350292181/19068740889', '366332623/19068740889', '127463049/6356246963', '398462503/19068740889', '138184485/6356246963', '430662805/19068740889', '446791331/19068740889', '462939835/19068740889', '479109151/19068740889', '165100035/6356246963', '511513511/19068740889', '527750363/19068740889', '544011139/19068740889', '560297483/19068740889', '576609271/19068740889', '197649489/6356246963', '55392287/1733521899', '625710883/19068740889', '214045423/6356246963', '219530831/6356246963', '675080485/19068740889', '691601329/19068740889', '236052021/6356246963', '241581937/6356246963', '741371671/19068740889', '758034775/19068740889', '774736319/19068740889', '791477513/19068740889', '73478143/1733521899', '825083815/19068740889', '841951507/19068740889']
['162892685/9551362769', '170698771/9551362769', '178512371/9551362769', '186333295/9551362769', '194162157/9551362769', '201999045/9551362769', '209844549/9551362769', '217698787/9551362769', '225562391/9551362769', '233435467/9551362769', '241318643/9551362769', '249212083/9551362769', '257116377/9551362769', '265031769/9551362769', '272958719/9551362769', '21607517/734720213', '288849009/9551362769', '296813201/9551362769', '304790623/9551362769', '24060131/734720213', '320787019/9551362769', '328806841/9551362769', '336841837/9551362769', '344892307/9551362769', '352958939/9551362769', '361042009/9551362769', '369142283/9551362769', '377260023/9551362769', '385396031/9551362769', '30273125/734720213', '401724605/9551362769', '31532177/734720213', '418132583/9551362769']
['83231629/4783464713', '174079501/9566929426', '181703089/9566929426', '94667005/4783464713', '98486261/4783464713', '102309466/4783464713', '106136782/4783464713', '219936735/9566929426', '113804403/4783464713', '117645056/4783464713', '242981001/9566929426', '250681841/9566929426', '258392979/9566929426', '266114849/9566929426', '273847663/9566929426', '281592077/9566929426', '144674077/4783464713', '148558292/4783464713', '304897561/9566929426', '156345810/4783464713', '160249558/4783464713', '164160254/4783464713', '168078103/4783464713', '172003345/4783464713', '175936199/4783464713', '179876890/4783464713', '367651333/9566929426', '375565537/9566929426', '191748443/4783464713', '391445899/9566929426', '199706548/4783464713', '407398995/9566929426', '207702062/4783464713']
['84930488/4790784435', '88648006/4790784435', '30789716/1596928145', '32031332/1596928145', '6654832/319385629', '103554872/4790784435', '35763728/1596928145', '111031687/4790784435', '114776413/4790784435', '118525657/4790784435', '122279441/4790784435', '42012688/1596928145', '129801566/4790784435', '44523424/1596928145', '137344154/4790784435', '47041212/1596928145', '28981729/958156887', '148699591/4790784435', '30499295/958156887', '31259929/958156887', '160109149/4790784435', '163925332/4790784435', '11183217/319385629', '171578257/4790784435', '35083085/958156887', '179260088/4790784435', '183112349/4790784435', '37394513/958156887', '190840823/4790784435', '194717497/4790784435', '39720538/958156887', '202496771/4790784435', '68799938/1596928145']
['346185671/19190042515', '72141677/3838008503', '375246203/19190042515', '77959703/3838008503', '404365439/19190042515', '418947357/19190042515', '433544761/19190042515', '89631635/3838008503', '462788161/19190042515', '477435303/19190042515', '70300029/2741434645', '506783471/19190042515', '521485697/19190042515', '536207671/19190042515', '550949727/19190042515', '113142587/3838008503', '82928227/2741434645', '85043523/2741434645', '610134647/19190042515', '624988383/19190042515', '639866509/19190042515', '93538547/2741434645', '669699061/19190042515', '136930993/3838008503', '139927663/3838008503', '142929985/3838008503', '104241513/2741434645', '744761159/19190042515', '759862459/19190042515', '110713617/2741434645', '112880087/2741434645', '805359167/19190042515', '117227379/2741434645']
['88088603/4803863703', '91636079/4803863703', '95187551/4803863703', '98742599/4803863703', '102301360/4803863703', '105863726/4803863703', '109429945/4803863703', '112999988/4803863703', '116574115/4803863703', '40050772/1601287901', '41244958/1601287901', '127321784/4803863703', '130913317/4803863703', '134509525/4803863703', '138110626/4803863703', '141716711/4803863703', '145328012/4803863703', '148944595/4803863703', '152566724/4803863703', '156194458/4803863703', '159828074/4803863703', '163467623/4803863703', '55704472/1601287901', '170765479/4803863703', '58141379/1601287901', '59363147/1601287901', '181761709/4803863703', '61813663/1601287901', '189127622/4803863703', '64273880/1601287901', '196523383/4803863703', '66744294/1601287901', '203950400/4803863703']
['358238839/19238878709', '372109145/19238878709', '385995945/19238878709', '399897679/19238878709', '413814003/19238878709', '427744929/19238878709', '441690703/19238878709', '455651683/19238878709', '469628295/19238878709', '483620969/19238878709', '497630221/19238878709', '511656557/19238878709', '525700439/19238878709', '539762537/19238878709', '553843237/19238878709', '567943273/19238878709', '582063083/19238878709', '596203349/19238878709', '610364605/19238878709', '624547515/19238878709', '638752663/19238878709', '652980687/19238878709', '667232241/19238878709', '681507957/19238878709', '695808505/19238878709', '710134565/19238878709', '724486823/19238878709', '738865921/19238878709', '753272579/19238878709', '767707445/19238878709', '782171141/19238878709', '796664231/19238878709', '811186945/19238878709']
['181936461/9630551531', '188717869/9630551531', '195507911/9630551531', '202305869/9630551531', '209111067/9630551531', '215923747/9630551531', '222743611/9630551531', '229571105/9630551531', '236406091/9630551531', '243249041/9630551531', '250099877/9630551531', '256959143/9630551531', '263826723/9630551531', '270703221/9630551531', '277588545/9630551531', '284483285/9630551531', '291387381/9630551531', '298301417/9630551531', '305225363/9630551531', '312159803/9630551531', '319104735/9630551531', '326060719/9630551531', '333027767/9630551531', '340006489/9630551531', '346996867/9630551531', '353999511/9630551531', '361014437/9630551531', '368042231/9630551531', '375082889/9630551531', '382137019/9630551531', '389204523/9630551531', '396285931/9630551531', '403380883/9630551531']
['33569597/1752878033', '382531249/19281658363', '395815873/19281658363', '37192439/1752878033', '422432995/19281658363', '435763969/19281658363', '449109625/19281658363', '462470077/19281658363', '475845537/19281658363', '489236315/19281658363', '7079475/271572653', '516065211/19281658363', '529504097/19281658363', '542959921/19281658363', '556433043/19281658363', '569924017/19281658363', '53039387/1752878033', '596961263/19281658363', '610508595/19281658363', '624075707/19281658363', '57969377/1752878033', '651271439/19281658363', '664901103/19281658363', '61686611/1752878033', '692226801/19281658363', '705923893/19281658363', '719644535/19281658363', '733389265/19281658363', '747158535/19281658363', '760952847/19281658363', '774772513/19281658363', '788617693/19281658363', '802487999/19281658363']
['8510179/438664885', '96856564/4825313735', '9100582/438664885', '103360512/4825313735', '21323734/965062747', '109880532/4825313735', '113146188/4825313735', '10583223/438664885', '119688512/4825313735', '122965266/4825313735', '126245919/4825313735', '25906082/965062747', '26563794/965062747', '136111549/4825313735', '139408386/4825313735', '28541890/965062747', '146014992/4825313735', '149324948/4825313735', '152639639/4825313735', '155958977/4825313735', '31856650/965062747', '162612434/4825313735', '33189357/965062747', '169286281/4825313735', '172631199/4825313735', '35196298/965062747', '35867486/965062747', '182698976/4825313735', '186066371/4825313735', '189439542/4825313735', '192818697/4825313735', '17836694/438664885', '199594338/4825313735']
['126475289/6439815597', '392126065/19319446791', '404848823/19319446791', '417590321/19319446791', '143449519/6439815597', '443122459/19319446791', '455911499/19319446791', '468715421/19319446791', '481534171/19319446791', '494367847/19319446791', '169072199/6439815597', '520080661/19319446791', '532960303/19319446791', '181951957/6439815597', '558767645/19319446791', '63521781/2146605199', '584641471/19319446791', '597604079/19319446791', '610584673/19319446791', '207861109/6439815597', '636600601/19319446791', '649636901/19319446791', '662692637/19319446791', '675768227/19319446791', '4028445/112979221', '77997847/2146605199', '79457575/2146605199', '242759035/6439815597', '741457669/19319446791', '251553337/6439815597', '255961375/6439815597', '781129627/19319446791', '794395309/19319446791']
['96057387/4834219922', '49582426/2417109961', '102278437/4834219922', '105397197/4834219922', '54260170/2417109961', '55823835/2417109961', '114778817/4834219922', '8422417/345301423', '60526254/2417109961', '124194981/4834219922', '63670557/2417109961', '130491093/4834219922', '133644807/4834219922', '68401244/2417109961', '69982014/2417109961', '143129661/4834219922', '146299361/4834219922', '149473243/4834219922', '76325696/2417109961', '77916969/2417109961', '159020865/4834219922', '81106203/2417109961', '11814893/345301423', '84304694/2417109961', '85907496/2417109961', '175025559/4834219922', '89120492/2417109961', '181461491/4834219922', '184686951/4834219922', '187917517/4834219922', '95576479/2417109961', '194393281/4834219922', '98818938/2417109961']
['388862763/19353129649', '57289857/2764732807', '59031801/2764732807', '425438403/19353129649', '437673387/19353129649', '449925743/19353129649', '462194325/19353129649', '474478485/19353129649', '486777803/19353129649', '499092091/19353129649', '511421275/19353129649', '523765415/19353129649', '536124559/19353129649', '548498933/19353129649', '560888687/19353129649', '81899143/2764732807', '585715439/19353129649', '598152631/19353129649', '610606627/19353129649', '623077131/19353129649', '635564749/19353129649', '92581379/2764732807', '660592175/19353129649', '673132587/19353129649', '685691105/19353129649', '36750947/1018585771', '710863385/19353129649', '723477385/19353129649', '736109965/19353129649', '748760913/19353129649', '108775669/2764732807', '774115277/19353129649', '786815475/19353129649']
['196676957/9684393165', '202631303/9684393165', '208600961/9684393165', '42916519/1936878633', '73524931/3228131055', '15105073/645626211', '232586099/9684393165', '238604009/9684393165', '48925973/1936878633', '83554379/3228131055', '28522673/1076043685', '87584093/3228131055', '268808089/9684393165', '54974245/1936878633', '93647357/3228131055', '6378229/215208737', '32567397/1076043685', '299200241/9684393165', '305302211/9684393165', '103803967/3228131055', '317529967/9684393165', '323656091/9684393165', '109930247/3228131055', '335933689/9684393165', '68417063/1936878633', '116081789/3228131055', '70882841/1936878633', '360591449/9684393165', '366777343/9684393165', '41441259/1076043685', '379173341/9684393165', '77076463/1936878633', '8702161/215208737']
['397702839/19383442763', '409360145/19383442763', '421050731/19383442763', '432767985/19383442763', '444507785/19383442763', '456267457/19383442763', '468045225/19383442763', '479839855/19383442763', '491650539/19383442763', '503476725/19383442763', '515318055/19383442763', '527174331/19383442763', '539045435/19383442763', '550931319/19383442763', '562832051/19383442763', '574747515/19383442763', '586678375/19383442763', '598623771/19383442763', '610584963/19383442763', '27067879/842758381', '634553201/19383442763', '646560831/19383442763', '658584307/19383442763', '670623699/19383442763', '682679075/19383442763', '694750433/19383442763', '706837697/19383442763', '718940641/19383442763', '731058857/19383442763', '743191671/19383442763', '755337983/19383442763', '767495907/19383442763', '779662143/19383442763']
['10048453/484941060', '17222861/808235100', '106198859/4849410600', '27266993/1212352650', '37314379/1616470200', '38274583/1616470200', '13078789/538823400', '60299491/2424705300', '4573813/179607800', '31597751/1212352650', '32323207/1212352650', '1066117/39108150', '45035941/1616470200', '138020891/4849410600', '17617193/606176325', '71928943/2424705300', '36695479/1212352650', '29941907/969882120', '76320449/2424705300', '1037173/32329404', '2113529/64658808', '80728601/2424705300', '1393249/41096700', '674812/19554075', '170307013/4849410600', '86632211/2424705300', '176225371/4849410600', '9954997/269411700', '5059939/134705850', '185128889/4849410600', '37620533/969882120', '95539363/2424705300', '194055899/4849410600']
['203027971/9705496463', '208612061/9705496463', '214216159/9705496463', '219836289/9705496463', '17343831/746576651', '231114892/9705496463', '236770298/9705496463', '242435114/9705496463', '185294/7248317', '253790496/9705496463', '259480242/9705496463', '265177647/9705496463', '270882530/9705496463', '276594757/9705496463', '282314262/9705496463', '288040838/9705496463', '22598063/746576651', '299515601/9705496463', '305263780/9705496463', '311018878/9705496463', '316781147/9705496463', '322550456/9705496463', '328326803/9705496463', '334110113/9705496463', '339900315/9705496463', '345697272/9705496463', '351500770/9705496463', '357310532/9705496463', '363126126/9705496463', '368946934/9705496463', '374772055/9705496463', '380600092/9705496463', '386428745/9705496463']
['102521165/4855999391', '105253469/4855999391', '107996795/4855999391', '110748793/4855999391', '113508185/4855999391', '116273756/4855999391', '119044956/4855999391', '121821077/4855999391', '124601889/4855999391', '127386925/4855999391', '130176139/4855999391', '132969179/4855999391', '135766090/4855999391', '138566608/4855999391', '141370840/4855999391', '144178466/4855999391', '146989824/4855999391', '149804400/4855999391', '152622638/4855999391', '155444112/4855999391', '158269088/4855999391', '161097297/4855999391', '163928894/4855999391', '166763631/4855999391', '169601611/4855999391', '172442558/4855999391', '175286491/4855999391', '10478414/285647023', '180982112/4855999391', '183833134/4855999391', '186685741/4855999391', '189538927/4855999391', '192391563/4855999391']
['207007492/9718137089', '212354827/9718137089', '217725897/9718137089', '223116027/9718137089', '228522020/9718137089', '233941578/9718137089', '239373035/9718137089', '244815159/9718137089', '250267021/9718137089', '255727898/9718137089', '261197252/9718137089', '266674648/9718137089', '272159745/9718137089', '277652276/9718137089', '283152088/9718137089', '288658777/9718137089', '294172641/9718137089', '299692962/9718137089', '305220192/9718137089', '310753791/9718137089', '316293902/9718137089', '321840252/9718137089', '327392758/9718137089', '332951212/9718137089', '338515391/9718137089', '344084999/9718137089', '349659654/9718137089', '355238835/9718137089', '360821881/9718137089', '366407853/9718137089', '371995440/9718137089', '377582748/9718137089', '383166838/9718137089']
['41787689/1944829361', '214169733/9724146805', '219426557/9724146805', '224704267/9724146805', '45999803/1944829361', '235308639/9724146805', '240630883/9724146805', '245964707/9724146805', '251308693/9724146805', '256662329/9724146805', '8452407/313682155', '267395393/9724146805', '8799157/313682155', '278160039/9724146805', '56710675/1944829361', '288953707/9724146805', '294360943/9724146805', '9670151/313682155', '305194919/9724146805', '310621437/9724146805', '316053969/9724146805', '321492517/9724146805', '326936591/9724146805', '332386267/9724146805', '337840877/9724146805', '343300391/9724146805', '69752797/1944829361', '354231359/9724146805', '359701353/9724146805', '365173239/9724146805', '370645097/9724146805', '376115153/9724146805', '381579761/9724146805']
['35138008/1621640203', '215944915/9729841218', '110544721/4864920609', '75418781/3243280406', '38573639/1621640203', '118321582/4864920609', '241858247/9729841218', '123542753/4864920609', '84107907/3243280406', '42928654/1621640203', '262829333/9729841218', '268095349/9729841218', '45561575/1621640203', '139325597/4864920609', '141970162/4864920609', '289236283/9729841218', '147269606/4864920609', '149924180/4864920609', '101721319/3243280406', '155242708/4864920609', '157906360/4864920609', '321145495/9729841218', '163241750/4864920609', '331826399/9729841218', '168586897/4864920609', '342525203/9729841218', '173940023/4864920609', '58872928/1621640203', '179298400/4864920609', '60659413/1621640203', '184657426/4864920609', '374669503/9729841218', '190008419/4864920609']
