['0', '98229185/73746850529', '392936473/147493701058', '589454003/147493701058', '786030763/147493701058', '491343311/73746850529', '1179441487/147493701058', '125119585/13408518278', '143029881/13408518278', '1770501583/147493701058', '1967854693/147493701058', '1082704410/73746850529', '2363184949/147493701058', '1280602200/73746850529', '2759488819/147493701058', '134457274/6704259139', '3156940495/147493701058', '1678076409/73746850529', '1777860094/73746850529', '3755666223/147493701058', '3956015105/147493701058', '4156791503/147493701058', '4358020761/147493701058', '4559728885/147493701058', '2380971269/73746850529', '4964689217/147493701058', '2583998633/73746850529', '5371895863/147493701058', '506946841/13408518278', '5781586741/147493701058', '2993721374/73746850529', '3097008509/73746850529', '290970213/6704259139', '3304731172/73746850529', '6818408309/147493701058', '3514111368/73746850529', '7238947741/147493701058', '7450627755/147493701058', '696664521/13408518278']
['30665655303/1369972742705', '30877716439/1369972742705', '6218735423/273994548541', '31313189647/1369972742705', '6307186943/273994548541', '4537374287/195710391815', '31989977263/1369972742705', '32220759841/1369972742705', '32453740021/1369972742705', '32688706719/1369972742705', '6585092653/273994548541', '6632765143/273994548541', '33403620861/1369972742705', '33644684947/1369972742705', '33886862077/1369972742705', '34130003179/1369972742705', '34373964361/1369972742705', '6923721269/273994548541', '34863793617/1369972742705', '35109391213/1369972742705', '35355268789/1369972742705', '35601292423/1369972742705', '121516377/4643975399', '36093250337/1369972742705', '1038254675/39142078363', '36584180903/1369972742705', '624218769/23219876995', '5296134617/195710391815', '7463225535/273994548541', '37558296829/1369972742705', '7559854525/273994548541', '5434123683/195710391815', '38276872643/1369972742705', '5501867549/195710391815', '38747226369/1369972742705', '38979070587/1369972742705', '7841663245/273994548541', '7886928703/273994548541', '39657697979/1369972742705']
['7693301540/342553034617', '7744963505/342553034617', '7797601970/342553034617', '7851130075/342553034617', '7905469413/342553034617', '7960546392/342553034617', '8016295015/342553034617', '8072652778/342553034617', '8129563558/342553034617', '8186973602/342553034617', '8244834387/342553034617', '8303098810/342553034617', '8361724168/342553034617', '8420668315/342553034617', '8479892796/342553034617', '8539359130/342553034617', '8599031816/342553034617', '8658874755/342553034617', '8718854577/342553034617', '8778936212/342553034617', '8839087538/342553034617', '8899273792/342553034617', '8959462676/342553034617', '9019619173/342553034617', '9079709705/342553034617', '9139697904/342553034617', '9199548012/342553034617', '9259221084/342553034617', '9318678035/342553034617', '9377875950/342553034617', '9436771046/342553034617', '9495314770/342553034617', '9553456760/342553034617', '9611140821/342553034617', '9668307607/342553034617', '9724890502/342553034617', '9780818114/342553034617', '9836009855/342553034617', '9890378459/342553034617']
['15438921422/685220684571', '15539624638/685220684571', '5214093224/228406894857', '15746716489/685220684571', '15852778021/685220684571', '15960319640/685220684571', '5356402738/228406894857', '599234101/25378543873', '16290543271/685220684571', '16402769906/685220684571', '16515901679/685220684571', '16629845686/685220684571', '16744514383/685220684571', '16859824691/685220684571', '5658565801/228406894857', '17092056629/685220684571', '5736276359/228406894857', '17325943496/685220684571', '17443330786/685220684571', '17560921780/685220684571', '17678649788/685220684571', '17796446228/685220684571', '17914244092/685220684571', '261332960/9930734559', '18149567086/685220684571', '18266950855/685220684571', '18384051578/685220684571', '18500792332/685220684571', '18617092597/685220684571', '18732867542/685220684571', '18848027302/685220684571', '6320825314/228406894857', '829396112/29792203677', '2132091128/76135631619', '6433494715/228406894857', '6470323670/228406894857', '19520136604/685220684571', '19627822162/685220684571', '6577950910/228406894857']
['15491239397/685335298801', '15589321899/685335298801', '15689355039/685335298801', '15791172465/685335298801', '15894616855/685335298801', '15999546139/685335298801', '16105826045/685335298801', '16213335551/685335298801', '16321959087/685335298801', '16431592279/685335298801', '16542134267/685335298801', '16653493451/685335298801', '16765580147/685335298801', '16878312491/685335298801', '16991608979/685335298801', '17105394793/685335298801', '17219594349/685335298801', '17334137343/685335298801', '17448952315/685335298801', '17563971075/685335298801', '17679124479/685335298801', '17794344893/685335298801', '17909562891/685335298801', '18024710233/685335298801', '18139714899/685335298801', '18254506075/685335298801', '18369007337/685335298801', '18483142731/685335298801', '18596829385/685335298801', '18709983467/685335298801', '18822512813/685335298801', '18934322661/685335298801', '19045307961/685335298801', '19155359001/685335298801', '19264353423/685335298801', '19372161369/685335298801', '19478637337/685335298801', '19583624975/685335298801', '19686948905/685335298801']
['15542082194/685444953715', '3127525763/137088990743', '15735123991/685444953715', '15834401892/685444953715', '15935308439/685444953715', '16037701048/685444953715', '16141447789/685444953715', '16246426434/685444953715', '3270504665/137088990743', '3291926484/137088990743', '16567654422/685444953715', '16676495881/685444953715', '3357213684/137088990743', '16896288129/685444953715', '17007074751/685444953715', '17118351261/685444953715', '17230043216/685444953715', '3468415617/137088990743', '3490877092/137088990743', '3513378974/137088990743', '3535907642/137088990743', '3558449108/137088990743', '17904948426/685444953715', '18017576356/685444953715', '18130058292/685444953715', '1073077713/40320291395', '18354289492/685444953715', '18465885153/685444953715', '18577026331/685444953715', '3737525408/137088990743', '18797596272/685444953715', '18906837218/685444953715', '3803049245/137088990743', '19122711724/685444953715', '19229113026/685444953715', '19334318888/685444953715', '3887637191/137088990743', '19540557194/685444953715', '3928252082/137088990743']
['15592924799/685554608053', '15685935539/685554608053', '15780892753/685554608053', '15877631129/685554608053', '15975999833/685554608053', '16075855769/685554608053', '16177069347/685554608053', '16279517133/685554608053', '16383087383/685554608053', '16487672385/685554608053', '16593174407/685554608053', '16699498149/685554608053', '16806556539/685554608053', '2416323375/97936372579', '2431791485/97936372579', '17131307615/685554608053', '17240491987/685554608053', '17350018751/685554608053', '17459818549/685554608053', '17569818631/685554608053', '17679951929/685554608053', '17790146197/685554608053', '17900333995/685554608053', '18010442535/685554608053', '2588628823/97936372579', '18230136263/685554608053', '2619938823/97936372579', '18448627703/685554608053', '2651031917/97936372579', '18665270767/685554608053', '18772679893/685554608053', '18879351945/685554608053', '18985184665/685554608053', '19090064627/685554608053', '19193872813/685554608053', '19296476593/685554608053', '19397734761/685554608053', '19497489603/685554608053', '19595572105/685554608053']
['15642277268/685659429999', '507510934/22118046129', '15825340903/685659429999', '15919621844/685659429999', '16015531048/685659429999', '5370976106/228553143333', '16211683393/685659429999', '1812408336/76184381111', '16412790203/685659429999', '16514923079/685659429999', '16617974282/685659429999', '983638238/40332907647', '16826461520/685659429999', '1881302675/76184381111', '5679185578/228553143333', '17143881541/685659429999', '17250623105/685659429999', '1928634201/76184381111', '5821688075/228553143333', '1952513411/76184381111', '1964478660/76184381111', '17788054900/685659429999', '577283609/22118046129', '18003447190/685659429999', '18110948641/685659429999', '18218221886/685659429999', '18325190510/685659429999', '18431775142/685659429999', '6179297668/228553143333', '18643457183/685659429999', '18748375912/685659429999', '6284183893/228553143333', '18955880459/685659429999', '19058250496/685659429999', '19159541303/685659429999', '19259622293/685659429999', '19358351425/685659429999', '19455573733/685659429999', '2172346706/76184381111']
['15691629641/685764251657', '15779742273/685764251657', '15869788957/685764251657', '15961612463/685764251657', '16055062167/685764251657', '16150000773/685764251657', '16246297345/685764251657', '16343832821/685764251657', '16442492931/685764251657', '16542173683/685764251657', '16642774069/685764251657', '16744201859/685764251657', '16846366421/685764251657', '16949184451/685764251657', '17052573005/685764251657', '17156455407/685764251657', '17260754171/685764251657', '17365396827/685764251657', '17470309871/685764251657', '17575422749/685764251657', '17680663945/685764251657', '17785963609/685764251657', '17891249781/685764251657', '17996451875/685764251657', '18101495561/685764251657', '18206307561/685764251657', '18310809319/685764251657', '18414922649/685764251657', '18518562663/685764251657', '18621643679/685764251657', '18724072015/685764251657', '18825751501/685764251657', '18926576343/685764251657', '19026436457/685764251657', '19125209887/685764251657', '19222768087/685764251657', '19318968183/685764251657', '19413657959/685764251657', '19506668699/685764251657']
['31478963341/1371728736265', '31650461203/1371728736265', '31825813267/1371728736265', '6400941405/274345747253', '32186848299/1371728736265', '32371962173/1371728736265', '32559792043/1371728736265', '32750098211/1371728736265', '32942656267/1371728736265', '6627451139/274345747253', '33333698051/1371728736265', '33531795701/1371728736265', '33731370421/1371728736265', '6786450435/274345747253', '34134277759/1371728736265', '34337290059/1371728736265', '34541136717/1371728736265', '34745668799/1371728736265', '6990148337/274345747253', '35156210387/1371728736265', '35361933989/1371728736265', '35567768893/1371728736265', '7154714681/274345747253', '35979202281/1371728736265', '36184509157/1371728736265', '36389343511/1371728736265', '36593550563/1371728736265', '36796970019/1371728736265', '7399886939/274345747253', '37200769459/1371728736265', '37400789719/1371728736265', '37599299813/1371728736265', '37796091291/1371728736265', '37990941147/1371728736265', '38183609391/1371728736265', '38373836963/1371728736265', '38561343117/1371728736265', '38745823101/1371728736265', '38926946473/1371728736265']
['15787333655/685964484473', '15870718885/685964484473', '15956024265/685964484473', '16043094517/685964484473', '16131786087/685964484473', '167236715/7071798809', '16313494653/685964484473', '16406265345/685964484473', '16500163293/685964484473', '16595081969/685964484473', '16690923939/685964484473', '16787593801/685964484473', '16885003961/685964484473', '16983067687/685964484473', '17081704721/685964484473', '17180834621/685964484473', '17280382521/685964484473', '17380271951/685964484473', '17480431799/685964484473', '17580787629/685964484473', '17681270041/685964484473', '17781805287/685964484473', '17882323633/685964484473', '17982750421/685964484473', '18083013617/685964484473', '18183035975/685964484473', '18282741275/685964484473', '18382047403/685964484473', '18480872069/685964484473', '18579125819/685964484473', '18676717745/685964484473', '18773548355/685964484473', '18869514991/685964484473', '18964504733/685964484473', '19058399549/685964484473', '19151068921/685964484473', '19242374979/685964484473', '19332165187/685964484473', '19420277819/685964484473']
['31667356379/1372120051975', '31829572899/1372120051975', '31995608433/1372120051975', '32165160741/1372120051975', '32337943833/1372120051975', '32513688781/1372120051975', '32692143499/1372120051975', '32873071623/1372120051975', '33056251153/1372120051975', '33241472957/1372120051975', '6685707927/274424010395', '33617263883/1372120051975', '33807467423/1372120051975', '33998979821/1372120051975', '34191637283/1372120051975', '6877056319/274424010395', '6915951901/274424010395', '34774920707/1372120051975', '34970619151/1372120051975', '35166708591/1372120051975', '35363046301/1372120051975', '35559487351/1372120051975', '35755888311/1372120051975', '35952102441/1372120051975', '36147981797/1372120051975', '7268674873/274424010395', '36538124079/1372120051975', '36732069237/1372120051975', '36925041757/1372120051975', '37116865593/1372120051975', '37307355599/1372120051975', '37496315983/1372120051975', '37683538699/1372120051975', '37868801553/1372120051975', '38051866447/1372120051975', '38232477027/1372120051975', '1536414267/54884802079', '38585206503/1372120051975', '7751340873/274424010395']
['7940011352/343077783721', '7979426997/343077783721', '8019792074/343077783721', '8061033102/343077783721', '8103078863/343077783721', '8145863703/343077783721', '8189324413/343077783721', '8233403129/343077783721', '8278043920/343077783721', '8323195484/343077783721', '8368807838/343077783721', '8414835032/343077783721', '8461231722/343077783721', '8507956058/343077783721', '8554966273/343077783721', '8602223480/343077783721', '8649688486/343077783721', '8697324373/343077783721', '460268088/18056725459', '8792960479/343077783721', '8840888129/343077783721', '8888841033/343077783721', '8936782341/343077783721', '8984676014/343077783721', '9032484095/343077783721', '9080169201/343077783721', '480404811/18056725459', '9175010925/343077783721', '485372887/18056725459', '9268869896/343077783721', '490279944/18056725459', '9361383824/343077783721', '9407011864/343077783721', '9452148420/343077783721', '9496733459/343077783721', '9540704063/343077783721', '9583990858/343077783721', '9626520668/343077783721', '9668213283/343077783721']
['15924857099/686246664215', '16001496346/686246664215', '3216004646/137249332843', '16160292138/686246664215', '464061837/19607047549', '2332215516/98035237745', '16410201564/686246664215', '3299225380/137249332843', '16583175047/686246664215', '3334248501/137249332843', '16760231191/686246664215', '886844629/36118245485', '16940603822/686246664215', '279210059/11249945315', '17123595263/686246664215', '17215869474/686246664215', '3461711843/137249332843', '17401588952/686246664215', '3498977018/137249332843', '17588374101/686246664215', '17681983834/686246664215', '17775641488/686246664215', '17869274511/686246664215', '17962809098/686246664215', '18056170647/686246664215', '3629856523/137249332843', '18242066494/686246664215', '3666888212/137249332843', '18426321912/686246664215', '18517620901/686246664215', '3721649080/137249332843', '2671156817/98035237745', '18787074266/686246664215', '2696437822/98035237745', '18961951258/686246664215', '2721086768/98035237745', '3826379436/137249332843', '19214674524/686246664215', '19295782784/686246664215']
['7984845743/343168880482', '8022069345/343168880482', '4030115576/171584440241', '4049629516/171584440241', '4069542714/171584440241', '8179644905/343168880482', '8220877147/343168880482', '8262723767/343168880482', '8305131123/343168880482', '8348047017/343168880482', '8391423349/343168880482', '8435212915/343168880482', '4239686048/171584440241', '8523857537/343168880482', '8568628987/343168880482', '8613645991/343168880482', '4329435363/171584440241', '8704264577/343168880482', '4374895708/171584440241', '8795413621/343168880482', '8841095705/343168880482', '8886800455/343168880482', '8932492171/343168880482', '4489066543/171584440241', '4511843277/171584440241', '9069113417/343168880482', '4557187544/171584440241', '4579715069/171584440241', '9204237063/343168880482', '9248751009/343168880482', '4646463234/171584440241', '9336713899/343168880482', '4690031203/171584440241', '4711458169/171584440241', '9465217803/343168880482', '9506903317/343168880482', '4773953163/171584440241', '4794076930/171584440241', '9627569505/343168880482']
['32026031911/1372849091259', '10723571297/457616363753', '10773039843/457616363753', '32470968965/1372849091259', '10875331247/457616363753', '10927979565/457616363753', '32944562531/1372849091259', '11035879007/457616363753', '33272946359/1372849091259', '33440286107/1372849091259', '33609461989/1372849091259', '33780288865/1372849091259', '33952589785/1372849091259', '11375398239/457616363753', '11433646595/457616363753', '34476666191/1372849091259', '11551073215/457616363753', '34830448499/1372849091259', '35008204951/1372849091259', '11728780489/457616363753', '11788237509/457616363753', '35543172169/1372849091259', '35721574175/1372849091259', '35899770211/1372849091259', '12025870119/457616363753', '12084980271/457616363753', '36431604019/1372849091259', '12202479049/457616363753', '36782271263/1372849091259', '12318643351/457616363753', '37128228841/1372849091259', '37298973047/1372849091259', '37467956905/1372849091259', '37634961955/1372849091259', '37799755351/1372849091259', '12654029407/457616363753', '12707231427/457616363753', '38278288393/1372849091259', '38431566887/1372849091259']
['8028170211/343255665143', '8063287599/343255665143', '8099328611/343255665143', '8136225449/343255665143', '8173911441/343255665143', '8212324441/343255665143', '8251404117/343255665143', '8291094742/343255665143', '8331342055/343255665143', '8372096035/343255665143', '8413307644/343255665143', '8454931516/343255665143', '8496922795/343255665143', '8539239820/343255665143', '8581840904/343255665143', '8624687103/343255665143', '8667739095/343255665143', '8710959672/343255665143', '8754311059/343255665143', '123912072/4834586833', '8841260558/343255665143', '8884785630/343255665143', '8928294917/343255665143', '8971752020/343255665143', '9015118625/343255665143', '9058356991/343255665143', '9101426923/343255665143', '9144288437/343255665143', '9186898570/343255665143', '9229214019/343255665143', '9271187954/343255665143', '9312772626/343255665143', '9353916048/343255665143', '9394564641/343255665143', '9434659874/343255665143', '9474140795/343255665143', '9512940816/343255665143', '258134874/9277180139', '9588213940/343255665143']
['32196318655/1373187869373', '32332743043/1373187869373', '32472832187/1373187869373', '32616317905/1373187869373', '32762941187/1373187869373', '10970818187/457729289791', '33064622627/1373187869373', '33219222133/1373187869373', '33376040995/1373187869373', '11178292583/457729289791', '33695540405/1373187869373', '33857845615/1373187869373', '34021617503/1373187869373', '34186687055/1373187869373', '34352890859/1373187869373', '34520070371/1373187869373', '34688071351/1373187869373', '34856742169/1373187869373', '376622951/14765460961', '35195500759/1373187869373', '35365294681/1373187869373', '11845056739/457729289791', '35704980341/1373187869373', '11958192193/457729289791', '12014602789/457729289791', '36212521811/1373187869373', '36380559109/1373187869373', '36547757459/1373187869373', '36713948149/1373187869373', '12292985165/457729289791', '37042595567/1373187869373', '12401558427/457729289791', '37364990705/1373187869373', '12507775337/457729289791', '37679451847/1373187869373', '37833124033/1373187869373', '37984082143/1373187869373', '38132049013/1373187869373', '12758910331/457729289791']
['4034994558/171669134771', '4051541961/171669134771', '4068543741/171669134771', '133966123/5628496222', '4103779576/171669134771', '8243902839/343338269542', '4140453598/171669134771', '4159258162/171669134771', '4178339221/171669134771', '8395342839/343338269542', '69134939/2814248111', '8473991291/343338269542', '4256942978/171669134771', '8554103707/343338269542', '8594604525/343338269542', '4317674041/171669134771', '4338148290/171669134771', '4358705706/171669134771', '4379328081/171669134771', '8799993267/343338269542', '8841386783/343338269542', '4441399739/171669134771', '4462097627/171669134771', '4482768135/171669134771', '9006785559/343338269542', '9047903915/343338269542', '4544426316/171669134771', '9129590293/343338269542', '9170075505/343338269542', '9210263729/343338269542', '4625054915/171669134771', '9289565015/343338269542', '9328579305/343338269542', '9367098365/343338269542', '4702533025/171669134771', '4721210611/171669134771', '4739550128/171669134771', '9515034169/343338269542', '9550151557/343338269542']
['32360597053/1373510193607', '32489099353/1373510193607', '32621200861/1373510193607', '32756645271/1373510193607', '32895183391/1373510193607', '33036575705/1373510193607', '33180593369/1373510193607', '1960412837/80794717271', '33475642561/1373510193607', '33626268199/1373510193607', '33778705861/1373510193607', '33932774283/1373510193607', '34088299297/1373510193607', '34245112981/1373510193607', '34403052951/1373510193607', '34561961223/1373510193607', '34721683975/1373510193607', '34882069853/1373510193607', '2061351203/80794717271', '35204238543/1373510193607', '35365727357/1373510193607', '35527291097/1373510193607', '2099340137/80794717271', '35850052681/1373510193607', '36010951537/1373510193607', '36171324997/1373510193607', '36331015579/1373510193607', '36489860831/1373510193607', '36647692703/1373510193607', '36804336429/1373510193607', '36959609489/1373510193607', '37113320467/1373510193607', '2192074585/80794717271', '37415239113/1373510193607', '37563008657/1373510193607', '37708337491/1373510193607', '37850971809/1373510193607', '37990642649/1373510193607', '38127067037/1373510193607']
['16220618821/686833654523', '16282931509/686833654523', '16347025897/686833654523', '16412778265/686833654523', '16480065087/686833654523', '16548770027/686833654523', '16618778977/686833654523', '16689985581/686833654523', '16762285677/686833654523', '16835582521/686833654523', '16909780745/686833654523', '16984791701/686833654523', '17060527385/686833654523', '17136905567/686833654523', '17213843901/686833654523', '17291265059/686833654523', '17369090815/686833654523', '17447247029/686833654523', '17525658127/686833654523', '17604252009/686833654523', '17682953791/686833654523', '17761692141/686833654523', '17840391821/686833654523', '17918980141/686833654523', '17997380419/686833654523', '18075517167/686833654523', '18153310315/686833654523', '18230680245/686833654523', '18307541693/686833654523', '18383808971/686833654523', '18459389829/686833654523', '18534190437/686833654523', '18608109335/686833654523', '18681042383/686833654523', '18752876557/686833654523', '18823495047/686833654523', '18892771297/686833654523', '18960574311/686833654523', '19026763923/686833654523']
['32518902371/1373816595613', '32639814167/1373816595613', '4680607623/196259513659', '32891975931/1373816595613', '33022742695/1373816595613', '33156322433/1373816595613', '33292493159/1373816595613', '33431042375/1373816595613', '33571766845/1373816595613', '1465846621/59731156331', '33858972395/1373816595613', '34005088387/1373816595613', '34152648105/1373816595613', '34301485241/1373816595613', '34451438547/1373816595613', '4943193019/196259513659', '34754069849/1373816595613', '3173313089/124892417783', '35059325351/1373816595613', '3201142493/124892417783', '35366023205/1373816595613', '35519547589/1373816595613', '35672993007/1373816595613', '35826211537/1373816595613', '5139864685/196259513659', '36131363385/1373816595613', '36282986283/1373816595613', '36433759939/1373816595613', '36583517259/1373816595613', '36732084815/1373816595613', '36879281829/1373816595613', '37024919145/1373816595613', '37168798067/1373816595613', '37310709445/1373816595613', '37450432357/1373816595613', '37587733321/1373816595613', '37722365547/1373816595613', '3441278989/124892417783', '5426081597/196259513659']
['1629828355/68698294109', '8178441329/343491470545', '8208613732/343491470545', '8239598833/343491470545', '8271338804/343491470545', '8303776203/343491470545', '8336857091/343491470545', '8370528397/343491470545', '8404740584/343491470545', '8439444881/343491470545', '1694919165/68698294109', '8510148343/343491470545', '1709212072/68698294109', '8582289837/343491470545', '8618797323/343491470545', '8655543037/343491470545', '8692489517/343491470545', '1745919695/68698294109', '8766833612/343491470545', '8804157707/343491470545', '8841534707/343491470545', '8878927724/343491470545', '8916300593/343491470545', '8953615698/343491470545', '8990836188/343491470545', '9027923109/343491470545', '9064837984/343491470545', '9101539847/343491470545', '9137987783/343491470545', '9174137922/343491470545', '1841989200/68698294109', '9245364354/343491470545', '9280344366/343491470545', '9314833531/343491470545', '1869755580/68698294109', '9382119137/343491470545', '1882959425/68698294109', '9446747284/343491470545', '9477903628/343491470545']
['1256587773/52850292559', '16392465059/687053803267', '16451014174/687053803267', '16511172426/687053803267', '16572825448/687053803267', '16635861893/687053803267', '16700174336/687053803267', '16765659505/687053803267', '16832218288/687053803267', '16899755517/687053803267', '16968179821/687053803267', '17037403177/687053803267', '17107340663/687053803267', '17177910086/687053803267', '17249031650/687053803267', '1332355960/52850292559', '17392621591/687053803267', '17464939085/687053803267', '1349038934/52850292559', '17610249952/687053803267', '17683097187/687053803267', '17755975630/687053803267', '17828811723/687053803267', '1377040911/52850292559', '1382620082/52850292559', '1388178700/52850292559', '18118239924/687053803267', '18189731253/687053803267', '18260714295/687053803267', '18331103163/687053803267', '18400808525/687053803267', '18469737103/687053803267', '18537791196/687053803267', '18604868143/687053803267', '18670859991/687053803267', '18735652971/687053803267', '18799127396/687053803267', '18861157759/687053803267', '18921613657/687053803267']
['4093249637/171781166361', '1369003955/57260388787', '1373733407/57260388787', '8271573593/343562332722', '4150743322/171781166361', '4166042845/171781166361', '2787772415/114520777574', '199884074/8180055541', '4213738852/171781166361', '4230155318/171781166361', '4246791998/171781166361', '10685783/430529239', '2853760101/114520777574', '8595620249/343562332722', '8630234327/343562332722', '2888361481/114520777574', '4350066037/171781166361', '4367670305/171781166361', '1461778755/57260388787', '8806092245/343562332722', '4420781240/171781166361', '4438523953/171781166361', '4456255565/171781166361', '22425855/861058478', '4491612439/171781166361', '9018399991/343562332722', '4526700970/171781166361', '92736647/3505738089', '4561363256/171781166361', '160648513/6027409346', '9190862525/343562332722', '9224372749/343562332722', '1542907805/57260388787', '1548339102/57260388787', '443908671/16360111082', '4676766917/171781166361', '9384330271/343562332722', '3138136825/114520777574', '3147903343/114520777574']
['32817795087/1374383755975', '32924500817/1374383755975', '1321382981/54975350239', '33147796653/1374383755975', '33263948771/1374383755975', '6676563429/274876751195', '33504194263/1374383755975', '6725575967/274876751195', '33753680857/1374383755975', '33881411481/1374383755975', '6802178513/274876751195', '6828390261/274876751195', '34274420429/1374383755975', '34408137789/1374383755975', '34542945663/1374383755975', '34678689979/1374383755975', '34815219961/1374383755975', '34952387227/1374383755975', '35090044933/1374383755975', '35228048629/1374383755975', '35366252299/1374383755975', '7100902519/274876751195', '35642682971/1374383755975', '35780617307/1374383755975', '35918166551/1374383755975', '1442207171/54975350239', '36191500633/1374383755975', '36326971581/1374383755975', '36461428127/1374383755975', '1463788027/54975350239', '36726612977/1374383755975', '7371396291/274876751195', '36985614269/1374383755975', '37112310521/1374383755975', '37236859441/1374383755975', '7471807999/274876751195', '7495724099/274876751195', '37595359437/1374383755975', '37709007457/1374383755975']
['16444796539/687259090531', '16496453357/687259090531', '16549773641/687259090531', '16604649467/687259090531', '16660975483/687259090531', '16718645765/687259090531', '1290581521/52866083887', '16837617619/687259090531', '16898725449/687259090531', '16960790209/687259090531', '17023724573/687259090531', '17087441637/687259090531', '17151859823/687259090531', '17216897291/687259090531', '17282477009/687259090531', '17348521093/687259090531', '17414955813/687259090531', '17481706007/687259090531', '17548699873/687259090531', '17615864139/687259090531', '17683127339/687259090531', '17750416783/687259090531', '17817660711/687259090531', '17884785017/687259090531', '17951716795/687259090531', '18018379293/687259090531', '18084696753/687259090531', '18150588769/687259090531', '18215975103/687259090531', '18280770193/687259090531', '18344887927/687259090531', '18408235957/687259090531', '18470720609/687259090531', '18532241297/687259090531', '18592695259/687259090531', '18651972327/687259090531', '18709959953/687259090531', '18766538487/687259090531', '18821587399/687259090531']
['32958510883/1374645570749', '33058589913/1374645570749', '33161950313/1374645570749', '3024398619/124967779159', '33377685581/1374645570749', '33489647747/1374645570749', '33604071573/1374645570749', '33720763169/1374645570749', '33839535067/1374645570749', '33960206097/1374645570749', '34082601183/1374645570749', '34206550803/1374645570749', '3121080979/124967779159', '3132587395/124967779159', '34586106993/1374645570749', '34714675539/1374645570749', '34844017871/1374645570749', '34973987045/1374645570749', '35104437525/1374645570749', '35235226149/1374645570749', '35366207971/1374645570749', '3227021893/124967779159', '35628179267/1374645570749', '35758878323/1374645570749', '35889190259/1374645570749', '36018964979/1374645570749', '36148049177/1374645570749', '36276285567/1374645570749', '3309410205/124967779159', '36529561897/1374645570749', '36654261189/1374645570749', '36777429759/1374645570749', '36898879731/1374645570749', '37018414871/1374645570749', '37135830055/1374645570749', '37250910853/1374645570749', '37363433779/1374645570749', '37473166945/1374645570749', '37579872675/1374645570749']
['8256857172/343693240109', '8281068278/343693240109', '8306088336/343693240109', '8331867671/343693240109', '8358355049/343693240109', '8385500991/343693240109', '8413255900/343693240109', '8441572775/343693240109', '8470404809/343693240109', '8499707944/343693240109', '8529438305/343693240109', '8559554583/343693240109', '8590015473/343693240109', '8620782027/343693240109', '8651814992/343693240109', '8683077223/343693240109', '8714531029/343693240109', '8746140519/343693240109', '8777868826/343693240109', '8809681005/343693240109', '8841540316/343693240109', '8873412020/343693240109', '8905259278/343693240109', '8937046653/343693240109', '8968736732/343693240109', '9000292843/343693240109', '9031676212/343693240109', '9062848399/343693240109', '9093768576/343693240109', '9124395852/343693240109', '9154686631/343693240109', '9184596901/343693240109', '9214079561/343693240109', '9243086787/343693240109', '9271567398/343693240109', '9299469263/343693240109', '9326736913/343693240109', '62773921/2306666041', '9379142638/343693240109']
['11031169673/458297857989', '33187270561/1374893573967', '33284223047/1374893573967', '33384171385/1374893573967', '33486918367/1374893573967', '11197422763/458297857989', '1248149225/50921984221', '33810013667/1374893573967', '1256371863/50921984221', '34035932713/1374893573967', '11383840033/458297857989', '34268636681/1374893573967', '34387121333/1374893573967', '34506817219/1374893573967', '34627571177/1374893573967', '34749233183/1374893573967', '34871656013/1374893573967', '11664898201/458297857989', '11706068251/458297857989', '3915782777/152765952663', '35366071751/1374893573967', '35490144185/1374893573967', '35614118275/1374893573967', '35737850587/1374893573967', '35861194745/1374893573967', '35984002465/1374893573967', '36106122191/1374893573967', '12075799561/458297857989', '36347672389/1374893573967', '36466778699/1374893573967', '36584547289/1374893573967', '36700801513/1374893573967', '36815357683/1374893573967', '36928024537/1374893573967', '37038602839/1374893573967', '37146885229/1374893573967', '1379728015/50921984221', '37355694497/1374893573967', '37455773527/1374893573967']
['16579794675/687507093749', '16625134005/687507093749', '16672046375/687507093749', '16720436043/687507093749', '16770208269/687507093749', '16821266307/687507093749', '16873517275/687507093749', '16926868117/687507093749', '16981230683/687507093749', '17036516825/687507093749', '17092643489/687507093749', '17149527515/687507093749', '17207090387/687507093749', '17265253165/687507093749', '17323941193/687507093749', '17383078737/687507093749', '17442593955/687507093749', '2500344795/98215299107', '17562467101/687507093749', '17622682983/687507093749', '17682991119/687507093749', '17743320145/687507093749', '17803599719/687507093749', '17863757281/687507093749', '17923721281/687507093749', '17983416779/687507093749', '61579419/2346440593', '18101701885/687507093749', '18160135237/687507093749', '18217986995/687507093749', '18275174027/687507093749', '18331607711/687507093749', '18387198561/687507093749', '18441850963/687507093749', '18495468043/687507093749', '18547946703/687507093749', '18599182579/687507093749', '18649066039/687507093749', '18697488251/687507093749']
