['0', '1085016/512953625', '2170256/512953625', '3255922/512953625', '4342238/512953625', '5429433/512953625', '6517712/512953625', '7607306/512953625', '8698451/512953625', '9791361/512953625', '10886281/512953625', '11983449/512953625', '13083127/512953625', '14185524/512953625', '15290952/512953625', '3279928/102590725', '17511881/512953625', '18627966/512953625', '19748181/512953625', '20872841/512953625', '4400457/102590725', '23136833/512953625', '24276854/512953625', '25422739/512953625', '5314974/102590725', '27733684/512953625', '1155986/20518145', '30073242/512953625', '31255003/512953625', '32445518/512953625', '6729082/102590725']
['116602191/4736537203', '118883983/4736537203', '121196773/4736537203', '123535095/4736537203', '125894729/4736537203', '128272359/4736537203', '130665369/4736537203', '133071601/4736537203', '135489297/4736537203', '137916993/4736537203', '140353445/4736537203', '142797545/4736537203', '145248431/4736537203', '147705125/4736537203', '150167035/4736537203', '152633291/4736537203', '4191981/128014519', '157576355/4736537203', '160051843/4736537203', '162529015/4736537203', '165007191/4736537203', '167485557/4736537203', '169963263/4736537203', '172439295/4736537203', '174912537/4736537203', '177381591/4736537203', '179844805/4736537203', '182300133/4736537203', '184744963/4736537203', '187175869/4736537203', '189588227/4736537203']
['29392669/1184738609', '29947006/1184738609', '30509336/1184738609', '31078377/1184738609', '31652937/1184738609', '32232270/1184738609', '32815585/1184738609', '33402421/1184738609', '33992215/1184738609', '34584678/1184738609', '35179372/1184738609', '35776109/1184738609', '36374549/1184738609', '36974533/1184738609', '37575790/1184738609', '38178201/1184738609', '38781474/1184738609', '39385551/1184738609', '39990135/1184738609', '40595133/1184738609', '41200257/1184738609', '41805386/1184738609', '42410182/1184738609', '43014480/1184738609', '43617870/1184738609', '44220078/1184738609', '44820564/1184738609', '45418887/1184738609', '46014251/1184738609', '46605871/1184738609', '47192442/1184738609']
['11851987/474125550', '10056172/395104625', '4095383/158041850', '31269131/1185313875', '63657377/2370627750', '32393168/1185313875', '32961857/1185313875', '11178057/395104625', '34109627/1185313875', '34687811/1185313875', '23512247/790209250', '23900663/790209250', '72870853/2370627750', '24680929/790209250', '25072467/790209250', '12732376/395104625', '38786446/1185313875', '7875301/237062775', '79934143/2370627750', '81115901/2370627750', '41148931/1185313875', '13913258/395104625', '16932091/474125550', '85840003/2370627750', '29005843/790209250', '8819224/237062775', '89363207/2370627750', '90529279/2370627750', '91689013/2370627750', '92840563/2370627750', '31327153/790209250']
['59733705/2371775681', '60779237/2371775681', '61842021/2371775681', '62918993/2371775681', '64008125/2371775681', '65107409/2371775681', '66215571/2371775681', '67331195/2371775681', '68453481/2371775681', '69581343/2371775681', '70714249/2371775681', '71851339/2371775681', '72992253/2371775681', '74136223/2371775681', '75283015/2371775681', '76431979/2371775681', '77582783/2371775681', '78734947/2371775681', '79888125/2371775681', '81041721/2371775681', '82195475/2371775681', '83348663/2371775681', '84500953/2371775681', '85651521/2371775681', '86799853/2371775681', '87944915/2371775681', '89085929/2371775681', '90221467/2371775681', '91350243/2371775681', '92470137/2371775681', '93578811/2371775681']
['60197287/2372868056', '30606085/1186434028', '62244649/2372868056', '7911483/296608507', '32175771/1186434028', '65421839/2372868056', '33250623/1186434028', '8448564/296608507', '68682579/2372868056', '17445635/593217014', '8860953/296608507', '8999641/296608507', '73110465/2372868056', '74227043/2372868056', '75346367/2372868056', '76468003/2372868056', '19397835/593217014', '78716101/2372868056', '19960423/593217014', '40483849/1186434028', '41046805/1186434028', '41609443/1186434028', '10542869/296608507', '85465139/2372868056', '86584697/2372868056', '87700753/2372868056', '88812265/2372868056', '6916767/182528312', '91016323/2372868056', '92105337/2372868056', '46591217/1186434028']
['30330191/1186979461', '30822311/1186979461', '31323402/1186979461', '31832136/1186979461', '32347254/1186979461', '32867918/1186979461', '33393253/1186979461', '33922718/1186979461', '34455656/1186979461', '34991702/1186979461', '35530350/1186979461', '36071329/1186979461', '36614229/1186979461', '37158844/1186979461', '37704796/1186979461', '38251973/1186979461', '38799933/1186979461', '39348638/1186979461', '39897664/1186979461', '40446896/1186979461', '40995956/1186979461', '41544660/1186979461', '42092602/1186979461', '42639526/1186979461', '43184935/1186979461', '43728476/1186979461', '44269496/1186979461', '44807445/1186979461', '45341418/1186979461', '45870494/1186979461', '46393260/1186979461']
['122225501/4749992029', '124134217/4749992029', '126079795/4749992029', '128056507/4749992029', '130059669/4749992029', '132085483/4749992029', '134130783/4749992029', '136192931/4749992029', '138269633/4749992029', '140358971/4749992029', '142459237/4749992029', '144568901/4749992029', '146686651/4749992029', '148811211/4749992029', '150941375/4749992029', '153076309/4749992029', '155214503/4749992029', '157355411/4749992029', '159497633/4749992029', '161640281/4749992029', '163782157/4749992029', '165922081/4749992029', '168058733/4749992029', '170190639/4749992029', '172316133/4749992029', '174433309/4749992029', '176539879/4749992029', '178633159/4749992029', '180709809/4749992029', '182765681/4749992029', '184795447/4749992029']
['30782423/1188016135', '31244662/1188016135', '31716362/1188016135', '32195986/1188016135', '32682452/1188016135', '33174699/1188016135', '33672019/1188016135', '34173633/1188016135', '6935811/237603227', '35187686/1188016135', '7139836/237603227', '7242609/237603227', '36729032/1188016135', '37246709/1188016135', '7553171/237603227', '38286158/1188016135', '38807309/1188016135', '39329074/1188016135', '39851174/1188016135', '8074656/237603227', '40895173/1188016135', '41416443/1188016135', '41936839/1188016135', '42455881/1188016135', '42973229/1188016135', '43488284/1188016135', '44000558/1188016135', '44509254/1188016135', '45013611/1188016135', '9102495/237603227', '9200919/237603227']
['20668504/792338807', '62901136/2377016421', '1636305/60949139', '64746920/2377016421', '65691845/2377016421', '22216241/792338807', '5201224/182847417', '68592025/2377016421', '5351990/182847417', '23522136/792338807', '71562727/2377016421', '72564008/2377016421', '24523175/792338807', '5736815/182847417', '25196845/792338807', '76604900/2377016421', '77620846/2377016421', '26212692/792338807', '26551934/792338807', '80673538/2377016421', '81690620/2377016421', '27568797/792338807', '83720125/2377016421', '6517771/182847417', '28579391/792338807', '28913513/792338807', '87736912/2377016421', '88725847/2377016421', '89705599/2377016421', '90674018/2377016421', '30542792/792338807']
['3902877/148625008', '4522343/169857152', '32099461/1189000064', '32550863/1189000064', '33009323/1189000064', '8368489/297250016', '33943827/1189000064', '34418329/1189000064', '8724189/297250016', '35378667/1189000064', '35863497/1189000064', '4543865/148625008', '36840457/1189000064', '2333241/74312504', '18912329/594500032', '38318729/1189000064', '9703383/297250016', '39309007/1189000064', '1243895/37156252', '20150139/594500032', '10198869/297250016', '322578/9289063', '5969047/169857152', '5284399/148625008', '42764999/1189000064', '3089451/84928576', '43736417/1189000064', '44216659/1189000064', '5586507/148625008', '6451659/169857152', '11405963/297250016']
['125749073/4757866077', '42475553/1585955359', '43047871/1585955359', '130894271/4757866077', '132673885/4757866077', '44826161/1585955359', '136304695/4757866077', '46049887/1585955359', '140010881/4757866077', '141886171/4757866077', '143773607/4757866077', '48557143/1585955359', '147578071/4757866077', '49830701/1585955359', '50470659/1585955359', '51112255/1585955359', '155264651/4757866077', '157194925/4757866077', '159125891/4757866077', '161056505/4757866077', '54328429/1585955359', '164910827/4757866077', '55610517/1585955359', '168745721/4757866077', '170651387/4757866077', '57515451/1585955359', '174428039/4757866077', '176293423/4757866077', '178138895/4757866077', '179960015/4757866077', '181751263/4757866077']
['63302967/2379865727', '64113783/2379865727', '64944619/2379865727', '65792473/2379865727', '66655167/2379865727', '67530501/2379865727', '68416973/2379865727', '69312937/2379865727', '70217307/2379865727', '71128779/2379865727', '72046559/2379865727', '72969543/2379865727', '73897117/2379865727', '74828359/2379865727', '75762639/2379865727', '76699293/2379865727', '77637581/2379865727', '78576915/2379865727', '79516625/2379865727', '80455971/2379865727', '81394367/2379865727', '82330899/2379865727', '83264939/2379865727', '84195391/2379865727', '85121447/2379865727', '86041787/2379865727', '86955271/2379865727', '87860173/2379865727', '88754853/2379865727', '89636861/2379865727', '90503631/2379865727']
['127437461/4761498099', '43001781/1587166033', '130613431/4761498099', '44085385/1587166033', '44642927/1587166033', '135627295/4761498099', '137348293/4761498099', '46362937/1587166033', '140846279/4761498099', '142618421/4761498099', '144403219/4761498099', '48732937/1587166033', '148003541/4761498099', '149815895/4761498099', '151634195/4761498099', '153457435/4761498099', '155283727/4761498099', '157112203/4761498099', '158941127/4761498099', '53589773/1587166033', '54198399/1587166033', '164417261/4761498099', '55411271/1587166033', '168042995/4761498099', '169842767/4761498099', '171630787/4761498099', '173404373/4761498099', '58386797/1587166033', '176895121/4761498099', '178604033/4761498099', '60093873/1587166033']
['64134459/2381632267', '64891525/2381632267', '65668777/2381632267', '66463647/2381632267', '67273579/2381632267', '68096761/2381632267', '68931287/2381632267', '69775841/2381632267', '70628941/2381632267', '71489613/2381632267', '72356633/2381632267', '73229245/2381632267', '10586629/340233181', '74987519/2381632267', '75871545/2381632267', '76758135/2381632267', '77646143/2381632267', '78535291/2381632267', '79424509/2381632267', '11473337/340233181', '11600121/340233181', '82086383/2381632267', '82968897/2381632267', '11978233/340233181', '84721349/2381632267', '85589031/2381632267', '86449135/2381632267', '87300251/2381632267', '3832187/103549229', '12709601/340233181', '89778023/2381632267']
['129074027/4764934695', '26107265/952986939', '132039397/4764934695', '133577809/4764934695', '135146857/4764934695', '45580851/1588311565', '138361433/4764934695', '28000097/952986939', '141657083/4764934695', '143328871/4764934695', '145013743/4764934695', '29341957/952986939', '49471737/1588311565', '150128467/4764934695', '151847771/4764934695', '51190667/1588311565', '155299241/4764934695', '157028479/4764934695', '158757919/4764934695', '10699085/317662313', '54070627/1588311565', '163933139/4764934695', '33129647/952986939', '167355247/4764934695', '169052009/4764934695', '170736083/4764934695', '172404707/4764934695', '174054647/4764934695', '35136419/952986939', '59094173/1588311565', '178850401/4764934695']
['9277079/340471769', '65644785/2383302383', '9481515/340471769', '67114147/2383302383', '67873263/2383302383', '68645777/2383302383', '69430131/2383302383', '70224629/2383302383', '71028129/2383302383', '71839245/2383302383', '72657097/2383302383', '73480529/2383302383', '74308799/2383302383', '75140939/2383302383', '75976221/2383302383', '10973409/340471769', '77653097/2383302383', '78493189/2383302383', '79333413/2383302383', '80172921/2383302383', '81011043/2383302383', '1062945/30951979', '82679349/2383302383', '83507629/2383302383', '12047239/340471769', '85147065/2383302383', '85955587/2383302383', '86754411/2383302383', '87541809/2383302383', '88315327/2383302383', '89072393/2383302383']
['130656797/4768181441', '132017755/4768181441', '133419793/4768181441', '134857639/4768181441', '136326693/4768181441', '137822957/4768181441', '139342975/4768181441', '140883699/4768181441', '142442457/4768181441', '144016823/4768181441', '145604651/4768181441', '147203939/4768181441', '148812833/4768181441', '150429715/4768181441', '152052731/4768181441', '153680621/4768181441', '155311521/4768181441', '156944193/4768181441', '158576857/4768181441', '160208113/4768181441', '161836217/4768181441', '163459473/4768181441', '165076011/4768181441', '166683793/4768181441', '168280593/4768181441', '169863889/4768181441', '171430839/4768181441', '172978137/4768181441', '174501959/4768181441', '175997735/4768181441', '177460033/4768181441']
['10952873/397479840', '16593241/596219760', '33524591/1192439520', '3763527/132493280', '475371/16561660', '11529529/397479840', '34956419/1192439520', '8832383/298109880', '11902387/397479840', '18044393/596219760', '18236887/596219760', '36861703/1192439520', '7450403/238487904', '18822193/596219760', '6339709/198739920', '6405563/198739920', '9707303/298109880', '19612751/596219760', '13207241/397479840', '13339199/397479840', '13470863/397479840', '10201589/298109880', '41198333/1192439520', '2772539/79495968', '41974963/1192439520', '8471683/238487904', '42737629/1192439520', '7185311/198739920', '21740039/596219760', '43841207/1192439520', '44193823/1192439520']
['132184055/4771243937', '133448007/4771243937', '134753093/4771243937', '136094257/4771243937', '137466993/4771243937', '138867353/4771243937', '140291895/4771243937', '141737555/4771243937', '143201625/4771243937', '144681657/4771243937', '146175433/4771243937', '147680913/4771243937', '149196175/4771243937', '150719537/4771243937', '152249099/4771243937', '153783473/4771243937', '155320851/4771243937', '156859771/4771243937', '158398509/4771243937', '159935525/4771243937', '161469021/4771243937', '162997243/4771243937', '164518227/4771243937', '166029877/4771243937', '167529907/4771243937', '169015723/4771243937', '170484419/4771243937', '171932673/4771243937', '173356627/4771243937', '174751743/4771243937', '176112701/4771243937']
['66466815/2386364891', '67075041/2386364891', '67703909/2386364891', '68350769/2386364891', '69013567/2386364891', '69690177/2386364891', '70379055/2386364891', '71078489/2386364891', '71787301/2386364891', '72504083/2386364891', '73227883/2386364891', '73957505/2386364891', '74692143/2386364891', '75430763/2386364891', '76172591/2386364891', '76916717/2386364891', '77662425/2386364891', '78408769/2386364891', '79155063/2386364891', '79900331/2386364891', '80643845/2386364891', '81384533/2386364891', '82121563/2386364891', '82853709/2386364891', '83579983/2386364891', '84298895/2386364891', '85009163/2386364891', '85708943/2386364891', '86396473/2386364891', '87069331/2386364891', '87725057/2386364891']
['133654373/4774127875', '26965141/954825575', '136038019/4774127875', '137286461/4774127875', '12596969/434011625', '139874747/4774127875', '28241461/954825575', '142561273/4774127875', '143933939/4774127875', '145322819/4774127875', '146725661/4774127875', '148140397/4774127875', '149565039/4774127875', '13727077/434011625', '152436931/4774127875', '153880723/4774127875', '155327503/4774127875', '156775621/4774127875', '158223389/4774127875', '159669143/4774127875', '161111069/4774127875', '162547323/4774127875', '14906899/434011625', '165394633/4774127875', '3032749/86802325', '168192939/4774127875', '169566943/4774127875', '170919847/4774127875', '172247809/4774127875', '173546361/4774127875', '174810313/4774127875']
['67187557/2387762981', '67750663/2387762981', '68334109/2387762981', '68935691/2387762981', '69553091/2387762981', '70184569/2387762981', '70828249/2387762981', '71482783/2387762981', '72146637/2387762981', '72818735/2387762981', '73497777/2387762981', '74182891/2387762981', '74872895/2387762981', '75567083/2387762981', '76264339/2387762981', '76964005/2387762981', '77665077/2387762981', '78366853/2387762981', '79068327/2387762981', '79768813/2387762981', '80467225/2387762981', '81162791/2387762981', '81854327/2387762981', '82540925/2387762981', '83221213/2387762981', '83894045/2387762981', '84557781/2387762981', '85210905/2387762981', '85851337/2387762981', '86477031/2387762981', '87085257/2387762981']
['135066621/4776839105', '136149781/4776839105', '137273531/4776839105', '138433283/4776839105', '27924961/955367821', '140844329/4776839105', '142088473/4776839105', '143354231/4776839105', '144638851/4776839105', '145939867/4776839105', '147254997/4776839105', '29716429/955367821', '29983855/955367821', '151264621/4776839105', '152616273/4776839105', '153972527/4776839105', '155331753/4776839105', '156692113/4776839105', '158051969/4776839105', '159409567/4776839105', '160763037/4776839105', '162110499/4776839105', '163449897/4776839105', '164779051/4776839105', '166095543/4776839105', '167396749/4776839105', '168679691/4776839105', '169941041/4776839105', '171176983/4776839105', '34476627/955367821', '173554467/4776839105']
['16969766/597269031', '11399853/398179354', '34469711/1194538062', '5791466/199089677', '11678619/398179354', '17664940/597269031', '5938352/199089677', '17967862/597269031', '36246107/1194538062', '344911/11269227', '6146435/199089677', '37199627/1194538062', '6253865/199089677', '37848769/1194538062', '38175967/1194538062', '38504261/1194538062', '6472223/199089677', '6527105/199089677', '39491821/1194538062', '13273459/398179354', '20073953/597269031', '20236927/597269031', '40797785/1194538062', '41119063/1194538062', '41437165/1194538062', '20875676/597269031', '42060955/1194538062', '21182534/597269031', '14220941/398179354', '7158842/199089677', '14411535/398179354']
['22736669/796563941', '68709718/2389691823', '69229438/2389691823', '23255667/796563941', '23440127/796563941', '23629247/796563941', '23822478/796563941', '72057968/2389691823', '24219327/796563941', '73266239/2389691823', '73881596/2389691823', '74502991/2389691823', '75129407/2389691823', '75759925/2389691823', '76393606/2389691823', '77029529/2389691823', '77666927/2389691823', '78304792/2389691823', '78942344/2389691823', '26526215/796563941', '80212762/2389691823', '26947910/796563941', '27156836/796563941', '82091984/2389691823', '82706948/2389691823', '83314073/2389691823', '83911874/2389691823', '28166234/796563941', '85072678/2389691823', '85631657/2389691823', '86173237/2389691823']
['34270475/1195153761', '932707/32301453', '34759727/1195153761', '11672735/398384587', '11761508/398384587', '35557861/1195153761', '11945774/398384587', '12040748/398384587', '36411874/1195153761', '36705673/1195153761', '37002986/1195153761', '37303364/1195153761', '37606217/1195153761', '12637052/398384587', '12739213/398384587', '12841756/398384587', '38833589/1195153761', '39142162/1195153761', '39450523/1195153761', '13252756/398384587', '13354952/398384587', '1755212/51963207', '40672723/1195153761', '40972921/1195153761', '41269783/1195153761', '41562721/1195153761', '41850919/1195153761', '42133634/1195153761', '42409855/1195153761', '42678605/1195153761', '42938632/1195153761']
['68857022/2390883823', '69317080/2390883823', '69796773/2390883823', '70294067/2390883823', '70807030/2390883823', '71333897/2390883823', '71873051/2390883823', '72423032/2390883823', '72982498/2390883823', '73550217/2390883823', '74125040/2390883823', '74705914/2390883823', '75291809/2390883823', '75881786/2390883823', '76474927/2390883823', '77070249/2390883823', '77667018/2390883823', '78264179/2390883823', '78860958/2390883823', '79456382/2390883823', '80049525/2390883823', '80639396/2390883823', '81224943/2390883823', '81805056/2390883823', '82378509/2390883823', '82943980/2390883823', '83499999/2390883823', '84044933/2390883823', '84576940/2390883823', '85093951/2390883823', '85593662/2390883823']
['34586547/1195730062', '34806921/1195730062', '17518523/597865031', '17637931/597865031', '17761253/597865031', '17888018/597865031', '36035729/1195730062', '18150394/597865031', '18285312/597865031', '18422272/597865031', '18561027/597865031', '18701275/597865031', '18842796/597865031', '18985315/597865031', '19128644/597865031', '38544981/1195730062', '38833429/1195730062', '39122017/1195730062', '39410435/1195730062', '19849057/597865031', '39984669/1195730062', '20134760/597865031', '20276110/597865031', '40832135/1195730062', '20554363/597865031', '41381259/1195730062', '20824540/597865031', '41911299/1195730062', '42167085/1195730062', '21207673/597865031', '21327515/597865031']
['69474253/2391998680', '34948429/1195999340', '70338641/2391998680', '35398853/1195999340', '7127223/239199868', '71760509/2391998680', '36130491/1195999340', '3638611/119599934', '73292903/2391998680', '73821809/2391998680', '14871561/478399736', '74899829/2391998680', '75446857/2391998680', '15199587/478399736', '76552161/2391998680', '77108509/2391998680', '77666271/2391998680', '9778044/298999835', '78781991/2391998680', '79338191/2391998680', '79892023/2391998680', '80442483/2391998680', '16197705/478399736', '81529023/2391998680', '2051569/59799967', '82588423/2391998680', '2077614/59799967', '83609561/2391998680', '21025411/597999670', '21144701/597999670', '42519431/1195999340']
['17443853/598134309', '35089937/1196268618', '35301595/1196268618', '17760922/598134309', '17874862/598134309', '35984473/1196268618', '36225253/1196268618', '6078572/199378103', '36722279/1196268618', '12325755/398756206', '12411917/398756206', '12499093/398756206', '37761265/1196268618', '38027305/1196268618', '38294873/1196268618', '19281764/598134309', '19416421/598134309', '39102335/1196268618', '6561926/199378103', '13213359/398756206', '19953677/598134309', '40172963/1196268618', '40436305/1196268618', '20348444/598134309', '20477017/598134309', '20603582/598134309', '20727740/598134309', '20849131/598134309', '41934559/1196268618', '7027243/199378103', '7063972/199378103']
['46707829/1595359715', '140898131/4786079145', '47236689/1595359715', '142555811/4786079145', '9562127/319071943', '48111703/1595359715', '145262411/4786079145', '48737009/1595359715', '147178369/4786079145', '49387349/1595359715', '49719933/1595359715', '50056509/1595359715', '151189189/4786079145', '50738953/1595359715', '153250757/4786079145', '154288811/4786079145', '155329577/4786079145', '10424725/319071943', '31482235/957215829', '158448457/4786079145', '10632057/319071943', '10700425/319071943', '161522903/4786079145', '162528203/4786079145', '163519859/4786079145', '164495273/4786079145', '33090317/957215829', '55461889/1595359715', '55764681/1595359715', '168172891/4786079145', '56339367/1595359715']
['70348075/2393541909', '70718257/2393541909', '71106877/2393541909', '71512123/2393541909', '71932457/2393541909', '72366163/2393541909', '24270635/797847303', '8140907/265949101', '24577937/797847303', '24735839/797847303', '24896099/797847303', '25058323/797847303', '75666659/2393541909', '76162249/2393541909', '76661011/2393541909', '2338235/72531573', '77663893/2393541909', '78166205/2393541909', '78668063/2393541909', '79168303/2393541909', '7242377/217594719', '80160449/2393541909', '26883431/797847303', '2458619/72531573', '81611791/2393541909', '9120105/265949101', '82540625/2393541909', '82989143/2393541909', '83424925/2393541909', '83845975/2393541909', '28083479/797847303']
['17654916/598502423', '35486915/1197004846', '71346059/2394009692', '35867371/1197004846', '36069133/1197004846', '72555091/2394009692', '72983773/2394009692', '18355739/598502423', '18467849/598502423', '74327907/2394009692', '74791379/2394009692', '18815194/598502423', '75735089/2394009692', '19053335/598502423', '76694669/2394009692', '19294506/598502423', '77662673/2394009692', '19536887/598502423', '19657967/598502423', '79114617/2394009692', '79594881/2394009692', '20017912/598502423', '20135968/598502423', '20252611/598502423', '81470173/2394009692', '40960885/1197004846', '20590963/598502423', '41397443/1197004846', '83213203/2394009692', '83616987/2394009692', '84004309/2394009692']
['70891253/2394477475', '71229403/2394477475', '5506557/184190575', '71957361/2394477475', '2893763/95779099', '72744019/2394477475', '5627357/184190575', '73577749/2394477475', '74008981/2394477475', '74448297/2394477475', '74894461/2394477475', '5795891/184190575', '75803519/2394477475', '76264431/2394477475', '5902179/184190575', '77194293/2394477475', '77661453/2394477475', '78128891/2394477475', '6045821/184190575', '79060931/2394477475', '15904723/478895495', '79982847/2394477475', '80437451/2394477475', '80886461/2394477475', '16265711/478895495', '16352519/478895495', '6322083/184190575', '82600629/2394477475', '83001481/2394477475', '83387999/2394477475', '6442937/184190575']
['71148302/2394912245', '14294281/478982449', '71811923/2394912245', '72168397/2394912245', '72539328/2394912245', '72923256/2394912245', '73318803/2394912245', '73724668/2394912245', '6739967/217719295', '74562557/2394912245', '14998468/478982449', '15085592/478982449', '359566/11350295', '15262553/478982449', '15352024/478982449', '77209457/2394912245', '7060002/217719295', '78110779/2394912245', '15712185/478982449', '79009463/2394912245', '79455476/2394912245', '7263451/217719295', '80335883/2394912245', '80768141/2394912245', '81193568/2394912245', '16322181/478982449', '16403759/478982449', '82415763/2394912245', '82800214/2394912245', '16634084/478982449', '83524586/2394912245']
['71405351/2395347015', '23904469/798449005', '14407721/479069403', '72379433/2395347015', '72734581/2395347015', '73102493/2395347015', '14696393/479069403', '73871587/2395347015', '74270293/2395347015', '74676817/2395347015', '25030073/798449005', '25169779/798449005', '25311111/798449005', '76361099/2395347015', '76791913/2395347015', '77224621/2395347015', '25886197/798449005', '26030889/798449005', '78526177/2395347015', '15791599/479069403', '79387337/2395347015', '15962615/479069403', '16046863/479069403', '80649821/2395347015', '27019527/798449005', '16291843/479069403', '81850511/2395347015', '27410299/798449005', '82598947/2395347015', '27650947/798449005', '83290991/2395347015']
['71648072/2395750435', '14388428/479150087', '72252938/2395750435', '14515829/479150087', '72919378/2395750435', '73272261/2395750435', '73636493/2395750435', '74010819/2395750435', '74394066/2395750435', '74785118/2395750435', '5783301/184288495', '75586436/2395750435', '15198945/479150087', '15281361/479150087', '76821832/2395750435', '77238801/2395750435', '77656922/2395750435', '78075208/2395750435', '78492839/2395750435', '1213982/36857699', '79322274/2395750435', '79732179/2395750435', '80137524/2395750435', '16107444/479150087', '80930134/2395750435', '81315031/2395750435', '81690598/2395750435', '82055419/2395750435', '16481594/479150087', '82746621/2395750435', '83069724/2395750435']
['71890793/2396153855', '72170873/2396153855', '72467271/2396153855', '72778857/2396153855', '14620835/479230771', '73442029/2396153855', '73791021/2396153855', '74150051/2396153855', '74517839/2396153855', '74893419/2396153855', '75275607/2396153855', '15132707/479230771', '76056117/2396153855', '76452511/2396153855', '76851751/2396153855', '77252981/2396153855', '77655253/2396153855', '78057749/2396153855', '78459501/2396153855', '15771933/479230771', '79257211/2396153855', '79651283/2396153855', '80040733/2396153855', '80424619/2396153855', '80801687/2396153855', '81170847/2396153855', '16306137/479230771', '81879941/2396153855', '82216993/2396153855', '82540401/2396153855', '82848457/2396153855']
['144238963/4793054887', '144772973/4793054887', '145339001/4793054887', '145934679/4793054887', '146557455/4793054887', '147204785/4793054887', '147874183/4793054887', '148563269/4793054887', '149269775/4793054887', '149991551/4793054887', '150726519/4793054887', '151472715/4793054887', '152228233/4793054887', '152991161/4793054887', '153759827/4793054887', '154532297/4793054887', '155306903/4793054887', '156081817/4793054887', '156855323/4793054887', '157625519/4793054887', '158390607/4793054887', '159148629/4793054887', '159897569/4793054887', '160635321/4793054887', '161359641/4793054887', '162068155/4793054887', '162758327/4793054887', '163427441/4793054887', '164072591/4793054887', '164690761/4793054887', '165278897/4793054887']
['36174085/1198450516', '18150525/599225258', '36435865/1198450516', '36577911/1198450516', '9181660/299612629', '18440689/599225258', '37041581/1198450516', '37206609/1198450516', '9343992/299612629', '18774533/599225258', '9431364/299612629', '18952295/599225258', '19043029/599225258', '38269325/1198450516', '19227019/599225258', '19319829/599225258', '38825825/1198450516', '19506017/599225258', '39197911/1198450516', '39382927/1198450516', '19783349/599225258', '39748673/1198450516', '19964209/599225258', '40105351/1198450516', '40278977/1198450516', '20224327/599225258', '40613821/1198450516', '20386875/599225258', '40927799/1198450516', '10268795/299612629', '10303805/299612629']
['72563135/2397246417', '72804983/2397246417', '8118010/266360713', '73333403/2397246417', '73617767/2397246417', '73913990/2397246417', '74220907/2397246417', '74537390/2397246417', '74862349/2397246417', '75194746/2397246417', '25177861/799082139', '75877892/2397246417', '76226753/2397246417', '76579226/2397246417', '25644826/799082139', '8587954/266360713', '77649692/2397246417', '78007931/2397246417', '78365429/2397246417', '26240423/799082139', '79074560/2397246417', '79424336/2397246417', '79769621/2397246417', '80109379/2397246417', '80442524/2397246417', '80767912/2397246417', '81084319/2397246417', '81390449/2397246417', '81684943/2397246417', '81966385/2397246417', '27411130/799082139']
['36389050/1198795901', '36503933/1198795901', '36626225/1198795901', '36755492/1198795901', '36891127/1198795901', '37032612/1198795901', '37179326/1198795901', '37330781/1198795901', '37486381/1198795901', '37645680/1198795901', '37808127/1198795901', '37973302/1198795901', '38140695/1198795901', '38309901/1198795901', '38480440/1198795901', '38651928/1198795901', '38823867/1198795901', '38995897/1198795901', '39167518/1198795901', '39338342/1198795901', '39507862/1198795901', '39675663/1198795901', '39841203/1198795901', '40004028/1198795901', '40163547/1198795901', '40319258/1198795901', '40470498/1198795901', '40616699/1198795901', '40757144/1198795901', '40891205/1198795901', '41018170/1198795901']
['145959449/4795820937', '146396501/4795820937', '48954175/1598606979', '147355685/4795820937', '147873881/4795820937', '49471639/1598606979', '148976605/4795820937', '149556821/4795820937', '150153473/4795820937', '50254861/1598606979', '151388209/4795820937', '152022479/4795820937', '50888537/1598606979', '153315767/4795820937', '153971281/4795820937', '154630423/4795820937', '155291413/4795820937', '17328071/532868993', '17401369/532868993', '157268699/4795820937', '157920007/4795820937', '158564369/4795820937', '53066623/1598606979', '159824503/4795820937', '160436171/4795820937', '161032667/4795820937', '161611639/4795820937', '162170651/4795820937', '54235711/1598606979', '163218475/4795820937', '163702171/4795820937']
['73181349/2398229135', '14677727/479645827', '14722015/479645827', '73844701/2398229135', '74091627/2398229135', '74349693/2398229135', '74617953/2398229135', '74895259/2398229135', '75180711/2398229135', '75473223/2398229135', '15154391/479645827', '15215175/479645827', '76384221/2398229135', '15339193/479645827', '77010401/2398229135', '77326567/2398229135', '77643679/2398229135', '15592169/479645827', '15655457/479645827', '15718403/479645827', '78904283/2398229135', '79213043/2398229135', '79517463/2398229135', '79816447/2398229135', '80109077/2398229135', '80394151/2398229135', '80670643/2398229135', '80937253/2398229135', '16238569/479645827', '16287213/479645827', '81665831/2398229135']
['24456671/799507549', '24522324/799507549', '24592547/799507549', '74001214/2398522647', '74236751/2398522647', '74483249/2398522647', '74739685/2398522647', '75005056/2398522647', '75278377/2398522647', '25186231/799507549', '75845074/2398522647', '76136618/2398522647', '25477486/799507549', '76731701/2398522647', '77033528/2398522647', '25779038/799507549', '25880519/799507549', '25982035/799507549', '78249857/2398522647', '78551968/2398522647', '78851576/2398522647', '79147760/2398522647', '79439594/2398522647', '79726112/2398522647', '80006296/2398522647', '80279086/2398522647', '26847791/799507549', '80797997/2398522647', '27013920/799507549', '27091156/799507549', '27163998/799507549']
